Eternal Weekend 2024 Legacy Champs (2024-11-23)
+---------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Deck                      | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |  Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
| Jeskai Stoneblade         |      0.17% |          2 |     728.00 |    5 |      9 |     0 | 35.71% |                    16.34% |                    61.24% |       51.34% |          35.71% |          35.71% |
| Mono-Black Aggro          |      0.17% |          2 |     272.50 |   11 |      8 |     1 | 57.50% |                    36.28% |                    76.86% |       60.30% |          57.50% |          57.50% |
| Mono-Black Combo          |      0.17% |          2 |     513.00 |    7 |      8 |     0 | 46.67% |                    24.81% |                    69.88% |       52.16% |          46.67% |          46.67% |
| Mono-Red Midrange         |      0.17% |          2 |     613.00 |    6 |      8 |     0 | 42.86% |                    21.38% |                    67.41% |       44.68% |          42.86% |          42.86% |
| Ruby Storm                |      0.17% |          2 |     489.00 |    9 |      7 |     0 | 56.25% |                    33.18% |                    76.90% |       47.95% |          56.25% |          50.83% |
| Selesnya Depths           |      0.17% |          2 |     771.00 |    4 |      9 |     0 | 30.77% |                    12.68% |                    57.63% |       39.99% |          30.77% |          31.54% |
| Simic Infect              |      0.17% |          2 |     642.50 |    7 |      7 |     0 | 50.00% |                    26.80% |                    73.20% |       50.56% |          50.00% |          50.00% |
| 4-color Snowko            |      0.09% |          1 |     633.00 |    3 |      4 |     0 | 42.86% |                    15.82% |                    74.95% |       44.55% |          42.86% |          42.86% |
| 8-Mulch                   |      0.09% |          1 |     786.00 |    2 |      5 |     0 | 28.57% |                     8.22% |                    64.11% |       45.76% |          28.57% |          28.57% |
| Abzan Depths              |      0.09% |          1 |     691.00 |    2 |      6 |     1 | 27.78% |                     7.15% |                    59.07% |       38.57% |          27.78% |          27.78% |
| Azorius Aggro             |      0.09% |          1 |     548.00 |    3 |      4 |     1 | 43.75% |                    15.82% |                    74.95% |       49.22% |          43.75% |          43.75% |
| Azorius Combo             |      0.09% |          1 |    1139.00 |    0 |      3 |     0 |  0.00% |                     0.00% |                    56.15% |       47.58% |           0.00% |           0.00% |
| Azorius Merfolk           |      0.09% |          1 |     879.00 |    1 |      3 |     1 | 30.00% |                     4.56% |                    69.94% |       49.18% |          30.00% |          30.00% |
| Azorius Prison            |      0.09% |          1 |     948.00 |    1 |      3 |     0 | 25.00% |                     4.56% |                    69.94% |       46.80% |          25.00% |          25.00% |
| Azorius Tokens            |      0.09% |          1 |     981.00 |    1 |      3 |     0 | 25.00% |                     4.56% |                    69.94% |       46.54% |          25.00% |          25.00% |
| Bant Belcher              |      0.09% |          1 |    1146.00 |    0 |      3 |     0 |  0.00% |                     0.00% |                    56.15% |       46.75% |           0.00% |           0.00% |
| Bant Zoo                  |      0.09% |          1 |    1028.00 |    1 |      4 |     0 | 20.00% |                     3.62% |                    62.45% |       40.13% |          20.00% |          20.00% |
| Boros Initiative          |      0.09% |          1 |    1045.00 |    0 |      2 |     0 |  0.00% |                     0.00% |                    65.76% |       40.39% |           0.00% |           0.00% |
