Connecting to DB: sqlite+pysqlite:////home/jhatfiel/src/tmi-metatools/database/legacy2024.db
Legacy Challenge 32 2024-10-13 (2024-10-13), Legacy Challenge 32 2024-10-16 (2024-10-16), Legacy Challenge 32 2024-10-18 (2024-10-18), Buffalo Chicken Dip Legacy 15 (2024-10-19), Legacy Challenge 32 2024-10-19 (2024-10-19), Legacy Challenge 32 2024-10-20 (2024-10-20), Legacy Challenge 64 2024-10-20 (2024-10-20), Legacy Challenge 32 2024-10-23 (2024-10-23), Legacy Challenge 32 2024-10-25 (2024-10-25), BLACK - FRI - 12:00 PM - Legacy Cup - MagicCon: Las Vegas (2024-10-25), Legacy Challenge 32 2024-10-26 (2024-10-26), BLACK -SAT - 1:30 PM - Legacy for Original Magic Artwork (2024-10-26), Legacy Challenge 32 2024-10-27 (2024-10-27), Legacy Challenge 64 2024-10-27 (2024-10-27), Legacy Challenge 32 2024-10-30 (2024-10-30), Legacy Challenge 32 2024-11-01 (2024-11-01), Legacy Challenge 32 2024-11-03 (2024-11-03), Bazaar of Boxes 13 (2024-11-09), AnziD's Eternal Legacy Showdown (2024-11-10), Legacy Challenge 32 2024-11-16 (2024-11-16), Legacy Challenge 32 2024-11-17 - 1 (2024-11-17), Legacy Challenge 32 2024-11-17 - 2 (2024-11-17), Legacy Showcase Challenge 2024-11-17 (2024-11-17)
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Deck                           | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |  Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
| Esper Vial                     |      0.28% |          5 |      46.00 |   16 |     12 |     1 | 56.90% |                    39.07% |                    73.49% |       61.76% |          56.90% |          59.20% |
| Grixis Tempo                   |      0.28% |          5 |      46.00 |   11 |     15 |     1 | 42.59% |                    25.54% |                    61.05% |       53.00% |          42.59% |          42.59% |
| Black Midrange                 |      0.22% |          4 |      32.25 |    9 |     13 |     0 | 40.91% |                    23.26% |                    61.27% |       48.97% |          40.91% |          46.53% |
| Black Phoenix                  |      0.22% |          4 |     122.00 |    3 |     12 |     0 | 20.00% |                     7.05% |                    45.19% |       30.90% |          20.00% |          20.00% |
| Creative Technique             |      0.22% |          4 |      27.00 |   11 |     11 |     0 | 50.00% |                    30.72% |                    69.28% |       43.61% |          50.00% |          50.00% |
| Death and Taxes (60 Card)      |      0.22% |          4 |     142.50 |    5 |      7 |     0 | 41.67% |                    19.33% |                    68.05% |       48.43% |          41.67% |          41.67% |
| Maverick                       |      0.22% |          4 |      26.25 |   12 |     15 |     0 | 44.44% |                    27.59% |                    62.69% |       43.20% |          44.44% |          48.10% |
| Necrodominance Combo           |      0.22% |          4 |      43.25 |    5 |     12 |     0 | 29.41% |                    13.28% |                    53.13% |       41.81% |          29.41% |          29.90% |
| Other Control                  |      0.22% |          4 |      35.50 |    5 |     15 |     0 | 25.00% |                    11.19% |                    46.87% |       43.72% |          25.00% |          32.05% |
| Other Non Blue                 |      0.22% |          4 |      84.50 |   11 |     14 |     0 | 44.00% |                    26.67% |                    62.93% |       47.47% |          44.00% |          44.00% |
| 8Cast                          |      0.17% |          3 |      25.00 |   12 |      8 |     0 | 60.00% |                    38.66% |                    78.12% |       45.03% |          60.00% |          46.55% |
| Coveted Jewel Combo            |      0.17% |          3 |     110.00 |   12 |      9 |     0 | 57.14% |                    36.55% |                    75.53% |       60.76% |          57.14% |          57.14% |
| Grixis Delver                  |      0.17% |          3 |      55.00 |    8 |      7 |     0 | 53.33% |                    30.12% |                    75.19% |       49.08% |          53.33% |          57.80% |
| Gruul Stompy                   |      0.17% |          3 |      52.67 |    1 |      8 |     0 | 11.11% |                     1.99% |                    43.50% |       41.27% |          11.11% |          16.67% |
| Standstill                     |      0.17% |          3 |     120.33 |    4 |      7 |     0 | 36.36% |                    15.17% |                    64.62% |       53.74% |          36.36% |          36.36% |
| White Stompy                   |      0.17% |          3 |      76.00 |   11 |     13 |     0 | 45.83% |                    27.89% |                    64.93% |       38.49% |          45.83% |          43.06% |
| Worldgorger                    |      0.17% |          3 |      16.33 |    9 |     11 |     0 | 45.00% |                    25.82% |                    65.79% |       41.22% |          47.37% |          38.32% |
| BUG Control                    |      0.11% |          2 |      73.50 |    2 |      8 |     0 | 20.00% |                     5.67% |                    50.98% |       45.50% |          20.00% |          20.00% |
| Bant Control (Non-Yorion)      |      0.11% |          2 |     187.50 |    5 |      5 |     0 | 50.00% |                    23.66% |                    76.34% |       38.76% |          50.00% |          40.00% |
| Bant Control (Yorion)          |      0.11% |          2 |      24.00 |   13 |      5 |     0 | 72.22% |                    49.13% |                    87.50% |       55.68% |          72.22% |          70.74% |
| Jeskai Miracles                |      0.11% |          2 |      26.00 |    7 |      5 |     2 | 57.14% |                    31.95% |                    80.67% |       55.92% |          57.14% |          57.14% |
| Other Stompy                   |      0.11% |          2 |     114.50 |    2 |      4 |     0 | 33.33% |                     9.68% |                    70.00% |       33.89% |          33.33% |          41.11% |
