Connecting to DB: sqlite+pysqlite:////home/jhatfiel/src/tmi-metatools/database/legacy2024.db
Legacy Challenge 32 2024-10-30 (2024-10-30), Legacy Challenge 32 2024-11-01 (2024-11-01), Legacy Challenge 32 2024-11-03 (2024-11-03), AnziD's Eternal Legacy Showdown (2024-11-10), Legacy Challenge 32 2024-11-16 (2024-11-16), Legacy Challenge 32 2024-11-17 - 1 (2024-11-17), Legacy Challenge 32 2024-11-17 - 2 (2024-11-17), Legacy Showcase Challenge 2024-11-17 (2024-11-17)
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Deck                           | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |  Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
| Coveted Jewel Combo            |      0.23% |          2 |     162.50 |    6 |      7 |     0 | 46.15% |                    23.21% |                    70.86% |       59.02% |          46.15% |          46.15% |
| Esper Vial                     |      0.23% |          2 |      18.50 |   11 |      4 |     0 | 73.33% |                    48.05% |                    89.10% |       63.00% |          73.33% |          66.67% |
| Other Stompy                   |      0.23% |          2 |     114.50 |    2 |      4 |     0 | 33.33% |                     9.68% |                    70.00% |       31.39% |          33.33% |          41.11% |
| Standstill                     |      0.23% |          2 |     158.50 |    2 |      4 |     0 | 33.33% |                     9.68% |                    70.00% |       56.82% |          33.33% |          33.33% |
| The EPIC Storm                 |      0.23% |          2 |      66.00 |    7 |      8 |     0 | 46.67% |                    24.81% |                    69.88% |       43.67% |          46.67% |          46.42% |
| White Stompy                   |      0.23% |          2 |     104.50 |    8 |     10 |     0 | 44.44% |                    24.56% |                    66.28% |       37.05% |          44.44% |          44.44% |
| 4C Non Uro Control (Yorion)    |      0.11% |          1 |     218.00 |    2 |      5 |     0 | 28.57% |                     8.22% |                    64.11% |       35.23% |          28.57% |          28.57% |
| 4C Uro Control (Yorion)        |      0.11% |          1 |     122.00 |    4 |      5 |     0 | 44.44% |                    18.88% |                    73.33% |       53.66% |          44.44% |          44.44% |
| Abzan Depths                   |      0.11% |          1 |     212.00 |    1 |      5 |     0 | 16.67% |                     3.01% |                    56.35% |       40.76% |          16.67% |          25.00% |
| Blue Artifacts                 |      0.11% |          1 |      21.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       34.29% |          50.00% |          41.67% |
| Death and Taxes (60 Card)      |      0.11% |          1 |     332.00 |    0 |      2 |     0 |  0.00% |                     0.00% |                    65.76% |       48.16% |           0.00% |           0.00% |
| Grixis Delver                  |      0.11% |          1 |      15.00 |    7 |      2 |     0 | 77.78% |                    45.26% |                    93.68% |       50.34% |          77.78% |          61.65% |
| Madness                        |      0.11% |          1 |     329.00 |    0 |      2 |     0 |  0.00% |                     0.00% |                    65.76% |       40.53% |           0.00% |           0.00% |
| Manaless Dredge                |      0.11% |          1 |     200.00 |    2 |      7 |     0 | 22.22% |                     6.32% |                    54.74% |       33.60% |          22.22% |          22.22% |
| Maverick                       |      0.11% |          1 |       8.00 |    3 |      4 |     0 | 42.86% |                    15.82% |                    74.95% |       43.24% |          42.86% |          54.59% |
| Ninjas                         |      0.11% |          1 |      13.00 |    4 |      2 |     0 | 66.67% |                    30.00% |                    90.32% |       45.14% |          66.67% |          45.37% |
| Orzhov Vial                    |      0.11% |          1 |      50.00 |    6 |      3 |     0 | 66.67% |                    35.42% |                    87.94% |       53.83% |          66.67% |          66.67% |
| Other Control                  |      0.11% |          1 |      30.00 |    2 |      4 |     0 | 33.33% |                     9.68% |                    70.00% |       42.01% |          33.33% |          35.56% |
| RUG Delver                     |      0.11% |          1 |     178.00 |    2 |      2 |     0 | 50.00% |                    15.00% |                    85.00% |       51.35% |          50.00% |          50.00% |
| RUG Midrange-Control           |      0.11% |          1 |     176.00 |    1 |      3 |     0 | 25.00% |                     4.56% |                    69.94% |       46.84% |          25.00% |          25.00% |
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
