Connecting to DB: sqlite+pysqlite:////home/jhatfiel/src/tmi-metatools/database/legacy2024.db
European Legacy Masters 2024 (2024-09-07), Legacy Challenge 32 2024-09-08 (2024-09-08), Legacy Challenge 32 2024-09-15 (2024-09-15), Legacy Challenge 32 2024-09-29 (2024-09-29), Legacy Challenge 32 2024-10-13 (2024-10-13), Legacy Challenge 32 2024-10-16 (2024-10-16), Legacy Challenge 32 2024-10-18 (2024-10-18), Legacy Challenge 32 2024-10-19 (2024-10-19), Legacy Challenge 32 2024-10-20 (2024-10-20), Legacy Challenge 64 2024-10-20 (2024-10-20), Legacy Challenge 32 2024-10-23 (2024-10-23), Legacy Challenge 32 2024-10-25 (2024-10-25), Legacy Challenge 32 2024-10-26 (2024-10-26), Legacy Challenge 32 2024-10-27 (2024-10-27), Legacy Challenge 64 2024-10-27 (2024-10-27), Legacy Challenge 32 2024-10-30 (2024-10-30), Legacy Challenge 32 2024-11-01 (2024-11-01), Legacy Challenge 32 2024-11-03 (2024-11-03), AnziD's Eternal Legacy Showdown (2024-11-10), Legacy Challenge 32 2024-11-16 (2024-11-16), Legacy Challenge 32 2024-11-17 - 1 (2024-11-17), Legacy Challenge 32 2024-11-17 - 2 (2024-11-17), Legacy Showcase Challenge 2024-11-17 (2024-11-17)
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Deck                           | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |  Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
| 8Cast                          |      0.18% |          3 |      55.33 |    8 |      9 |     0 | 47.06% |                    26.17% |                    69.04% |       44.80% |          47.06% |          46.92% |
| Bant Control (Yorion)          |      0.18% |          3 |      23.33 |   16 |      8 |     0 | 66.67% |                    46.71% |                    82.03% |       55.63% |          66.67% |          66.67% |
| Maverick                       |      0.18% |          3 |      27.67 |    7 |     13 |     0 | 35.00% |                    18.12% |                    56.71% |       42.69% |          35.00% |          42.43% |
| Naya Depths                    |      0.18% |          3 |      47.67 |   12 |      7 |     0 | 63.16% |                    41.04% |                    80.85% |       55.81% |          63.16% |          54.74% |
| Ninjas                         |      0.18% |          3 |      15.33 |   10 |      8 |     0 | 55.56% |                    33.72% |                    75.44% |       45.45% |          55.56% |          49.17% |
| Standstill                     |      0.18% |          3 |     120.33 |    4 |      7 |     0 | 36.36% |                    15.17% |                    64.62% |       54.61% |          36.36% |          36.36% |
| Abzan Depths                   |      0.12% |          2 |     130.50 |    1 |      7 |     0 | 12.50% |                     2.24% |                    47.09% |       41.89% |          12.50% |          18.75% |
| Coveted Jewel Combo            |      0.12% |          2 |     162.50 |    6 |      7 |     0 | 46.15% |                    23.21% |                    70.86% |       60.80% |          46.15% |          46.15% |
| Esper Vial                     |      0.12% |          2 |      18.50 |   11 |      4 |     0 | 73.33% |                    48.05% |                    89.10% |       61.00% |          73.33% |          66.67% |
| Other Spell Combo              |      0.12% |          2 |      20.00 |    5 |      6 |     0 | 45.45% |                    21.27% |                    71.99% |       37.12% |          45.45% |          37.88% |
