Connecting to DB: sqlite+pysqlite:////home/jhatfiel/src/tmi-metatools/database/legacy2024.db
Legacy Challenge 32 2024-10-13 (2024-10-13), Legacy Challenge 32 2024-10-16 (2024-10-16), Legacy Challenge 32 2024-10-18 (2024-10-18), Legacy Challenge 32 2024-10-19 (2024-10-19), Legacy Challenge 32 2024-10-20 (2024-10-20), Legacy Challenge 64 2024-10-20 (2024-10-20), Legacy Challenge 32 2024-10-23 (2024-10-23), Legacy Challenge 32 2024-10-25 (2024-10-25), Legacy Challenge 32 2024-10-26 (2024-10-26), Legacy Challenge 32 2024-10-27 (2024-10-27), Legacy Challenge 64 2024-10-27 (2024-10-27), Legacy Challenge 32 2024-10-30 (2024-10-30), Legacy Challenge 32 2024-11-01 (2024-11-01), Legacy Challenge 32 2024-11-03 (2024-11-03), AnziD's Eternal Legacy Showdown (2024-11-10), Legacy Challenge 32 2024-11-16 (2024-11-16), Legacy Challenge 32 2024-11-17 - 1 (2024-11-17), Legacy Challenge 32 2024-11-17 - 2 (2024-11-17), Legacy Showcase Challenge 2024-11-17 (2024-11-17)
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Deck                           | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |  Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
| Gruul Stompy                   |      0.21% |          3 |      52.67 |    1 |      8 |     0 | 11.11% |                     1.99% |                    43.50% |       40.59% |          11.11% |          16.67% |
| Maverick                       |      0.21% |          3 |      27.67 |    7 |     13 |     0 | 35.00% |                    18.12% |                    56.71% |       42.67% |          35.00% |          42.43% |
| Ninjas                         |      0.21% |          3 |      15.33 |   10 |      8 |     0 | 55.56% |                    33.72% |                    75.44% |       45.35% |          55.56% |          49.17% |
| Standstill                     |      0.21% |          3 |     120.33 |    4 |      7 |     0 | 36.36% |                    15.17% |                    64.62% |       55.26% |          36.36% |          36.36% |
| White Stompy                   |      0.21% |          3 |      76.00 |   11 |     13 |     0 | 45.83% |                    27.89% |                    64.93% |       37.51% |          45.83% |          43.06% |
| Bant Control (Non-Yorion)      |      0.14% |          2 |     187.50 |    5 |      5 |     0 | 50.00% |                    23.66% |                    76.34% |       37.25% |          50.00% |          40.00% |
| Bant Control (Yorion)          |      0.14% |          2 |      24.00 |   13 |      5 |     0 | 72.22% |                    49.13% |                    87.50% |       55.46% |          72.22% |          70.74% |
| Coveted Jewel Combo            |      0.14% |          2 |     162.50 |    6 |      7 |     0 | 46.15% |                    23.21% |                    70.86% |       61.05% |          46.15% |          46.15% |
| Esper Vial                     |      0.14% |          2 |      18.50 |   11 |      4 |     0 | 73.33% |                    48.05% |                    89.10% |       61.86% |          73.33% |          66.67% |
| Grixis Delver                  |      0.14% |          2 |      30.00 |    7 |      3 |     0 | 70.00% |                    39.68% |                    89.22% |       48.92% |          70.00% |          60.15% |
| Other Stompy                   |      0.14% |          2 |     114.50 |    2 |      4 |     0 | 33.33% |                     9.68% |                    70.00% |       32.55% |          33.33% |          41.11% |
| Other Vial                     |      0.14% |          2 |      26.00 |    7 |      6 |     0 | 53.85% |                    29.14% |                    76.79% |       61.20% |          53.85% |          65.29% |
| Worldgorger                    |      0.14% |          2 |      16.50 |    5 |      8 |     0 | 38.46% |                    17.71% |                    64.48% |       40.91% |          38.46% |          35.87% |
| 4C Non Uro Control (Yorion)    |      0.07% |          1 |     218.00 |    2 |      5 |     0 | 28.57% |                     8.22% |                    64.11% |       34.04% |          28.57% |          28.57% |
| 4C Uro Control (Non-Yorion)    |      0.07% |          1 |      44.00 |    2 |      5 |     0 | 28.57% |                     8.22% |                    64.11% |       54.18% |          28.57% |          28.57% |
| 4C Uro Control (Yorion)        |      0.07% |          1 |     122.00 |    4 |      5 |     0 | 44.44% |                    18.88% |                    73.33% |       51.46% |          44.44% |          44.44% |
| Abzan Depths                   |      0.07% |          1 |     212.00 |    1 |      5 |     0 | 16.67% |                     3.01% |                    56.35% |       41.95% |          16.67% |          25.00% |
| BUG Control                    |      0.07% |          1 |      34.00 |    1 |      2 |     0 | 33.33% |                     6.15% |                    79.23% |       45.13% |          33.33% |          16.67% |
| Blue Artifacts                 |      0.07% |          1 |      21.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       36.43% |          50.00% |          41.67% |
| Blue Painter                   |      0.07% |          1 |      31.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       45.44% |          50.00% |          50.00% |
| Chain of Smog Combo            |      0.07% |          1 |      31.00 |    1 |      2 |     0 | 33.33% |                     6.15% |                    79.23% |       40.14% |          33.33% |          33.33% |
| Death and Taxes (60 Card)      |      0.07% |          1 |     332.00 |    0 |      2 |     0 |  0.00% |                     0.00% |                    65.76% |       47.78% |           0.00% |           0.00% |
| Madness                        |      0.07% |          1 |     329.00 |    0 |      2 |     0 |  0.00% |                     0.00% |                    65.76% |       39.41% |           0.00% |           0.00% |
| Manaless Dredge                |      0.07% |          1 |     200.00 |    2 |      7 |     0 | 22.22% |                     6.32% |                    54.74% |       34.36% |          22.22% |          22.22% |
| Orzhov Vial                    |      0.07% |          1 |      50.00 |    6 |      3 |     0 | 66.67% |                    35.42% |                    87.94% |       53.00% |          66.67% |          66.67% |
| Other Spell Combo              |      0.07% |          1 |      14.00 |    5 |      2 |     0 | 71.43% |                    35.89% |                    91.78% |       36.71% |          71.43% |          54.76% |
| Paradoxical Outcome            |      0.07% |          1 |      13.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       35.61% |          50.00% |          41.67% |
| RUG Delver                     |      0.07% |          1 |     178.00 |    2 |      2 |     0 | 50.00% |                    15.00% |                    85.00% |       50.42% |          50.00% |          50.00% |
| RUG Midrange-Control           |      0.07% |          1 |     176.00 |    1 |      3 |     0 | 25.00% |                     4.56% |                    69.94% |       48.71% |          25.00% |          25.00% |
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
