22 events: Legacy Challenge 32 2025-07-02 (2025-07-02), Legacy Challenge 32 2025-07-04 (2025-07-04), Legacy Challenge 32 2025-07-05 (2025-07-05), Legacy Challenge 32 2025-07-06 - 1 (2025-07-06), Legacy Showcase Challenge 2025-07-06 (2025-07-06), Legacy Challenge 32 2025-07-09 (2025-07-09), Legacy Challenge 32 2025-07-11 (2025-07-11), Legacy Challenge 32 2025-07-12 (2025-07-12), Legacy Challenge 32 2025-07-13 - 1 (2025-07-13), Legacy Challenge 32 2025-07-13 - 2 (2025-07-13), Legacy Challenge 32 2025-07-16 (2025-07-16), Legacy Challenge 32 2025-07-18 (2025-07-18), Legacy Challenge 32 2025-07-19 (2025-07-19), Oklahoma Land Run '25 Legacy Open (2025-07-19), Legacy Challenge 32 2025-07-20 - 1 (2025-07-20), Legacy Challenge 32 2025-07-20 - 2 (2025-07-20), Legacy Challenge 32 2025-07-23 (2025-07-23), Legacy Challenge 32 2025-07-25 (2025-07-25), Legacy Challenge 32 2025-07-26 (2025-07-26), Legacy Challenge 32 2025-07-27 - 1 (2025-07-27), Legacy Challenge 32 2025-07-27 - 2 (2025-07-27), Legacy Challenge 32 2025-07-30 (2025-07-30)
+--------------------------------+--------+-------+------------+------+--------+-------+--------+-----------+--------+----------+
|              Deck              |  % of  | # in  |    Avg.    | Wins | Losses | Draws | Win %  |   Win %   | EV vs. |  EV vs.  |
|                                | Field  | Field | Percentile |      |        |       |        | vs. Other | Field  | Pairings |
+--------------------------------+--------+-------+------------+------+--------+-------+--------+-----------+--------+----------+
| Death and Taxes (60 Card)      |  0.15% |     2 |     51.02% |    5 |      6 |     0 | 45.45% |    45.45% | 35.27% |   45.45% |
| Death's Shadow                 |  0.15% |     2 |     27.37% |    4 |      8 |     0 | 33.33% |    33.33% | 36.52% |   33.33% |
| Infect                         |  0.15% |     2 |     56.03% |    6 |      6 |     0 | 50.00% |    50.00% | 51.60% |   50.00% |
| Other Permanent Combo          |  0.15% |     2 |     41.32% |    4 |      7 |     0 | 36.36% |    36.36% | 41.72% |   36.36% |
| Other Stompy                   |  0.15% |     2 |     80.00% |    9 |      5 |     0 | 64.29% |    64.29% | 60.70% |   64.29% |
| Rakdos Reanimator              |  0.15% |     2 |      8.10% |    0 |      4 |     0 |  0.00% |     0.00% | 36.56% |    0.00% |
| Standstill                     |  0.15% |     2 |     26.92% |    2 |      6 |     0 | 25.00% |    25.00% | 42.66% |   25.00% |
| Sultai Control                 |  0.15% |     2 |     64.70% |    8 |      7 |     0 | 53.33% |    53.33% | 56.00% |   53.33% |
| Worldgorger                    |  0.15% |     2 |     57.36% |    6 |      8 |     0 | 42.86% |    42.86% | 47.75% |   42.86% |
| Aluren                         |  0.07% |     1 |      2.56% |    0 |      2 |     0 |  0.00% |     0.00% | 36.05% |    0.00% |
| Black Phoenix                  |  0.07% |     1 |      2.13% |    0 |      2 |     0 |  0.00% |     0.00% | 45.07% |    0.00% |
| Boros Energy                   |  0.07% |     1 |     52.33% |    2 |      6 |     0 | 25.00% |    25.00% | 44.51% |   25.00% |
| Colorless Cloudpost            |  0.07% |     1 |     69.64% |    4 |      2 |     0 | 66.67% |    66.67% | 47.31% |   66.67% |
| Coveted Jewel Combo            |  0.07% |     1 |     13.89% |    0 |      3 |     0 |  0.00% |     0.00% | 36.19% |    0.00% |
| Creative Technique             |  0.07% |     1 |     13.21% |    1 |      4 |     0 | 20.00% |    20.00% | 35.20% |   20.00% |
| Nic Fit                        |  0.07% |     1 |     26.09% |    0 |      4 |     0 |  0.00% |     0.00% | 47.16% |    0.00% |
| Other Graveyard                |  0.07% |     1 |     32.14% |    2 |      3 |     0 | 40.00% |    40.00% | 51.58% |   40.00% |
| Other Land Based/Fair GSZ      |  0.07% |     1 |     27.91% |    2 |      4 |     0 | 33.33% |    33.33% | 41.31% |   33.33% |
+--------------------------------+--------+-------+------------+------+--------+-------+--------+-----------+--------+----------+
