19 events: Legacy Challenge 32 2025-05-02 (2025-05-02), Legacy Challenge 32 2025-05-03 (2025-05-03), Bazaar of Boxes Series 15 (2025-05-03), Legacy Challenge 32 2025-05-04 - 1 (2025-05-04), Legacy Challenge 32 2025-05-04 - 2 (2025-05-04), Legacy Challenge 32 2025-05-07 (2025-05-07), Legacy Challenge 32 2025-05-09 (2025-05-09), Legacy Challenge 32 2025-05-10 (2025-05-10), Legacy Challenge 32 2025-05-11 - 1 (2025-05-11), Legacy Challenge 32 2025-05-11 - 2 (2025-05-11), Legacy Challenge 32 2025-05-14 (2025-05-14), Legacy Challenge 32 2025-05-16 (2025-05-16), Legacy Challenge 32 2025-05-17 (2025-05-17), Legacy Challenge 32 2025-05-18 - 1 (2025-05-18), Legacy Challenge 32 2025-05-18 - 2 (2025-05-18), Legacy Challenge 32 2025-05-21 (2025-05-21), Legacy Challenge 32 2025-05-23 (2025-05-23), Legacy Challenge 32 2025-05-24 (2025-05-24), Legacy Challenge 32 2025-05-25 - 1 (2025-05-25)
+--------------------------------+--------+-------+------------+------+--------+-------+--------+-----------+--------+----------+
|              Deck              |  % of  | # in  |    Avg.    | Wins | Losses | Draws | Win %  |   Win %   | EV vs. |  EV vs.  |
|                                | Field  | Field | Percentile |      |        |       |        | vs. Other | Field  | Pairings |
+--------------------------------+--------+-------+------------+------+--------+-------+--------+-----------+--------+----------+
| Other Permanent Combo          |  0.22% |     2 |     40.00% |    4 |      6 |     0 | 40.00% |    40.00% | 47.20% |   40.00% |
| Other Spell Combo              |  0.22% |     2 |     58.25% |    6 |      6 |     0 | 50.00% |    50.00% | 46.60% |   50.00% |
| The EPIC Gamble                |  0.22% |     2 |     48.44% |    4 |      6 |     0 | 40.00% |    40.00% | 45.72% |   40.00% |
| The EPIC Storm                 |  0.22% |     2 |     50.00% |    4 |      7 |     0 | 36.36% |    36.36% | 44.96% |   36.36% |
| Unknown Deck                   |  0.22% |     2 |      7.34% |    0 |      2 |     0 |  0.00% |     0.00% | 42.05% |    0.00% |
| White Stompy                   |  0.22% |     2 |     51.52% |    5 |      7 |     0 | 41.67% |    41.67% | 52.14% |   41.67% |
| Bant Control (Non-Yorion)      |  0.11% |     1 |     58.49% |    3 |      3 |     0 | 50.00% |    50.00% | 55.54% |   50.00% |
| Bomberman                      |  0.11% |     1 |     58.33% |    3 |      3 |     0 | 50.00% |    50.00% | 47.26% |   50.00% |
| Boros Stompy                   |  0.11% |     1 |     18.87% |    1 |      2 |     0 | 33.33% |    33.33% | 48.96% |   33.33% |
| Coveted Jewel Combo            |  0.11% |     1 |     69.90% |    4 |      3 |     0 | 57.14% |    57.14% | 50.05% |   57.14% |
| Enchantress                    |  0.11% |     1 |     14.56% |    1 |      4 |     0 | 20.00% |    20.00% | 42.43% |   20.00% |
| Esper Vial                     |  0.11% |     1 |     10.64% |    0 |      2 |     0 |  0.00% |     0.00% | 45.18% |    0.00% |
| Food Chain                     |  0.11% |     1 |     17.39% |    1 |      3 |     0 | 25.00% |    25.00% | 49.51% |   25.00% |
| Gruul Stompy                   |  0.11% |     1 |     19.05% |    1 |      3 |     0 | 25.00% |    25.00% | 42.00% |   25.00% |
| Madness                        |  0.11% |     1 |     40.78% |    3 |      4 |     0 | 42.86% |    42.86% | 43.70% |   42.86% |
| Merfolk                        |  0.11% |     1 |      2.91% |    1 |      3 |     0 | 25.00% |    25.00% | 47.26% |   25.00% |
| Naya Depths                    |  0.11% |     1 |     93.20% |    5 |      1 |     0 | 83.33% |    83.33% | 52.78% |   83.33% |
| Other Aggro                    |  0.11% |     1 |     66.04% |    2 |      3 |     0 | 40.00% |    40.00% | 41.28% |   40.00% |
| Other Graveyard                |  0.11% |     1 |     75.00% |    4 |      2 |     0 | 66.67% |    66.67% | 60.36% |   66.67% |
| Rakdos Reanimator              |  0.11% |     1 |     11.65% |    1 |      3 |     0 | 25.00% |    25.00% | 48.63% |   25.00% |
| Ruby Storm                     |  0.11% |     1 |     58.25% |    4 |      3 |     0 | 57.14% |    57.14% | 46.55% |   57.14% |
| Stoneblade                     |  0.11% |     1 |     50.00% |    3 |      3 |     0 | 50.00% |    50.00% | 47.48% |   50.00% |
| Thought Lash Combo             |  0.11% |     1 |     30.10% |    2 |      4 |     0 | 33.33% |    33.33% | 50.44% |   33.33% |
| White Painter                  |  0.11% |     1 |     63.11% |    4 |      3 |     0 | 57.14% |    57.14% | 48.25% |   57.14% |
+--------------------------------+--------+-------+------------+------+--------+-------+--------+-----------+--------+----------+
