|              Deck               |  % of  | # in  |    Avg.    | Wins | Losses | Draws | Win %  |   Win %   | EV vs. |  EV vs.  |
|                                 | Field  | Field | Percentile |      |        |       |        | vs. Other | Field  | Pairings |
+---------------------------------+--------+-------+------------+------+--------+-------+--------+-----------+--------+----------+
| Boros Energy                    |  0.14% |     3 |     67.84% |   12 |      8 |     0 | 60.00% |    60.00% | 67.34% |   60.00% |
| Colorless Cloudpost             |  0.14% |     3 |     13.68% |    2 |      9 |     0 | 18.18% |    18.18% | 36.77% |   18.18% |
| Coveted Jewel Combo             |  0.14% |     3 |     20.59% |    3 |      8 |     0 | 27.27% |    27.27% | 40.48% |   27.27% |
| Golgari Depths                  |  0.14% |     3 |     29.56% |    3 |      7 |     0 | 30.00% |    30.00% | 41.17% |   30.00% |
| Nic Fit                         |  0.14% |     3 |     29.78% |    5 |      9 |     0 | 35.71% |    35.71% | 37.34% |   35.71% |
| Other Control                   |  0.14% |     3 |     39.22% |    8 |      9 |     0 | 47.06% |    47.06% | 54.06% |   47.06% |
| Other Land Based/Fair GSZ       |  0.14% |     3 |     74.63% |   12 |      7 |     0 | 63.16% |    63.16% | 49.13% |   63.16% |
| Paradoxical Outcome             |  0.14% |     3 |     55.79% |    8 |      9 |     0 | 47.06% |    47.06% | 43.61% |   47.06% |
| Abzan Depths                    |  0.09% |     2 |     70.13% |    8 |      5 |     0 | 61.54% |    61.54% | 55.36% |   61.54% |
| Esper Tempo                     |  0.09% |     2 |     63.46% |    8 |      6 |     0 | 57.14% |    57.14% | 55.73% |   57.14% |
| Food Chain                      |  0.09% |     2 |     55.80% |    7 |      6 |     0 | 53.85% |    53.85% | 48.14% |   53.85% |
| Infect                          |  0.09% |     2 |     26.36% |    4 |      7 |     0 | 36.36% |    36.36% | 42.34% |   36.36% |
| Jeskai Tempo                    |  0.09% |     2 |     50.67% |    5 |      6 |     0 | 45.45% |    45.45% | 40.41% |   45.45% |
| Natural Order                   |  0.09% |     2 |     15.49% |    2 |      8 |     0 | 20.00% |    20.00% | 37.55% |   20.00% |
| Necrodominance Combo            |  0.09% |     2 |     20.29% |    2 |      9 |     0 | 18.18% |    18.18% | 36.59% |   18.18% |
| 4C Non Uro Control (Non-Yorion) |  0.05% |     1 |     37.50% |    0 |      1 |     0 |  0.00% |     0.00% | 41.56% |    0.00% |
| 4C Uro Control (Yorion)         |  0.05% |     1 |     17.05% |    1 |      5 |     0 | 16.67% |    16.67% | 45.96% |   16.67% |
| Bant Control (Non-Yorion)       |  0.05% |     1 |      4.50% |    1 |      4 |     0 | 20.00% |    20.00% | 46.62% |   20.00% |
| Bant Control (Yorion)           |  0.05% |     1 |     60.00% |    3 |      3 |     0 | 50.00% |    50.00% | 52.11% |   50.00% |
| Bomberman                       |  0.05% |     1 |      5.00% |    0 |      3 |     0 |  0.00% |     0.00% | 40.65% |    0.00% |
| Creative Technique              |  0.05% |     1 |      0.00% |    0 |      4 |     0 |  0.00% |     0.00% | 42.67% |    0.00% |
| High Tide                       |  0.05% |     1 |     32.56% |    2 |      4 |     0 | 33.33% |    33.33% | 45.17% |   33.33% |
| Hogaak                          |  0.05% |     1 |      0.78% |    0 |      4 |     0 |  0.00% |     0.00% | 45.98% |    0.00% |
| Loam                            |  0.05% |     1 |     57.89% |    3 |      3 |     0 | 50.00% |    50.00% | 40.86% |   50.00% |
| Other Tempo                     |  0.05% |     1 |     75.00% |    3 |      2 |     0 | 60.00% |    60.00% | 54.91% |   60.00% |
| Rakdos Reanimator               |  0.05% |     1 |     21.71% |    2 |      4 |     0 | 33.33% |    33.33% | 43.40% |   33.33% |
| Ruby Storm                      |  0.05% |     1 |     86.84% |    5 |      2 |     0 | 71.43% |    71.43% | 52.83% |   71.43% |
+---------------------------------+--------+-------+------------+------+--------+-------+--------+-----------+--------+----------+
