21 events: Legacy Challenge 32 2025-06-01 - 1 (2025-06-01), Legacy Challenge 32 2025-06-01 - 2 (2025-06-01), Legacy Challenge 32 2025-06-06 (2025-06-06), Legacy Challenge 32 2025-06-07 (2025-06-07), Legacy Challenge 32 2025-06-08 - 1 (2025-06-08), Legacy Showcase Challenge 2025-06-08 (2025-06-08), Legacy Challenge 32 2025-06-11 (2025-06-11), Legacy Challenge 32 2025-06-13 (2025-06-13), Legacy Challenge 32 2025-06-14 (2025-06-14), Legacy Challenge 32 2025-06-15 - 1 (2025-06-15), Legacy Challenge 32 2025-06-15 - 2 (2025-06-15), Legacy Challenge 32 2025-06-20 (2025-06-20), Legacy RC Qualifier 2025-06-20 (2025-06-20), Legacy Challenge 32 2025-06-21 (2025-06-21), Legacy Challenge 32 2025-06-22 - 1 (2025-06-22), Legacy Challenge 32 2025-06-22 - 2 (2025-06-22), Legacy Challenge 32 2025-06-27 (2025-06-27), Legacy Challenge 32 2025-06-28 (2025-06-28), Buffalo Chicken Dip Legacy 22 (2025-06-28), Legacy Challenge 32 2025-06-29 - 1 (2025-06-29), Legacy Challenge 32 2025-06-29 - 2 (2025-06-29)
+---------------------------------+--------+-------+------------+------+--------+-------+--------+-----------+--------+----------+
|              Deck               |  % of  | # in  |    Avg.    | Wins | Losses | Draws | Win %  |   Win %   | EV vs. |  EV vs.  |
|                                 | Field  | Field | Percentile |      |        |       |        | vs. Other | Field  | Pairings |
+---------------------------------+--------+-------+------------+------+--------+-------+--------+-----------+--------+----------+
| Death's Shadow                  |  0.16% |     2 |      2.51% |    0 |      7 |     0 |  0.00% |     0.00% | 39.57% |    0.00% |
| Gruul Stompy                    |  0.16% |     2 |     17.90% |    1 |      4 |     0 | 20.00% |    20.00% | 39.53% |   20.00% |
| Nic Fit                         |  0.16% |     2 |     20.16% |    1 |      8 |     0 | 11.11% |    11.11% | 33.43% |   11.11% |
| Other Control                   |  0.16% |     2 |     44.06% |    5 |      7 |     0 | 41.67% |    41.67% | 47.29% |   41.67% |
| Soul Cauldron Combo             |  0.16% |     2 |     62.80% |    7 |      7 |     0 | 50.00% |    50.00% | 57.29% |   50.00% |
| Sultai Control                  |  0.16% |     2 |      7.44% |    0 |      5 |     0 |  0.00% |     0.00% | 44.34% |    0.00% |
| The EPIC Storm                  |  0.16% |     2 |     68.73% |    8 |      5 |     0 | 61.54% |    61.54% | 46.04% |   61.54% |
| Thought Lash Combo              |  0.16% |     2 |     43.82% |    5 |      6 |     0 | 45.45% |    45.45% | 49.49% |   45.45% |
| Unknown Deck                    |  0.16% |     2 |      8.17% |    0 |      2 |     0 |  0.00% |     0.00% | 39.73% |    0.00% |
| 4C Uro Control (Non-Yorion)     |  0.08% |     1 |     47.47% |    3 |      2 |     0 | 60.00% |    60.00% | 54.28% |   60.00% |
| Bant Control (Non-Yorion)       |  0.08% |     1 |     81.08% |    4 |      2 |     0 | 66.67% |    66.67% | 52.75% |   66.67% |
| Chain of Smog Combo             |  0.08% |     1 |     29.23% |    1 |      2 |     0 | 33.33% |    33.33% | 40.82% |   33.33% |
| Eldrazi                         |  0.08% |     1 |     23.91% |    1 |      4 |     0 | 20.00% |    20.00% | 38.20% |   20.00% |
| Esper Tempo                     |  0.08% |     1 |     37.84% |    2 |      3 |     0 | 40.00% |    40.00% | 45.39% |   40.00% |
| Food Chain                      |  0.08% |     1 |     24.32% |    2 |      4 |     0 | 33.33% |    33.33% | 49.23% |   33.33% |
| Other Land Based/Fair GSZ       |  0.08% |     1 |     69.57% |    4 |      2 |     0 | 66.67% |    66.67% | 47.49% |   66.67% |
| Other Stompy                    |  0.08% |     1 |     85.38% |    5 |      3 |     0 | 62.50% |    62.50% | 50.86% |   62.50% |
| Paradoxical Outcome             |  0.08% |     1 |     36.84% |    2 |      4 |     0 | 33.33% |    33.33% | 34.16% |   33.33% |
| Rakdos Reanimator               |  0.08% |     1 |     20.93% |    1 |      3 |     0 | 25.00% |    25.00% | 43.49% |   25.00% |
| Temur Cascade                   |  0.08% |     1 |     53.85% |    3 |      3 |     0 | 50.00% |    50.00% | 53.03% |   50.00% |
+---------------------------------+--------+-------+------------+------+--------+-------+--------+-----------+--------+----------+
