deck1,deck2,n,w
rug bloodbraid,tes,1,0
rug bloodbraid,stoneblade,1,0
rug bloodbraid,sneak and show,1,0
rug bloodbraid,rug delver,1,0
r/u/g aggro,white weenie,1,0
rug aggro,u/w landstill,1,0
rug aggro,team america,1,0
r/u/g aggro,stax,1,1
rug aggro,rug control,1,1
rogues,team america,1,0
rogue merfolk,u/b underworld dreams,1,1
rogue merfolk,tezzeret affinity,1,0
r/g,zoo,1,0
r/g,tempered steel,1,0
r/g shamans,rug delver,1,0
r/g,r/g aggro,1,1
r/g/b beatdown,stiflenaught,1,1
r/g aggro,zoo,1,1
r/g aggro,u/w/r landstill,1,0
r/g aggro,tezzeret control,1,0
r/g aggro,team america,1,0
r/g aggro,stasis,1,0
reveillark,survival,1,0
replenish,zoo,1,0
replenish,u/w landstill,1,0
replenish,team america,1,0
relentless rats,rug delver,1,0
red deck wins,zoo,1,0
red deck wins,threshold,1,0
rebels,zoo,1,0
rebels,u/w control,1,1
rebels,rug delver,1,0
rebels,rockin' reanimator,1,1
reanimator,ziggurat zoo,1,1
reanimator,white knights,1,1
reanimator,w/b/r deathblade,1,0
reanimator,walls,1,1
reanimator,vial ninjas,1,1
reanimator,u/w wizards,1,1
reanimator,u/w visions,1,0
reanimator,u/w thopters,1,1
reanimator,u/w/r stoneblade,1,0
reanimator,u/w miracles,1,1
reanimator,u/g vengevine,1,0
reanimator,u/b trinisphere,1,1
reanimator,u/b mill,1,1
reanimator,u/b faeries,1,0
reanimator,ub delver,1,0
reanimator,u/b death's shadow,1,0
reanimator,turboland,1,1
reanimator,stompy green,1,1
reanimator,standard ub,1,0
reanimator,sovereign life,1,1
reanimator,soul sisters,1,0
reanimator,sneak through,1,0
reanimator,sneak attack,1,1
reanimator,scapeshift,1,1
reanimator,salvagers,1,1
reanimator,rug counterbalance,1,1
reanimator,rogues,1,1
reanimator,reshape combo,1,1
reanimator combo,stax,1,1
reanimator combo,show and tell,1,0
rdw,u/w miracles,1,1
r/b aggro,zoo,1,1
rats,rug,1,1
quillspike druid,zoo,1,0
pyromancer ascension,survival,1,1
pyromancer ascension,stoneblade,1,1
pyromancer ascension,show and tell,1,0
punishing zoo,u/w/r delver,1,0
punishing rug,u/w/r delver,1,0
punishing rug,rug delver,1,0
punishing jund,zombies,1,1
punishing jund,u/w/r delver,1,1
punishing jund,u/w miracles,1,0
punishing jund,the epic storm,1,1
punishing jund,storm,1,0
punishing jund,show and tell,1,0
punishing fire,tezzerator,1,1
punishing fire,sultai delver,1,1
proteus staff,zoo,1,0
proteus staff,stoneblade,1,0
proteus staff combo,tes,1,1
proteus staff combo,rug delver,1,0
proteus staff combo,reanimator,1,0
pox,white weenie,1,1
pox,u/w/r delver,1,0
pox,u/w control,1,0
pox,ur control,1,1
pox,u/b delver,1,0
pox,trading stax,1,0
pox,tezzeret thopters,1,0
pox,tezzeret affinity,1,0
pox,team italia,1,1
pox,stiflenought,1,1
pox,r/g shamans,1,1
pox,proteus staff combo,1,1
power monolith,stiflenought,1,0
polymorph,u/w control,1,0
polymorph,survival,1,0
pitch world,scepter balance,1,1
peace helm,u/b standstill,1,0
peace helm,u/b control,1,1
peace helm,twelvepost,1,1
peace helm,the walking dead,1,0
peace helm,stoneblade,1,0
peace helm,show and tell,1,0
pattern of rebirth,sneak and show,1,0
pattern of rebirth,reanimator,1,0
patron wizard,u/w control,1,0
patron wizard,team america,1,0
patron wizards,reanimator,1,1
patron wizards,pyromancer ascension,1,1
painter,sultai delver,1,0
painter stone,u/b delver,1,1
painter stone,stoneblade,1,1
painter stone,rug delver,1,0
painter stone,pox,1,0
painter's grindstone,u/r delver,1,1
painter's grindstone,u/b faeries,1,0
painter's grindstone,slivers,1,1
painter's grindstone,secrets of the dead,1,1
painter's grindstone,sea stompy,1,1
painted stone,white knights,1,1
painted stone,w/b stoneblade,1,1
painted stone,u/w visions,1,0
painted stone,u/w singleton,1,1
painted stone,u/w/r stoneblade,1,0
painted stone,u/w/r miracles,1,0
painted stone,uwr control,1,1
painted stone,u/w miracles,1,1
painted stone,u/w aggro,1,0
painted stone,urzatron,1,0
painted stone,u/g vengevine,1,1
painted stone,u/b tezzeret,1,1
painted stone,u/b landstill,1,0
painted stone,u/b delver,1,0
painted stone,storm,1,0
painted stone,stompy,1,0
painted stone,stiflenaught,1,1
painted stone,stifle naught,1,1
painted stone,sneak attack,1,0
painted stone,scepter-chant,1,0
painted stone,r/w weenie,1,1
painted stone,r/w/b aggro,1,1
painted stone,rug,1,1
painted stone,r/g,1,1
painted stone,red deck wins,1,1
painted stone,quest for holy armor,1,1
painted stone,proteus staff,1,0
opalescense,u/r delver,1,0
opalescense,show and tell,1,0
ooze combo,zoo,1,1
ooze combo,u/w stoneblade,1,1
ooze combo,painted stone,1,0
oops all spells!,sneak and show,1,0
oops all spells!,rug delver,1,1
one land storm,zoo,1,0
one land storm,u/r aggro,1,0
one land storm,reanimator,1,1
omni-tell,zoo,1,0
omnitell,u/w wizards,1,0
omni-tell,u/w/r stoneblade,1,0
omni-tell,u/w/r delver,1,1
omnitell,ub tezzeret,1,1
omnitell,u/b control,1,1
omni-tell,sultai delver,1,0
omnitell,sultai control,1,0
omni-tell,sultai control,1,0
omnitell,storm,1,0
omnitell,stompy,1,1
omnitell,r/w aggro,1,1
omni-tell,rug cascade,1,1
omni-tell,reanimator,1,0
omnitell,peace helm,1,0
omni-tell,painter,1,1
omnitell,painted stone,1,1
omni show,u/w stoneblade,1,1
omni show,reanimator,1,0
omni show,painted stone,1,0
omniscience combo,zoo,1,0
omniscience combo,u/b delver,1,1
omniscience combo,tes,1,0
omniscience combo,rug delver,1,0
no u/g,zoo,1,1
not sumbitted,u/r delver,1,1
not sumbitted,u/g infect,1,1
not sumbitted,sneak and show,1,1
not sumbitted,omnitell,1,0
not submitted,u/w tempo,1,0
not submitted,u/w stoneblade,1,0
not submitted,u/w landstill,1,0
not submitted,u/g infect,1,0
not submitted,thopter sword,1,1
not submitted,the walking dead,1,0
not submitted,team america,1,0
not submitted,survival,1,0
not submitted,sneak and show,1,0
not submitted,reanimator,1,0
not submitted,pox,1,1
not submitted,pattern of rebirth,1,1
no toolbox,u/w tempo,1,1
not found,team america,1,0
not found,show and tell,1,0
no show,u/w stoneblade,1,0
no show,u/w/r control,1,0
no show,the walking dead,1,0
no show,tezzeret metalcraft,1,0
no show,show and tell,1,1
no show,rug,1,0
no show,not submitted,1,0
no rug,white weenie,1,0
no rug,u/w/r stoneblade,1,1
no rug,u/r landstill,1,0
no rug,u/r delver,1,1
no rug,u/r control,1,1
no rug,u/b landstill,1,0
no rug,u/b control,1,0
no rug,tezzeret metalcraft,1,1
no rug,stax,1,1
no rug,soul sisters,1,0
no rug,r/w trinisphrere,1,1
no rug,r/w stoneblade,1,0
no rug,rogues,1,1
no rug,no u/g,1,1
no rug,no toolbox,1,0
no naya,zoo,1,0
no naya,u/w stoneblade,1,0
no list,zoo,1,0
no list,show and tell,1,1
no list,painted stone,1,1
no land dredge,u/w landstill,1,0
no land dredge,no rug,1,0
no hulk,u/w visions,1,1
no hulk,no rug,1,0
no g/w,team america,1,0
no g/w,survival,1,0
no g/w,show and tell,1,1
no green,u/w landstill,1,0
no green,tes,1,0
no green,terrageddon,1,1
no green,stoneblade,1,0
no green,reanimator,1,0
no green,no rug,1,1
no bug,zoo,1,1
no bug,u/w landstill,1,0
no bug,u/r,1,1
no bug,team america,1,0
no bug,rug delver,1,1
no bug,reanimator,1,1
no bug,painted stone,1,1
no bug,no rug,1,0
no bant,wizards,1,0
no bant,u/w tempo,1,0
no bant,u/w/r stoneblade,1,1
no bant,u/w aggro,1,1
no bant,u/g madness,1,1
no bant,turboland,1,0
no bant,training grounds,1,1
no bant,tezzeret stax,1,1
no bant,slivers,1,0
no bant,scepter-chant,1,1
no bant,r/w weenie,1,1
no bant,r/w/b blade,1,0
no bant,r/u/g control,1,0
no bant,pox,1,0
no bant horizons,zoo,1,0
no 4 color,tezzeret metalcraft,1,1
no 4 color,painted stone,1,0
ninjas!,zoo,1,0
ninjas!,salvagers,1,0
nic shift,u/w stoneblade,1,0
nic fit,zombies,1,0
nic fit,u/g infect,1,0
nic fit,u/b delver,1,0
nic fit,twelvepost,1,1
nic-fit,temur delver,1,0
nic fit,team italia,1,0
nic fit,sultai delver,1,1
nic fit,storm,1,0
nic fit,stiflenaught,1,1
nic fit,stasis,1,1
nic fit,show and tell,1,0
nic fit,scapeshift,1,1
nic fit,r/w aggro,1,1
new horizons,u/w trinkets,1,1
new horizons,u/w aggro,1,1
new horizons,u/r control,1,0
new horizons,twelvepost,1,1
new horizons,stompy green,1,1
new horizons,sneak attack,1,1
new horizons,sea drake stompy,1,1
new horizons,reanimator combo,1,1
new horizons,pyromancer ascension,1,1
new horizons,opal leylines,1,0
new horizons,not submitted,1,1
natural order,white weenie,1,0
natural order,trinistax,1,1
natural order,terravore,1,1
natural order,survival,1,1
natural order,stiflenaught,1,1
natural order,salvagers,1,1
natural order,naya scepter,1,1
mud,u/w tempo,1,1
mud,u/w/r landstill,1,0
mud,u/b delver,1,0
mud,twelvepost,1,0
mud,thopter foundry,1,0
mud,tes,1,1
mud,sylvan plug,1,1
mud,punishing jund,1,1
mono white stoneblade,team america,1,0
mono white stoneblade,reanimator,1,1
mono white stoneblade,no bant,1,1
mono white stax,wizards,1,0
mono white stax,u/r delver,1,0
mono white stax,tes,1,0
mono-white stax,sneak and show,1,0
mono white stax,sneak and show,1,0
mono white stax,omnitell,1,1
mono white,slivers,1,0
mono white shadow,u/w delver,1,0
mono white shadow,stoneblade,1,0
mono white,scrambled eggs,1,1
mono white,reanimator,1,0
mono white puresteel,turboland,1,1
mono white puresteel,team america,1,1
mono white puresteel,stoneblade,1,0
mono white puresteel,reanimator,1,0
mono white puresteel,no show,1,0
mono-white control,white weenie,1,1
mono-white control,u/r delver,1,0
mono-white control,pox,1,0
mono-white control,opalescense,1,1
mono white beatdown,scepter chant,1,0
mono white armageddon,tezzeret metalcraft,1,0
mono white armageddon,stoneblade,1,1
mono white aggro,wizards,1,1
mono white aggro,u/b delver,1,1
mono white aggro,team italia,1,0
mono white aggro,scepter chant,1,0
mono white aggro,rug control,1,1
mono r sneak attack,sultai delver,1,0
mono-red sneak attack,u/w/r delver,1,0
mono-red moggcatcher,u/w/r miracles,1,1
mono red aggro,sneak and show,1,0
mono green infect,the walking dead,1,0
mono green infect,sneak and show,1,0
mono green infect,pox,1,1
mono green infect,mono white stax,1,1
mono green berserk,zoo,1,1
mono green berserk,painted stone,1,0
mono green aggro,u/w midrange,1,0
mono green aggro,tes,1,0
mono green aggro,stoneblade,1,0
mono green aggro,slivers,1,0
mono green aggro,scrambled eggs,1,0
mono green aggro,rogues,1,1
mono green aggro,reanimator,1,0
mono brown,zoo,1,1
mono brown,show and tell,1,0
mono brown,no bant,1,0
mono blue,u/w thopters,1,0
mono blue tempo,zoo,1,1
mono blue tempo,u/r delver,1,0
mono blue tempo,u/g infect,1,0
mono blue tempo,stax,1,0
mono blue tempo,sneak and show,1,1
mono blue tempo,reanimator,1,0
mono blue tempo,painter's grindstone,1,1
mono blue tempo,omnitell,1,0
mono blue tempo,nic fit,1,1
mono blue ninjas,u/r delver,1,1
mono blue ninjas,stoneblade,1,0
mono blue landstill,zoo,1,0
mono blue landstill,stoneblade,1,0
mono-blue delver,u/w/r miracles,1,0
mono-blue control,zoo,1,1
mono blue control,white weenie,1,1
mono blue control,white knights,1,0
mono blue control,u/w midrange,1,1
mono blue control,u/w aggro,1,1
mono blue control,u/r control,1,0
mono blue control,u/r,1,1
mono blue control,u/g vengevine,1,1
mono blue control,twelvepost,1,0
mono blue control,turboland,1,1
mono blue control,threshold,1,1
mono blue control,tezzeret plating,1,1
mono blue control,tezzeret metalcraft,1,1
mono blue control,tezzeret affinity,1,0
mono blue control,team italia,1,1
mono-blue control,stoneblade,1,1
mono-blue control,sneak and show,1,0
mono blue control,slivers,1,0
mono blue control,r/w weenie,1,1
mono blue control,r/w aggro,1,1
mono blue control,pyromancer ascension,1,1
mono blue control,proteus staff combo,1,0
mono blue control,pox,1,0
mono blue control,painter's grindstone,1,0
mono blue control,no bug,1,1
mono blue control,nic fit,1,1
mono-blue control,mud,1,1
mono blue control,mono green auras,1,1
mono black zombies,twelvepost,1,1
mono black zombies,rug delver,1,0
mono black zombies,pox,1,1
mono black,reanimator,1,1
mono black rack,u/r delver,1,1
mono black rack,nic fit,1,0
mono black poison,nic fit,1,1
mono black,natural order,1,0
mono black midrange,u/b control,1,0
mono black midrange,tes,1,0
mono black midrange,rug delver,1,1
mono black grave pact,rug delver,1,0
mono black dreams,stiflenaught,1,0
mono black control,wizards,1,0
mono black control,u/w visions,1,0
mono black control,u/w singleton,1,1
mono black control,u/w/r stoneblade,1,1
mono black control,u/w/r control,1,0
mono black control,u/w landstill,1,0
mono black control,u/r delver,1,1
mono black control,u/r,1,1
mono black control,u/b control,1,1
mono black control,tezzeret metalcraft,1,1
mono black control,tezzerator,1,1
mono black control,tes,1,1
mono black control,sneak and show,1,0
mono black control,r/w aggro,1,1
mono black control,r/g aggro,1,0
mono black control,reshape combo,1,0
mono-black control,reanimator,1,0
mono black control,polymorph,1,0
mono black control,ooze combo,1,1
mono-black control,omni-tell,1,0
mono black control,not submitted,1,1
mono black aggro,zoo,1,0
mono black aggro,white weenie,1,1
mono black aggro,u/r delver,1,0
mono black aggro,tezzeret thopters,1,0
mono black aggro,tes,1,1
mono black aggro,r/g aggro,1,1
mono black aggro,reanimator,1,1
mono black aggro,nic fit,1,1
mono black aggro,mono blue control,1,0
mono black aggro,mono black control,1,0
molten psyche,zoo,1,0
mishra grixis,u/r delver,1,0
miracles,young frankenstein,1,1
miracles,vampires,1,1
miracles,valakut,1,0
miracles,u/w stoneblade,1,1
miracles,u/w/r control,1,1
miracles,u/w/r aggro,1,0
miracles,u/r standstill,1,0
miracles,u/b delver,1,1
miracles,tinfins,1,0
miracles,tezzeret helm,1,1
miracles,soul sisters,1,1
miracles,solidarity,1,1
miracles,sneak through,1,0
miracles,sea stompy,1,0
miracles,rug counterbalance,1,0
miracles,rug,1,1
miracles,not sumbitted,1,0
miracles,mono white aggro,1,1
miracles,mono red aggro,1,1
miracles,mono green aggro,1,1
miracles,mono blue tempo,1,1
miracles,mono blue ninjas,1,0
miracle gro,team america,1,0
miracle gro,stoneblade,1,0
miracleblade,zoo,1,0
miracleblade,u/w/r delver,1,1
miracleblade,u/w delver,1,1
miracleblade,u/b delver,1,0
miracleblade,u/b control,1,0
miracleblade,twelvepost,1,0
miracleblade,stilflenaught,1,1
miracleblade,sneak through,1,1
miracleblade,mono white stax,1,1
mill,u/w tempo,1,0
mill,u/w stoneblade,1,0
mill,temur delver,1,0
mill,team america,1,0
mill,reanimator,1,0
mill,mono blue control,1,1
mill,miracles,1,0
metalworker,zombies,1,1
metalworker,white knights,1,1
metalworker,walking dead,1,1
metalworker,u/w blade,1,0
metalworker,u/r,1,1
metalworker,u/g infect,1,0
metalworker,ub tezzeret,1,1
metalworker,u/b landstill,1,0
metalworker,u/b delver,1,0
metalworker,u/b control,1,0
metalworker,tezzeret thopters,1,0
metalworker,tezzeret control,1,1
metal worker,temur delver,1,1
metalworker,temur delver,1,0
metalworker,team italia,1,1
metalworker,stiflenought,1,1
metalworker,stiflenaught,1,0
metalworker stax,survival,1,0
metalworker stax,mono white control,1,1
metalworker,soul sisters,1,1
metal worker,sneak and show,1,0
metalworker,shardless sultai,1,1
metalworker,r/w/b aggro,1,1
metalworker,rug visions,1,0
metalworker,r/u/g control,1,1
metalworker,rug aggro,1,0
metalworker,r/g aggro,1,1
metalworker,rdw,1,1
metalworker,patron wizard,1,0
metalworker,painter's grindstone,1,1
metalworker,ooze combo,1,1
metalworker,no show,1,0
metalworker,nic shift,1,1
metalworker,mono white stoneblade,1,1
metalworker,mono white metalcraft,1,1
metalworker,mono green aggro,1,1
metalworker,mono blue tempo,1,1
metalworker,mono blue landstill,1,0
metalworker,mono black grave pact,1,1
metalworker,miracleblade,1,0
metalworker combo,omnitell,1,0
metalcraft,zoo,1,0
metalcraft,u/w tempo,1,1
metalcraft,show and tell,1,0
metalcraft,scepter chant,1,1
metalcraft,painter stone,1,0
mesmeric monolith,ooze combo,1,1
mesmeric monolith,no bug,1,0
mesmeric monolith,no bant,1,0
merfolk,ziggurat zoo,1,1
merfolk,wish junk,1,1
merfolk,wildfire,1,0
merfolk,u/w/r visions,1,1
merfolk,u/w/r delver,1,0
merfolk,u/w/r aggro,1,0
merfolk,u/w/b caw-blade,1,1
merfolk,urzatron,1,1
merfolk,u/r painter,1,0
merfolk,u/r aggro,1,0
merfolk,u/r,1,1
merfolk,u/b trinisphere,1,1
merfolk,u/b/g control,1,0
merfolk,u/b faeries,1,1
merfolk,training grounds,1,0
merfolk,trading stax,1,0
merfolk,thopter sword,1,1
merfolk,tezzeret stax,1,1
merfolk,temur delver,1,0
merfolk,tempered steel,1,0
merfolk,stronghold gambit,1,1
merfolk,stompy green,1,0
merfolk,stompy,1,1
merfolk,sphinx control,1,1
merfolk,sneak through,1,1
merfolk,shardless bug,1,0
merfolk,shardess bug,1,0
merfolk,scrambled eggs,1,1
merfolk,scepter-chant,1,1
merfolk,scepter balance,1,1
merfolk,salvagers,1,0
merfolk,r/w weenie,1,0
merfolk,r/w stoneblade,1,1
merfolk,r/w/b blade,1,0
merfolk,r/w aggro,1,1
merfolk,r/u/g aggro,1,0
merfolk,rogues,1,1
merfolk,rockin' reanimator,1,1
merfolk,reveillark,1,1
merfolk,replenish,1,1
merfolk,rats,1,1
merfolk,patron wizard,1,1
merfolk,omni-tell,1,1
merfolk,not submitted,1,0
merfolk,no stax,1,1
merfolk,no list,1,0
merfolk,no hulk,1,0
merfolk,no g/w,1,1
merfolk,no bug,1,1
merfolk,myr,1,1
merfolk,mono white stax,1,0
merfolk,mono white puresteel,1,0
merfolk,mono white beatdown,1,1
merfolk,mono-white aggro,1,1
merfolk,mono white aggro,1,1
merfolk,mono blue landstill,1,0
merfolk,mono black midrange,1,1
merfolk,mill,1,1
melira combo,team america,1,0
melira combo,show and tell,1,1
melira combo,sea drake stompy,1,0
maverick,wizards,1,1
maverick,wish junk,1,0
maverick,white puresteel,1,1
maverick,u/w wizards,1,1
maverick,u/w/r landstill,1,0
maverick,u/w midrange,1,1
maverick,u/w aggro,1,1
maverick,u/r standstill,1,0
maverick,ur control,1,1
maverick,u/g poison,1,0
maverick,u/b tempo,1,1
maverick,u/b standstill,1,1
maverick,tezzeret helm,1,1
maverick,soul sisters,1,0
maverick,shardless bug,1,1
maverick,r/w aggro,1,1
maverick,punishing rug,1,0
maverick,proteus staff,1,0
maverick,peace helm,1,0
maverick,pattern of rebirth,1,1
maverick,painter,1,1
maverick,not submitted,1,0
maverick,no bug,1,1
maverick,mono blue tempo,1,0
maverick,mono-blue delver,1,1
maverick,mono black zombies,1,1
maverick,mesmeric monolith,1,1
masknaught,zoo,1,0
masknaught,stoneblade,1,1
masknaught,rug delver,1,0
masknaught,pox,1,0
masknaught,painter's grindstone,1,0
masknaught,no bant,1,0
manaless dredge,u/w thopters,1,0
manaless dredge,u/w/r delver,1,1
manaless dredge,u/w landstill,1,1
manaless dredge,u/r aggro,1,1
manaless dredge,temur delver,1,1
manaless dredge,team america,1,0
manaless dredge,storm,1,1
manaless dredge,stiflenought,1,0
manaless dredge,show and tell,1,1
manaless dredge,scrambled eggs,1,0
manaless dredge,rug delver,1,1
manaless dredge,rug,1,1
manaless dredge,pyromancer ascension,1,1
manaless dredge,oops all spells!,1,0
manaless dredge,no bant,1,1
manaless dredge,mono blue control,1,1
manaless dredge,mono black control,1,1
manaless dredge,maverick,1,0
madness,team america,1,0
madness,stoneblade,1,0
luminarch ascension,zoo,1,0
luminarch ascension,reanimator,1,0
loam depths,tendrils reanimator,1,1
loam depths,rug delver,1,0
loam depths,punishing jund,1,1
loam depths,merfolk,1,0
living end,stoneblade,1,1
living end,stiflenought,1,1
living end,rug delver,1,0
living end,reanimator,1,0
living death,team italia,1,0
living death,miracles,1,1
living death,maverick,1,0
list missing,thopters,1,0
list missing,stoneblade,1,1
list missing,rug delver,1,1
list missing,mono-blue control,1,0
list missing,miracles,1,0
lightning rift,merfolk,1,0
life,u/w/r control,1,1
life,tooth and nail,1,0
life,survival,1,1
life,stronghold gambit,1,0
life,reanimator,1,1
life,natural order,1,0
leyline of singularity,no bant,1,1
leyline helm,u/w/r delver,1,0
leyline helm,reanimator,1,1
leyline helm,painted stone,1,0
leyline helm,metalworker,1,0
leveler maniac,stiflenought,1,0
lands,u/w/b caw-blade,1,1
lands,u/w aggro,1,1
lands,u/r twin,1,0
lands,u/r control,1,0
lands,u/g madness,1,1
lands,u/b tezzeret,1,0
lands,ubr,1,1
lands,u/b control,1,1
lands,tooth and nail,1,1
landstill,u/w landstill,1,1
landstill,u/w control,1,0
landstill,twelvepost,1,0
landstill,stoneblade,1,1
landstill,stiflenought,1,0
landstill,stiflenaught,1,1
landstill,stasis,1,1
landstill,r/w weenie,1,0
landstill,rug delver,1,0
landstill,r/g/b beatdown,1,1
landstill,r/b aggro,1,1
landstill,pox,1,1
landstill,polymorph,1,1
landstill,naya scepter,1,0
lands,thopter foundry,1,0
lands,tezzeret griefer,1,1
lands,tezzeret,1,0
lands,team italia,1,0
lands,sultai delver,1,1
lands,stompy,1,1
lands,stiflenought,1,0
lands,sphinx control,1,1
lands,sneak attack,1,0
lands,sea stompy,1,1
lands,scrambled eggs,1,1
lands,scapeshift,1,0
lands,r/u/g control,1,1
lands,r/u/g aggro,1,1
lands,rug,1,1
lands,r/g/b beatdown,1,0
lands,rebels,1,1
lands,reanimator tendrils,1,1
lands,rdw,1,1
lands,planeswalker control (rwu),1,1
lands,painter,1,1
lands,ooze combo,1,1
lands,mono white puresteel,1,0
lands,mono green berserk,1,1
lands,mono brown,1,0
lands,mono black poison,1,1
lands,mono black grave pact,1,0
lands,mono black aggro,1,1
lands,mono black,1,0
lands,miracleblade,1,0
lands,metalcraft,1,0
lands,mesmeric monolith,1,0
lands,manaless dredge,1,0
lands,lightning rift,1,1
kuldotha goblins,team america,1,0
kuldotha goblins,show and tell,1,0
kuldotha goblins,pyromancer ascension,1,1
kuldotha goblins,mono blue control,1,1
kuldotha goblins,lands,1,0
kobold storm,tezzeret thopters,1,0
kobold storm,show and tell,1,0
kobolds!,stax,1,0
kobolds,reanimator,1,0
kobolds,proteus staff,1,1
kobolds!,new horizons,1,0
kobolds!,merfolk,1,0
kobolds,lands,1,0
kobolds/glimpse,pox,1,0
kobold combo,stoneblade,1,1
kobold combo,pox,1,1
kobold combo,omnitell,1,0
kobold combo,maverick,1,1
kobold combo,lands,1,1
kithkin,u/w landstill,1,0
kiki twin,zoo,1,0
kiki twin,u/w stoneblade,1,0
kiki twin,merfolk,1,0
kavu fire,merfolk,1,1
junk,wildfire,1,1
junk,white knights,1,1
junk,u/w visions,1,0
junk,u/w thopters,1,0
junk,u/w/r thopters,1,1
junk,u/w/b caw-blade,1,0
junk,u/r stiflenought,1,1
junk,u/r/b stoneblade,1,0
junk,u/b planeswalkers,1,0
junk,u/b landstill,1,0
junk,u/b aggro,1,0
junk,turboland,1,0
junk,thopter blade,1,1
junk,tezzeret stax,1,1
junk,tezzeret plating,1,1
junk,tezzeret metalcraft,1,0
junk,tezzeret affinity,1,0
junk,team italia,1,0
junk,solidarity,1,0
junk,silent scepter,1,1
junk,sea drake stompy,1,1
junk,scepter chant,1,1
junk,r/w weenie,1,0
junk,r/w/b aggro,1,1
junk,rug cascade,1,0
junk,rebels,1,0
junk,no g/w,1,0
junk,mono-blue control,1,0
junk,mono black zombies,1,1
junk,mono black rack,1,0
junk,mono black aggro,1,0
junk midrange,zombies,1,0
junk midrange,merfolk,1,0
junk,list missing,1,0
junk,leyline helm,1,0
junk depths,u/w/r thopters,1,1
junk depths,u/r aggro,1,0
junk depths,twelvepost,1,1
junk depths,turboland,1,0
junk depths,tezzeret thopters,1,0
junk depths,tezzeret metalcraft,1,1
junk depths,temur delver,1,0
junk depths,rug visions,1,0
junk depths,no u/g,1,0
junk depths,no green,1,0
junk depths,no bant,1,0
junk depths,mud,1,0
junk depths,mono blue control,1,0
junk depths,mono black control,1,1
junk depths,metalworker,1,0
junk depths,lands,1,1
junkblade,u/w/r miracles,1,0
junk blade,u/w miracles,1,1
junkblade,lands,1,0
junk and taxes,merfolk,1,0
jundvine,stoneblade,1,0
jundvine,reanimator,1,0
jundvine,miracleblade,1,1
jundvine,merfolk,1,1
jund,u/w visions,1,0
jund,u/w tempo,1,1
jund,u/w stoneblade,1,1
jund,u/w/r delver,1,1
jund,u/b faeries,1,1
jund,tin fins,1,0
jund,tezzeret helm,1,0
jund,tezzeret griefer,1,1
jund,tezzeret control,1,1
jund,stiflenaught,1,1
jund,sneak and show,1,1
jund,shardless sultai,1,1
jund,r/w trinisphrere,1,0
jund,red deck wins,1,0
jund,punishing jund,1,0
jund,nic fit,1,1
jund midrange,u/r delver,1,0
jund midrange,shardless bug,1,0
jund midrange,reanimator,1,0
jund,metalworker,1,1
jund,metalcraft,1,0
jund loam,rug visions,1,0
jund,junk depths,1,1
jund,junk,1,1
jund,jund zombies,1,1
jund depths,u/w/r delver,1,1
jund depths,twelvepost,1,1
jund depths,temur delver,1,1
jund depths,stax,1,1
jund depths,sneak and show,1,0
jund depths,rug delver,1,1
jund depths,reanimator,1,0
jund depths,miracles,1,1
jeskai stoneblade,vampires,1,1
jeskai stoneblade,u/w stoneblade,1,0
jeskai stoneblade,tezzeret helm,1,0
jeskai stoneblade,slivers,1,1
jeskai stoneblade,punishing jund,1,1
jeskai stoneblade,omnitell,1,0
jeskai stoneblade,mud,1,0
jeskai stoneblade,mono r sneak attack,1,1
jeskai stoneblade,merfolk,1,1
jeskai stoneblade,jund,1,0
jeskai miracles,shardless sultai,1,0
jeskai miracles,omnitell,1,1
jeskai delver,tinfins,1,0
jeskai delver,thopter foundry,1,1
jeskai delver,temur delver,1,1
jeskai delver,solidarity,1,0
jeskai delver,rug landstill,1,0
jeskai delver,rebels,1,1
jeskai delver,punishing jund,1,1
jeskai delver,jund,1,0
jeskai control,u/r delver,1,1
jeskai control,sultai delver,1,0
jeskai control,storm,1,0
jeskai control,sneak and show,1,1
jeskai control,shardless sultai,1,1
jedi emreka,threshold,1,0
jedi emreka,survival,1,1
jedi emreka,reanimator,1,0
jace control,zoo,1,1
jace control,team america,1,0
jace control,lands,1,1
infi-tell,u/w miracles,1,0
infi-tell,rug delver,1,0
infi-tell,jund zombies,1,1
infect,vampires,1,1
infect,u/w visions,1,0
infect,u/w thopters,1,1
infect,u/w/r miracles,1,1
infect,u/w/r control,1,0
infect,uw mentor,1,1
infect,u/b mill,1,1
infect,twelvepost,1,0
infect,sultai control,1,0
infect,stax,1,0
infect,soul sisters,1,1
infect,solidarity,1,1
infect,shardless sultai,1,0
infect,rug delver,1,0
infect,rug control,1,0
infect,r/g,1,1
infect,replenish,1,1
infect,punishing jund,1,1
infect,punishing fire,1,1
infect,omnitell,1,0
infect,not submitted,1,1
infect,no show,1,1
infect,no naya,1,0
infect,mono white stoneblade,1,0
infect,mono-red burn,1,0
infect,mono-blue control,1,0
infect,leveler maniac,1,0
infect,landstill,1,1
infect,kithkin,1,1
infect,junk depths,1,0
infect,jeskai control,1,1
infect combo,stoneblade,1,0
infect combo,reanimator,1,1
infect combo,mono white aggro,1,0
infect combo,metalworker,1,1
infect combo,merfolk,1,0
imperial painter,zoo,1,0
imperial painter,u/r delver,1,0
imperial painter,twelvepost,1,1
imperial painter,tezzeret affinity,1,0
imperial painter,storm,1,1
imperial painter,stoneblade affinity,1,0
imperial painter,reanimator,1,0
