deck1,deck2,n,w
mono black control,reanimator,16,11
miracleblade,miracles,16,7
metalworker,sneak and show,16,8
metalworker,miracles,16,6
merfolk,rug visions,16,9
maverick,mono blue control,16,11
lands,survival,16,10
hive mind,miracles,16,7
g/w stoneblade,merfolk,16,10
g/w/b midrange,merfolk,16,10
g/w aggro,junk,16,11
goblins,hypergenesis,16,8
enchantress,painted stone,16,9
elves,nic fit,16,10
dredge,stax,16,4
dredge,landstill,16,8
death and taxes,sneak and show,16,6
deadguy ale,dredge,16,8
b/w weenie,team america,16,9
bug visions,merfolk,16,10
bug landstill,elves,16,5
bug,elves,16,11
belcher,pox,16,13
belcher,omnitell,16,5
bant,metalworker,16,9
aggro loam,ant,16,7
rug delver,stifle naught,15,8
rug delver,show and tell,15,11
painted stone,u/w stoneblade,15,9
natural order,zoo,15,6
miracles,tes,15,8
maverick,storm,15,8
maverick,painter's grindstone,15,5
lands,u/r delver,15,8
infect,junk,15,4
goblins,miracleblade,15,7
faeries,merfolk,15,6
eva green,goblins,15,6
enchantress,u/r delver,15,4
enchantress,miracles,15,11
enchantress,metalworker,15,6
enchantress,high tide,15,5
death and taxes,goblins,15,10
deadguy ale,merfolk,15,7
deadguy ale,goblins,15,9
burn,u/w control,15,8
burn,nic fit,15,6
burn,hypergenesis,15,4
bug delver,maverick,15,6
bug delver,elves,15,7
ant,threshold,15,7
aggro loam,elves,15,8
stifle naught,stoneblade,14,6
reanimator,u/w landstill,14,4
painted stone,rug delver,14,2
no bant,painted stone,14,6
nic fit,reanimator,14,5
miracles,temur delver,14,5
metalworker,u/w landstill,14,6
metalworker,no bant,14,4
maverick,painted stone,14,8
junk,maverick,14,2
infect,team america,14,5
hive mind,junk,14,7
faeries,zoo,14,3
faeries,goblins,14,5
enchantress,survival,14,2
dredge,white weenie,14,8
dredge,g/w aggro,14,7
dream halls,zoo,14,5
dream halls,stoneblade,14,9
deathblade,u/r delver,14,7
death and taxes,merfolk,14,8
death and taxes,lands,14,7
death and taxes,deathblade,14,7
burn,u/w landstill,14,11
bug visions,zoo,14,5
bug visions,stoneblade,14,8
bug landstill,painted stone,14,9
bug landstill,goblins,14,8
belcher,high tide,14,9
ant,u/w tempo,14,7
ant,mono blue control,14,7
ant,hive mind,14,10
affinity,mono black control,14,7
survival,u/w tempo,13,8
stoneblade,white weenie,13,6
stoneblade,u/b control,13,6
stiflenought,stoneblade,13,7
show and tell,storm,13,9
rug visions,zoo,13,9
rug,stoneblade,13,11
rug delver,u/b tezzeret,13,1
rug delver,twelvepost,13,7
painted stone,survival,13,5
no bant,u/w stoneblade,13,5
maverick,stifle naught,13,9
lands,sneak and show,13,3
lands,show and tell,13,5
lands,no bant,13,9
junk,landstill,13,6
jeskai stoneblade,u/r delver,13,6
jeskai stoneblade,omni-tell,13,1
infect,stoneblade,13,4
hypergenesis,merfolk,13,4
goblins,white weenie,13,8
elves,u/w stoneblade,13,5
elves,esper stoneblade,13,4
dream halls,u/r delver,13,3
counter-top,u/w tempo,13,5
counter-top,maverick,13,7
burn,dragon stompy,13,6
bug,tes,13,6
bug landstill,junk,13,10
belcher,tes,13,10
belcher,dragon stompy,13,9
belcher,death and taxes,13,8
ant,mono black control,13,8
ant,b/w aggro,13,9
ant,b/w aggro,13,9
aggro loam,team america,13,9
aggro loam,high tide,13,4
aggro loam,enchantress,13,8
affinity,white weenie,13,2
affinity,mono blue control,13,5
affinity,bug landstill,13,6
affinity,aggro loam,13,5
u/w tempo,zoo,12,6
show and tell,survival,12,3
rug delver,stax,12,5
reanimator,u/b control,12,5
reanimator,threshold,12,3
reanimator,storm,12,9
no bant,stiflenought,12,10
metalworker,tes,12,9
metalworker,show and tell,12,9
metalworker,painted stone,12,8
junk depths,merfolk,12,7
hypergenesis,zoo,12,7
