Player	Archetype	Round 1		Round 2		Round 3		Round 4		Round 5		Round 6		Round 7		Round 8		Round 9		Round 10		Round 11		Round 12		Round 13		Round 14		Round 15	
Hank Zhong	W-U-B-G	Jaime Herzog	2-0	Dusty Hoppe	2-1	Tom Nelson	2-1	David Barentsen	1-2	Jason Reid	2-1	Thomas Genzman	2-0	Jessy Hefner	2-1	Robbie_2	2-0	Camari Bolger	2-1	Jacob Murray	1-2	Tony Morris	0-2	Ben Fraley	2-0	Ross Berkowitz	2-0	LastClaireBender	2-0	Eric Ratkowski	1-2
Wyland Tregear	Mono-Red Stompy	goitment	2-1	Evan Jasinkiewicz	1-2	Junkie216	2-0	ZeeSeeKay	2-1	Matthew Storie	2-0	Timothy Stephens	2-0	Anthony Brown	2-0	Tony Morris	2-1	RobinH	2-0	Adam Kulp	0-2	P0stalweight	1-2	MatthewB3	2-0	James Schlott	2-0	Louis Salerno	0-2	Jesse Campbell	2-1
Tony Morris	Golgari	Jtro10	2-1	ethantc1999	2-1	Max Dore	0-2	Willjc	2-0	Edward Arce	2-0	Collin Bornhoft	2-1	Gabriel Balannik	2-0	Wyland Tregear	1-2	ajmyshack	2-0	Jeffrey Zhang	2-0	Hank Zhong	2-0	RobinH	0-2	arlin bonfiglio	2-0	Dan Atkins	2-1	Michael Puchkov	1-2
Sam Lowe	Izzet Delver	Jason Morency	2-0	Michael LeVine	2-1	Lunch Boxx	2-1	Will Hargett	2-1	Dan Atkins	0-2	Ryan Bellamy	2-0	Christian Fuller	2-1	RizhengSun	2-0	Jacob Kolessar	0-2	doejurko	2-1	Pieter Tubergen	2-1	Shadowuni	2-1	Tommy Wray	0-2	Michael Reed	1-2	Thomas Genzman	2-1
Kieran MacDuff	W-U-B-R-G Sneak and Show	William Nemiroff	2-0	Jarvis Yu	2-0	Trey Natili	2-0	Ben Hewitt	2-1	Mike Jones	2-1	Sam Castrucci	0-2	Tom Hertfelder	1-2	Alec Hale	0-2	Michael Kniffen	2-1	Charlie Arto	2-0	andrewslafreniere	2-1	Zack Chatel	2-0	RizhengSun	2-0	Kiet Ngo	2-1	Adam Kulp	0-2
LastClaireBender	Esper Tempo	Benjamin Smith	2-0	Edward Wightman	2-1	Robert Hayes	2-1	Kian Tanner	2-0	Kellan Drogowski	2-0	Ethan Dunn	0-2	Jon Paton	2-1	rlesko	0-2	Steven Porter	2-0	Jay Wojciechowski	2-0	Sergei Pourmal	0-2	Anthony Valentine	2-0	Dan Staub	2-0	Hank Zhong	0-2	Shadowuni	2-1
ZeeSeeKay	Sultai	Michael Metelsky	2-0	Christopher Wessel	1-2	Michael Hennick	2-1	Wyland Tregear	1-2	Dan Kovacic	2-0	Scott Miller	2-1	Carter Hewitt	2-1	Dylan Carr	2-0	BoshNRoll_Brian	2-1	Devin Reilly	2-1	Dan Staub	2-0	Jacob Murray	2-0	Adam Kulp	1-2	Avi Lessure	1-2	Michael Weaver	2-0
Christopher Wessel	Bant	godseerker	2-0	ZeeSeeKay	2-1	Tyler Hawk	1-2	Scott Miller	2-0	Trevor Cordingley	0-2	mike_long	2-1	Casey Fuste	2-1	Julian Jakobovits	2-0	Eric Farmer	0-2	Ethan Mcgillis	2-1	Stefan Vastek	2-1	Sam Castrucci	2-1	Chris Siroonian	2-0	Jesse Inman	1-2	Jessy Hefner	2-0
Kiet Ngo	Mono-White Mystic Forge Combo	Benny Zeoli	1-2	Woodrow Bogucki	2-1	Jon Nickerson	2-0	newnoobontheblock	2-1	TarenD	2-0	Scott Blumenthal	0-2	Kemper Pogue	2-0	Jessy Hefner	1-2	zoidberg1003	2-1	JUSTIN RYAN	2-0	Jonathan Rojo	2-0	Yackobo1421	2-0	Jaeseok Cho	2-0	Kieran MacDuff	1-2	Kelvin Wallace	2-1
Jeffrey Zhang	Mono-White	Dale Allen	2-0	Seamus Malley	2-0	Brennan Creasap	2-1	Dan Staub	2-0	Paul Raynes	1-2	Brian Swanson	0-2	NickEldering	2-1	Parker Southwick	2-1	Beau Barnette	2-0	Tony Morris	0-2	Alec Hale	2-0	James Schlott	1-2	Nosferatu Espinoza	2-1	MatP21	2-1	TarenD	2-1
