Player	Archetype	Round 1		Round 2		Round 3		Round 4		Round 5		Round 6		Round 7		Round 8		Round 9		Round 10		Round 11		Round 12		Round 13		Round 14		Round 15		Round 16		Round 17	
Dario Rabolini	Show and Tell	Nikolaus Stratil-Sauer	2-0	Guillaume Berclaz	2-1	damiano buttarelli	2-1	Stanisz	2-0	Marco Liotta	2-1	Cena	2-0	Clément Rieutort	1-2	Alexi Krochmaluk	1-2	Robert Möttingdörfer	1-1	Eduardo Ancini	2-1	Francesco Gregori	2-1	Adrian Rivas	2-1	Stefan Gussenhoven	0-2	Ilya Shcherbakov	2-0						
Francesco Gregori	Dimir Tempo	MicF49	2-0	MagicLino	2-1	Hutterer	2-1	Simon Ritter	2-0	Magicskeleton	2-1	Eyalzuck28	1-1	Umby85	0-2	Jan Kiss	2-0	Alexander Kohles	0-2	Diego Badinotti	2-1	Dario Rabolini	1-2	Luca Verdiani	2-0	Giovasc91	2-0	Robert Möttingdörfer	2-1						
CorvOscuro	Grixis Control		Bye	Fusbri	2-0	Malte Hartmann	2-1	Lucca LiPuma	2-0	Terrence Serraarens	1-2	MartinoB	2-1	andrea riva	1-2	Skizzik	2-1	Tugsteno	1-2	Janne M.	2-1	Romain CORGNOLO	2-1	FraL39	2-0	Ilya Shcherbakov	1-1	Claudio Rossi	2-0						
Eric Ratkowski	Doomsday	LuiLav	0-2	Alessandro Valentino Sala	2-0	MMagno	2-0	Zischi	2-0	ElmarEbel	2-1	Tugsteno	2-1	CarB51	2-1	Bobovic	2-1	Tomek Hanik	2-0	Scarro	0-2	Andreas Hofverberg	2-0	Matt Girardi	1-2	SteS86	2-0	Zafferix	0-0						
Dauthi_Dauthi	Decklist	Spencer Warburton	2-0	Fureeish	2-1	Gelosan	2-0	Don Mars	2-1	Matteo Di Gangi	1-2	adrianoalari	2-0	Enrico Gobetti	0-2	LeoA7	2-0	Bravo Gabri	2-0	Stucanojohn	2-1	Niklas Holtmann	1-2	Timo Bertram	2-0	Justin 'IamActuallyLvL1' Gennari	2-0	Tomek Hanik	0-0						
Alexi Krochmaluk	Artifacts Blue	PumbaLumba	2-1	JuaP15	2-1	AdriaRomero	0-2	alpi	2-1	StephanH	2-0	Nicofrax	2-0	Andrea Mengucci	2-0	Dario Rabolini	2-1	Magicskeleton	1-2	Giovasc91	2-1	Tommaso Ciampolini	1-2	Wouter Segaar	2-1	Scarro	2-0	Epelde	0-0						
Jack Doyle	Jeskai Wizards	fabien gauthier	2-1	Juuso Harju	2-1	Nicholas Girardi	1-2	Luca Lovino	2-0	Iacopo Pineschi	2-1	Lukas Krauß	2-1	Aureliano Babbi	2-0	Claudio Rossi	1-1	Michel Kohn	2-1	Jan Schmidt	2-1	Stefan Gussenhoven	0-2	Alexander Kohles	2-0	GioB7	0-2	Scarro	2-1						
GioB7	Nadu	Delfo93	2-0	Jose Alascio	1-2	Ekkai	2-0	JulienZap	2-1	Tixelli	2-1	Anders Christie	2-0	Maximilian Tassone	2-0	Lorenzo Donati	2-0	Dario Moreno	1-1	Claudio Rossi	0-2	Luca Verdiani	2-0	tobyb	2-0	Jack Doyle	2-0	Stefan Gussenhoven	1-2						
Alexander Kohles	Dimir Tempo	The_Thing711	2-0	silverfox2253	2-0	Enrico Gobetti	1-1	Carmine Molinario	0-2	max123ila	2-1	Alexander Beiersdorfer	2-1	Francesco Ruvolo	2-0	Aaron Shaffer	2-0	Francesco Gregori	2-0	Lemure90	1-2	Robert Möttingdörfer	2-1	Jack Doyle	0-2	Adrian Rivas	2-0	Terrence Serraarens	2-0						
Epelde	Death & Taxes	Edi	2-0	Riccardo Bragato	0-2	DanP76	2-1	Benedikt Gruber	2-1	justjasper	2-1	IvaA6	0-2	AndB122	2-0	Andy Alt	2-1	Gazzo91	2-1	Yoniariel	0-1	Andrea Mengucci	2-0	Enrico Donisi	2-0	GiovanniDemaio	2-1	Alexi Krochmaluk	0-0						
Timo Zeyer	Dimir Tempo	Peter Lobotka	2-1	MatZ14	2-1	jerko jovic	2-1	Leoleo	2-1	Diego Badinotti	2-1	Francois LIROLA	2-1	Basti_B	2-0	Clément Rieutort	0-2	JonasW1	2-1	AleM160	1-2	LuiLav	2-1	Zafferix	0-2	Preslav Krastev	0-2	Lucas Mietton	2-1						
Diego Badinotti	Colorless	JoseRamirez	2-1	gfernandes	2-0	Niklas Holtmann	2-1	Lukas Krauß	2-0	Timo Zeyer	1-2	Menomens	2-1	Tommaso Ciampolini	2-0	Rodrigo Togores	0-2	PaoP6	2-0	Francesco Gregori	1-2	Redouane Bouarar	1-2	Tim Matzke	2-0	SafronoV_V	2-0	Enrico Donisi	2-1						
