Card Statistics over 676 Decks (2025 Asia Legacy Championship (2025-12-12))
+----------------------------------------------------------+-------+--------+-------------+-------------+--------------+--------+--------------+---------+------------+-----------+
|                           Card                           | # of  |  % of  | # of Copies | # of Copies | Record With  | Win %  |    Record    |  Win %  | Record vs. | Win % vs. |
|                                                          | Decks | Decks  |   (Main)    |   (Side)    |              |  With  |   Without    | Without |  Without   |  Without  |
+----------------------------------------------------------+-------+--------+-------------+-------------+--------------+--------+--------------+---------+------------+-----------+
| Meltdown                                                 |    92 | 13.65% |           0 |         109 |   373-375-10 | 49.87% | 2443-2441-80 |  50.02% |  324-326-6 |    49.85% |
| Sink into Stupor // Soporific Springs                    |    92 | 13.65% |         207 |           0 |   407-388-13 | 51.18% | 2409-2428-77 |  49.81% | 353-334-11 |    51.36% |
| Dauthi Voidwalker                                        |    91 | 13.50% |          25 |         187 |   402-376-14 | 51.64% | 2414-2440-76 |  49.74% | 350-324-10 |    51.90% |
| Sheoldred's Edict                                        |    91 | 13.50% |          40 |          88 |   407-380-15 | 51.68% | 2409-2436-75 |  49.73% | 350-323-15 |    51.96% |
| Dark Ritual                                              |    90 | 13.35% |         356 |           4 |    387-373-7 | 50.91% | 2429-2443-83 |  49.86% |  335-321-7 |    51.06% |
| Glaring Fleshraker                                       |    90 | 13.35% |         360 |           0 |    351-368-9 | 48.83% | 2465-2448-81 |  50.17% |  299-316-7 |    48.63% |
| The One Ring                                             |    89 | 13.20% |         292 |          29 |    337-382-7 | 46.90% | 2479-2434-83 |  50.45% |  293-338-7 |    46.47% |
| Tropical Island                                          |    86 | 12.76% |         141 |           0 |   368-353-18 | 51.01% | 2448-2463-72 |  49.85% | 324-309-14 |    51.16% |
| Lightning Bolt                                           |    83 | 12.31% |         312 |           3 |    348-339-7 | 50.65% | 2468-2477-83 |  49.91% |  312-303-5 |    50.73% |
| Leyline of the Void                                      |    81 | 12.02% |           0 |         303 |    314-345-7 | 47.67% | 2502-2471-83 |  50.31% |  273-304-5 |    47.34% |
| Simian Spirit Guide                                      |    79 | 11.72% |         225 |           0 |    278-333-5 | 45.54% | 2538-2483-85 |  50.54% |  243-298-5 |    44.96% |
| Ensnaring Bridge                                         |    77 | 11.42% |          15 |          72 |    297-322-7 | 48.00% | 2519-2494-83 |  50.25% |  265-290-7 |    47.78% |
| Forest                                                   |    77 | 11.42% |         100 |           1 |   317-320-17 | 49.77% | 2499-2496-73 |  50.03% | 285-288-17 |    49.75% |
| Carpet of Flowers                                        |    76 | 11.28% |           0 |         165 |   328-307-16 | 51.61% | 2488-2509-74 |  49.79% | 290-269-14 |    51.83% |
| Emrakul, the Aeons Torn                                  |    75 | 11.13% |         161 |           4 |    275-325-6 | 45.87% | 2541-2491-84 |  50.49% |  244-294-6 |    45.40% |
| Flusterstorm                                             |    75 | 11.13% |          59 |          51 |   343-327-10 | 51.18% | 2473-2489-80 |  49.84% |  314-298-8 |    51.29% |
| Tundra                                                   |    75 | 11.13% |         158 |           0 |   316-304-17 | 50.94% | 2500-2512-73 |  49.88% | 289-277-15 |    51.03% |
| Kaito, Bane of Nightmares                                |    74 | 10.98% |         107 |          10 |   333-308-15 | 51.91% | 2483-2508-75 |  49.75% | 297-272-15 |    52.14% |
