Card Statistics over 676 Decks (2025 Asia Legacy Championship (2025-12-12))
+----------------------------------------------------------+-------+--------+-------------+-------------+--------------+--------+--------------+---------+------------+-----------+
|                           Card                           | # of  |  % of  | # of Copies | # of Copies | Record With  | Win %  |    Record    |  Win %  | Record vs. | Win % vs. |
|                                                          | Decks | Decks  |   (Main)    |   (Side)    |              |  With  |   Without    | Without |  Without   |  Without  |
+----------------------------------------------------------+-------+--------+-------------+-------------+--------------+--------+--------------+---------+------------+-----------+
| Argentum Masticore                                       |     3 |  0.45% |           3 |           1 |       8-14-0 | 36.36% | 2808-2802-90 |  50.05% |     8-14-0 |    36.36% |
| Astrologian's Planisphere                                |     3 |  0.45% |          10 |           0 |      12-14-0 | 46.15% | 2804-2802-90 |  50.02% |    12-14-0 |    46.15% |
| Banish to Another Universe                               |     3 |  0.45% |           0 |           8 |      12-17-0 | 41.38% | 2804-2799-90 |  50.04% |    12-17-0 |    41.38% |
| Berserk                                                  |     3 |  0.45% |           7 |           0 |      15-15-0 | 50.00% | 2801-2801-90 |  50.00% |    15-15-0 |    50.00% |
| Birchlore Rangers                                        |     3 |  0.45% |           7 |           0 |       9-16-0 | 36.00% | 2807-2800-90 |  50.06% |     9-16-0 |    36.00% |
| Blighted Agent                                           |     3 |  0.45% |          12 |           0 |      15-15-0 | 50.00% | 2801-2801-90 |  50.00% |    15-15-0 |    50.00% |
| Bonecrusher Giant // Stomp                               |     3 |  0.45% |           7 |           0 |       8-14-0 | 36.36% | 2808-2802-90 |  50.05% |     8-14-0 |    36.36% |
| Bonus Round                                              |     3 |  0.45% |           4 |           3 |      14-13-0 | 51.85% | 2802-2803-90 |  49.99% |    14-13-0 |    51.85% |
| Breya's Apprentice                                       |     3 |  0.45% |           3 |           0 |      12-13-0 | 48.00% | 2804-2803-90 |  50.01% |    12-13-0 |    48.00% |
| Cityscape Leveler                                        |     3 |  0.45% |           0 |           3 |      16-13-0 | 55.17% | 2800-2803-90 |  49.97% |    16-13-0 |    55.17% |
| Debt to the Deathless                                    |     3 |  0.45% |           0 |           3 |       7-14-0 | 33.33% | 2809-2802-90 |  50.06% |     7-14-0 |    33.33% |
| Dredger's Insight                                        |     3 |  0.45% |           8 |           0 |       9-12-1 | 43.18% | 2807-2804-89 |  50.03% |     9-12-1 |    43.18% |
| Eldrazi Mimic                                            |     3 |  0.45% |          12 |           0 |      23-14-0 | 62.16% | 2793-2802-90 |  49.92% |    23-14-0 |    62.16% |
| Embiggen                                                 |     3 |  0.45% |          12 |           0 |      15-15-0 | 50.00% | 2801-2801-90 |  50.00% |    15-15-0 |    50.00% |
| Flare of Malice                                          |     3 |  0.45% |           3 |           0 |      12-13-0 | 48.00% | 2804-2803-90 |  50.01% |    12-13-0 |    48.00% |
| Foundation Breaker                                       |     3 |  0.45% |           0 |           3 |       5-10-0 | 33.33% | 2811-2806-90 |  50.04% |     5-10-0 |    33.33% |
| Glistener Elf                                            |     3 |  0.45% |          12 |           0 |      15-15-0 | 50.00% | 2801-2801-90 |  50.00% |    15-15-0 |    50.00% |
| Goblin Matron                                            |     3 |  0.45% |          12 |           0 |       7-12-0 | 36.84% | 2809-2804-90 |  50.04% |     7-12-0 |    36.84% |
| Goblin Trashmaster                                       |     3 |  0.45% |           4 |           3 |       7-12-0 | 36.84% | 2809-2804-90 |  50.04% |     7-12-0 |    36.84% |
| Grapeshot                                                |     3 |  0.45% |           0 |           3 |      13-11-0 | 54.17% | 2803-2805-90 |  49.98% |    13-11-0 |    54.17% |
| Hapless Researcher                                       |     3 |  0.45% |          11 |           0 |      14-15-0 | 48.28% | 2802-2801-90 |  50.01% |    14-15-0 |    48.28% |
| Helm of Awakening                                        |     3 |  0.45% |          12 |           0 |      11-13-0 | 45.83% | 2805-2803-90 |  50.02% |    11-13-0 |    45.83% |
| Helm of Obedience                                        |     3 |  0.45% |           2 |           2 |       5-10-0 | 33.33% | 2811-2806-90 |  50.04% |     5-10-0 |    33.33% |
| Horizon Canopy                                           |     3 |  0.45% |           3 |           0 |      10-10-0 | 50.00% | 2806-2806-90 |  50.00% |    10-10-0 |    50.00% |
| Hydroelectric Specimen // Hydroelectric Laboratory       |     3 |  0.45% |           6 |           0 |      15-12-1 | 55.36% | 2801-2804-89 |  49.97% |    15-12-1 |    55.36% |
| Ice-Fang Coatl                                           |     3 |  0.45% |          12 |           0 |       9-12-1 | 43.18% | 2807-2804-89 |  50.03% |     9-12-1 |    43.18% |
| Inkmoth Nexus                                            |     3 |  0.45% |          12 |           0 |      15-15-0 | 50.00% | 2801-2801-90 |  50.00% |    15-15-0 |    50.00% |
| Invigorate                                               |     3 |  0.45% |          12 |           0 |      15-15-0 | 50.00% | 2801-2801-90 |  50.00% |    15-15-0 |    50.00% |
| Jace, Wielder of Mysteries                               |     3 |  0.45% |           0 |           3 |       6-11-0 | 35.29% | 2810-2805-90 |  50.04% |     6-11-0 |    35.29% |
| Jace, the Mind Sculptor                                  |     3 |  0.45% |           5 |           0 |        6-9-0 | 40.00% | 2810-2807-90 |  50.03% |      6-9-0 |    40.00% |
| Karn's Sylex                                             |     3 |  0.45% |           3 |           0 |      12-12-1 | 50.00% | 2804-2804-89 |  50.00% |    12-12-1 |    50.00% |
| Laelia, the Blade Reforged                               |     3 |  0.45% |           6 |           0 |      12-14-0 | 46.15% | 2804-2802-90 |  50.02% |    12-14-0 |    46.15% |
| Lazotep Quarry                                           |     3 |  0.45% |           5 |           0 |      21-12-1 | 63.24% | 2795-2804-89 |  49.92% |    21-12-1 |    63.24% |
| Leovold, Emissary of Trest                               |     3 |  0.45% |           3 |           0 |      10-12-0 | 45.45% | 2806-2804-90 |  50.02% |    10-12-0 |    45.45% |
| Lively Dirge                                             |     3 |  0.45% |           3 |           0 |       14-9-1 | 60.42% | 2802-2807-89 |  49.96% |     14-9-1 |    60.42% |
| Manamorphose                                             |     3 |  0.45% |          12 |           0 |      14-13-0 | 51.85% | 2802-2803-90 |  49.99% |    14-13-0 |    51.85% |
| Misdirection                                             |     3 |  0.45% |           2 |           1 |       8-13-1 | 38.64% | 2808-2803-89 |  50.04% |     8-13-1 |    38.64% |
| Mockingbird                                              |     3 |  0.45% |           8 |           0 |      15-12-0 | 55.56% | 2801-2804-90 |  49.97% |    15-12-0 |    55.56% |
| Nature's Rhythm                                          |     3 |  0.45% |           5 |           0 |      20-13-2 | 60.00% | 2796-2803-88 |  49.94% |    20-13-2 |    60.00% |
| Nurturing Peatland                                       |     3 |  0.45% |           3 |           0 |       6-12-0 | 33.33% | 2810-2804-90 |  50.05% |     6-12-0 |    33.33% |
| Pendelhaven                                              |     3 |  0.45% |           3 |           0 |      15-15-0 | 50.00% | 2801-2801-90 |  50.00% |    15-15-0 |    50.00% |
| Phyrexian Metamorph                                      |     3 |  0.45% |           4 |           2 |      14-11-0 | 56.00% | 2802-2805-90 |  49.97% |    14-11-0 |    56.00% |
| Price of Freedom                                         |     3 |  0.45% |           0 |           3 |      19-13-0 | 59.38% | 2797-2803-90 |  49.95% |    18-12-0 |    60.00% |
| Pyrokinesis                                              |     3 |  0.45% |           0 |           4 |       7-12-0 | 36.84% | 2809-2804-90 |  50.04% |     7-12-0 |    36.84% |
| Ral, Monsoon Mage // Ral, Leyline Prodigy                |     3 |  0.45% |          12 |           0 |      14-13-0 | 51.85% | 2802-2803-90 |  49.99% |    14-13-0 |    51.85% |
| Raven's Crime                                            |     3 |  0.45% |           3 |           0 |      12-13-0 | 48.00% | 2804-2803-90 |  50.01% |    12-13-0 |    48.00% |
| Reckless Impulse                                         |     3 |  0.45% |          10 |           0 |      14-13-0 | 51.85% | 2802-2803-90 |  49.99% |    14-13-0 |    51.85% |
| Redirect Lightning                                       |     3 |  0.45% |           0 |           3 |      14-12-0 | 53.85% | 2802-2804-90 |  49.98% |    14-12-0 |    53.85% |
| Ruby Medallion                                           |     3 |  0.45% |          12 |           0 |      14-13-0 | 51.85% | 2802-2803-90 |  49.99% |    14-13-0 |    51.85% |
| Ruination                                                |     3 |  0.45% |           0 |           3 |      11-14-0 | 44.00% | 2805-2802-90 |  50.03% |    11-14-0 |    44.00% |
| Sandstone Needle                                         |     3 |  0.45% |          12 |           0 |       6-12-0 | 33.33% | 2810-2804-90 |  50.05% |     6-12-0 |    33.33% |
| Saprazzan Skerry                                         |     3 |  0.45% |           9 |           0 |       9-12-0 | 42.86% | 2807-2804-90 |  50.03% |     9-12-0 |    42.86% |
| Sephiroth, Fabled SOLDIER // Sephiroth, One-Winged Angel |     3 |  0.45% |           4 |           0 |       6-12-1 | 34.21% | 2810-2804-89 |  50.05% |     6-12-1 |    34.21% |
| Serenity                                                 |     3 |  0.45% |           0 |           4 |      13-12-0 | 52.00% | 2803-2804-90 |  49.99% |    13-12-0 |    52.00% |
| Shattering Spree                                         |     3 |  0.45% |           0 |           3 |      14-11-0 | 56.00% | 2802-2805-90 |  49.97% |    14-11-0 |    56.00% |
| Silent Clearing                                          |     3 |  0.45% |           4 |           0 |      15-10-1 | 59.62% | 2801-2806-89 |  49.96% |    15-10-1 |    59.62% |
| Spire of Industry                                        |     3 |  0.45% |           4 |           0 |      20-13-0 | 60.61% | 2796-2803-90 |  49.94% |    20-13-0 |    60.61% |
| Springheart Nantuko                                      |     3 |  0.45% |           4 |           3 |      16-14-0 | 53.33% | 2800-2802-90 |  49.98% |    16-14-0 |    53.33% |
| Spymaster's Vault                                        |     3 |  0.45% |           3 |           0 |       9-13-0 | 40.91% | 2807-2803-90 |  50.04% |     9-13-0 |    40.91% |
| Steam Vents                                              |     3 |  0.45% |           3 |           0 |        5-9-0 | 35.71% | 2811-2807-90 |  50.04% |      5-9-0 |    35.71% |
| Steel Wrecking Ball                                      |     3 |  0.45% |           0 |           4 |      11-15-0 | 42.31% | 2805-2801-90 |  50.04% |    11-15-0 |    42.31% |
| Stingscourger                                            |     3 |  0.45% |           3 |           0 |       7-12-0 | 36.84% | 2809-2804-90 |  50.04% |     7-12-0 |    36.84% |
| Stitcher's Supplier                                      |     3 |  0.45% |          12 |           0 |       8-14-0 | 36.36% | 2808-2802-90 |  50.05% |     8-14-0 |    36.36% |
| Storm of Memories                                        |     3 |  0.45% |           8 |           2 |      14-13-0 | 51.85% | 2802-2803-90 |  49.99% |    14-13-0 |    51.85% |
| Sunbaked Canyon                                          |     3 |  0.45% |           3 |           0 |      17-15-0 | 53.12% | 2799-2801-90 |  49.98% |    17-15-0 |    53.12% |
| Talisman of Curiosity                                    |     3 |  0.45% |           3 |           0 |       8-14-0 | 36.36% | 2808-2802-90 |  50.05% |     8-14-0 |    36.36% |
| Tarmogoyf                                                |     3 |  0.45% |           9 |           0 |      11-10-0 | 52.38% | 2805-2806-90 |  49.99% |    11-10-0 |    52.38% |
| Twinshot Sniper                                          |     3 |  0.45% |           0 |           3 |      14-15-1 | 48.33% | 2802-2801-89 |  50.01% |    14-15-1 |    48.33% |
| Tyvar, the Pummeler                                      |     3 |  0.45% |           3 |           0 |       5-12-0 | 29.41% | 2811-2804-90 |  50.06% |     5-12-0 |    29.41% |
| Ulamog, the Ceaseless Hunger                             |     3 |  0.45% |           3 |           0 |       9-12-0 | 42.86% | 2807-2804-90 |  50.03% |     9-12-0 |    42.86% |
| Umezawa's Jitte                                          |     3 |  0.45% |           2 |           1 |      15-13-1 | 53.45% | 2801-2803-89 |  49.98% |    15-13-1 |    53.45% |
| Urza's Power Plant                                       |     3 |  0.45% |           6 |           0 |      21-15-1 | 58.11% | 2795-2801-89 |  49.95% |    21-15-1 |    58.11% |
| Vision Charm                                             |     3 |  0.45% |           0 |           3 |       9-11-0 | 45.00% | 2807-2805-90 |  50.02% |     9-11-0 |    45.00% |
| Wear // Tear                                             |     3 |  0.45% |           0 |           4 |      14-13-0 | 51.85% | 2802-2803-90 |  49.99% |    14-13-0 |    51.85% |
| Wild Cantor                                              |     3 |  0.45% |           3 |           0 |       5-10-0 | 33.33% | 2811-2806-90 |  50.04% |     5-10-0 |    33.33% |
| Wirewood Symbiote                                        |     3 |  0.45% |           9 |           0 |       9-16-0 | 36.00% | 2807-2800-90 |  50.06% |     9-16-0 |    36.00% |
| Wrenn's Resolve                                          |     3 |  0.45% |          11 |           0 |      14-13-0 | 51.85% | 2802-2803-90 |  49.99% |    14-13-0 |    51.85% |
| Young Wolf                                               |     3 |  0.45% |          10 |           0 |       9-12-1 | 43.18% | 2807-2804-89 |  50.03% |     9-12-1 |    43.18% |
| Yuffie, Materia Hunter                                   |     3 |  0.45% |           2 |           1 |       8-12-0 | 40.00% | 2808-2804-90 |  50.04% |     8-12-0 |    40.00% |
| Altar of Dementia                                        |     2 |  0.30% |           7 |           0 |        4-6-0 | 40.00% | 2812-2810-90 |  50.02% |      4-6-0 |    40.00% |
| Anger                                                    |     2 |  0.30% |           2 |           0 |      17-10-1 | 62.50% | 2799-2806-89 |  49.94% |    17-10-1 |    62.50% |
| Ashen Rider                                              |     2 |  0.30% |           0 |           4 |       4-10-0 | 28.57% | 2812-2806-90 |  50.05% |     4-10-0 |    28.57% |
| Barren Moor                                              |     2 |  0.30% |           2 |           0 |        9-9-0 | 50.00% | 2807-2807-90 |  50.00% |      9-9-0 |    50.00% |
| Battle Cry Goblin                                        |     2 |  0.30% |           2 |           0 |        6-8-0 | 42.86% | 2810-2808-90 |  50.02% |      6-8-0 |    42.86% |
| Bello, Bard of the Brambles                              |     2 |  0.30% |           3 |           0 |       5-10-1 | 34.38% | 2811-2806-89 |  50.04% |     5-10-1 |    34.38% |
| Breakthrough                                             |     2 |  0.30% |           5 |           0 |      17-10-1 | 62.50% | 2799-2806-89 |  49.94% |    17-10-1 |    62.50% |
| Canoptek Scarab Swarm                                    |     2 |  0.30% |           1 |           1 |       16-8-1 | 66.00% | 2800-2808-89 |  49.93% |     16-8-1 |    66.00% |
| Caustic Bronco                                           |     2 |  0.30% |           8 |           0 |        2-7-1 | 25.00% | 2814-2809-89 |  50.04% |      2-7-1 |    25.00% |
| Cephalid Coliseum                                        |     2 |  0.30% |           8 |           0 |      17-10-1 | 62.50% | 2799-2806-89 |  49.94% |    17-10-1 |    62.50% |
| Colossal Grave-Reaver                                    |     2 |  0.30% |           8 |           0 |       7-11-0 | 38.89% | 2809-2805-90 |  50.04% |     7-11-0 |    38.89% |
| Counterspell                                             |     2 |  0.30% |           4 |           0 |        5-5-0 | 50.00% | 2811-2811-90 |  50.00% |      5-5-0 |    50.00% |
| Cryptic Coat                                             |     2 |  0.30% |           2 |           0 |       11-8-1 | 57.50% | 2805-2808-89 |  49.97% |     11-8-1 |    57.50% |
| Curie, Emergent Intelligence                             |     2 |  0.30% |           3 |           0 |       3-10-0 | 23.08% | 2813-2806-90 |  50.06% |     3-10-0 |    23.08% |
| Cursecatcher                                             |     2 |  0.30% |           6 |           0 |        1-6-0 | 14.29% | 2815-2810-90 |  50.04% |      1-6-0 |    14.29% |
| Cursed Mirror                                            |     2 |  0.30% |           2 |           0 |       10-9-0 | 52.63% | 2806-2807-90 |  49.99% |     10-9-0 |    52.63% |
| Darksteel Citadel                                        |     2 |  0.30% |           8 |           0 |        6-9-0 | 40.00% | 2810-2807-90 |  50.03% |      6-9-0 |    40.00% |
| Day's Undoing                                            |     2 |  0.30% |           7 |           0 |        7-6-0 | 53.85% | 2809-2810-90 |  49.99% |      7-6-0 |    53.85% |
| Dread of Night                                           |     2 |  0.30% |           0 |           2 |       14-7-1 | 65.91% | 2802-2809-89 |  49.94% |     14-7-1 |    65.91% |
| Dryad Militant                                           |     2 |  0.30% |           2 |           3 |      10-12-0 | 45.45% | 2806-2804-90 |  50.02% |    10-12-0 |    45.45% |
| Elvish Visionary                                         |     2 |  0.30% |           7 |           0 |       5-11-0 | 31.25% | 2811-2805-90 |  50.05% |     5-11-0 |    31.25% |
| Engineered Plague                                        |     2 |  0.30% |           0 |           2 |        9-9-0 | 50.00% | 2807-2807-90 |  50.00% |      9-9-0 |    50.00% |
| Ethersworn Canonist                                      |     2 |  0.30% |           0 |           4 |       18-9-0 | 66.67% | 2798-2807-90 |  49.92% |     18-9-0 |    66.67% |
| Exhume                                                   |     2 |  0.30% |           7 |           0 |        4-8-0 | 33.33% | 2812-2808-90 |  50.04% |      4-8-0 |    33.33% |
| Fireblast                                                |     2 |  0.30% |           5 |           0 |        5-9-0 | 35.71% | 2811-2807-90 |  50.04% |      5-9-0 |    35.71% |
| Flare of Denial                                          |     2 |  0.30% |           5 |           0 |        3-9-0 | 25.00% | 2813-2807-90 |  50.05% |      3-9-0 |    25.00% |
| Force of Despair                                         |     2 |  0.30% |           0 |           6 |       4-11-0 | 26.67% | 2812-2805-90 |  50.06% |     4-11-0 |    26.67% |
| Fountainport Bell                                        |     2 |  0.30% |           1 |           1 |        6-9-0 | 40.00% | 2810-2807-90 |  50.03% |      6-9-0 |    40.00% |
| Fulminator Mage                                          |     2 |  0.30% |           1 |           1 |        4-8-1 | 34.62% | 2812-2808-89 |  50.04% |      4-8-1 |    34.62% |
| General Kreat, the Boltbringer                           |     2 |  0.30% |           4 |           0 |        5-8-0 | 38.46% | 2811-2808-90 |  50.03% |      5-8-0 |    38.46% |
| Generous Ent                                             |     2 |  0.30% |           6 |           0 |        9-7-2 | 55.56% | 2807-2809-88 |  49.98% |      9-7-2 |    55.56% |
| Gilded Drake                                             |     2 |  0.30% |           0 |           2 |       4-10-0 | 28.57% | 2812-2806-90 |  50.05% |     4-10-0 |    28.57% |
| Giver of Runes                                           |     2 |  0.30% |           4 |           0 |       7-10-0 | 41.18% | 2809-2806-90 |  50.03% |     7-10-0 |    41.18% |
| Glimmervoid                                              |     2 |  0.30% |           4 |           0 |       2-13-0 | 13.33% | 2814-2803-90 |  50.10% |     2-13-0 |    13.33% |
| Glimpse of Nature                                        |     2 |  0.30% |           8 |           0 |       5-11-0 | 31.25% | 2811-2805-90 |  50.05% |     5-11-0 |    31.25% |
| Goblin War Strike                                        |     2 |  0.30% |           0 |           2 |       6-10-0 | 37.50% | 2810-2806-90 |  50.04% |     6-10-0 |    37.50% |
| Golgari Grave-Troll                                      |     2 |  0.30% |           8 |           0 |      17-10-1 | 62.50% | 2799-2806-89 |  49.94% |    17-10-1 |    62.50% |
| Golgari Thug                                             |     2 |  0.30% |           6 |           0 |      17-10-1 | 62.50% | 2799-2806-89 |  49.94% |    17-10-1 |    62.50% |
| Grave Titan                                              |     2 |  0.30% |           2 |           1 |       10-6-1 | 61.76% | 2806-2810-89 |  49.96% |     10-6-1 |    61.76% |
| Haliya, Guided by Light                                  |     2 |  0.30% |           4 |           0 |       11-8-0 | 57.89% | 2805-2808-90 |  49.97% |     11-8-0 |    57.89% |
| Heritage Druid                                           |     2 |  0.30% |           7 |           0 |       5-11-0 | 31.25% | 2811-2805-90 |  50.05% |     5-11-0 |    31.25% |
| Heritage Reclamation                                     |     2 |  0.30% |           0 |           2 |       7-11-0 | 38.89% | 2809-2805-90 |  50.04% |     7-11-0 |    38.89% |
| Hickory Woodlot                                          |     2 |  0.30% |           5 |           0 |        1-9-0 | 10.00% | 2815-2807-90 |  50.07% |      1-9-0 |    10.00% |
| Jegantha, the Wellspring                                 |     2 |  0.30% |           0 |           2 |       15-7-1 | 67.39% | 2801-2809-89 |  49.93% |     15-7-1 |    67.39% |
| Kolaghan's Command                                       |     2 |  0.30% |           4 |           0 |       12-7-1 | 62.50% | 2804-2809-89 |  49.96% |     12-7-1 |    62.50% |
| Koma, World-Eater                                        |     2 |  0.30% |           2 |           0 |       6-10-1 | 38.24% | 2810-2806-89 |  50.04% |     6-10-1 |    38.24% |
| Kozilek's Return                                         |     2 |  0.30% |           0 |           2 |       20-7-1 | 73.21% | 2796-2809-89 |  49.89% |     20-7-1 |    73.21% |
| Lair of the Hydra                                        |     2 |  0.30% |           2 |           0 |       13-7-1 | 64.29% | 2803-2809-89 |  49.95% |     13-7-1 |    64.29% |
| Land Grant                                               |     2 |  0.30% |           7 |           0 |       6-10-0 | 37.50% | 2810-2806-90 |  50.04% |     6-10-0 |    37.50% |
| Lava Dart                                                |     2 |  0.30% |           5 |           0 |        9-7-0 | 56.25% | 2807-2809-90 |  49.98% |      9-7-0 |    56.25% |
| Leyline of the Guildpact                                 |     2 |  0.30% |           8 |           0 |       5-10-1 | 34.38% | 2811-2806-89 |  50.04% |     5-10-1 |    34.38% |
| Marang River Regent // Coil and Catch                    |     2 |  0.30% |           3 |           0 |        1-9-0 | 10.00% | 2815-2807-90 |  50.07% |      1-9-0 |    10.00% |
| March of Otherworldly Light                              |     2 |  0.30% |           1 |           2 |        6-9-1 | 40.62% | 2810-2807-89 |  50.03% |      6-9-1 |    40.62% |
| Meddling Mage                                            |     2 |  0.30% |           0 |           3 |        6-6-3 | 50.00% | 2810-2810-87 |  50.00% |      6-6-3 |    50.00% |
| Meekstone                                                |     2 |  0.30% |           0 |           2 |        7-8-0 | 46.67% | 2809-2808-90 |  50.01% |      7-8-0 |    46.67% |
| Merfolk Trickster                                        |     2 |  0.30% |           6 |           0 |        3-8-0 | 27.27% | 2813-2808-90 |  50.04% |      3-8-0 |    27.27% |
| Monastery Swiftspear                                     |     2 |  0.30% |           8 |           0 |        5-9-0 | 35.71% | 2811-2807-90 |  50.04% |      5-9-0 |    35.71% |
| Nether Void                                              |     2 |  0.30% |           0 |           2 |        9-9-0 | 50.00% | 2807-2807-90 |  50.00% |      9-9-0 |    50.00% |
| Nettle Sentinel                                          |     2 |  0.30% |           8 |           0 |       5-11-0 | 31.25% | 2811-2805-90 |  50.05% |     5-11-0 |    31.25% |
| Obsessive Pursuit                                        |     2 |  0.30% |           6 |           0 |       3-11-0 | 21.43% | 2813-2805-90 |  50.07% |     2-10-0 |    16.67% |
| Otherworldly Gaze                                        |     2 |  0.30% |           8 |           0 |      17-10-1 | 62.50% | 2799-2806-89 |  49.94% |    17-10-1 |    62.50% |
| Ox of Agonas                                             |     2 |  0.30% |           2 |           0 |      17-10-1 | 62.50% | 2799-2806-89 |  49.94% |    17-10-1 |    62.50% |
| Passageway Seer                                          |     2 |  0.30% |           0 |           8 |        8-9-0 | 47.06% | 2808-2807-90 |  50.01% |      8-9-0 |    47.06% |
| Pentad Prism                                             |     2 |  0.30% |           2 |           0 |      16-10-2 | 60.71% | 2800-2806-88 |  49.95% |    16-10-2 |    60.71% |
| Phantasmal Image                                         |     2 |  0.30% |           2 |           2 |        1-6-0 | 14.29% | 2815-2810-90 |  50.04% |      1-6-0 |    14.29% |
| Phlage, Titan of Fire's Fury                             |     2 |  0.30% |           4 |           0 |       15-8-0 | 65.22% | 2801-2808-90 |  49.94% |     15-8-0 |    65.22% |
| Proft's Eidetic Memory                                   |     2 |  0.30% |           2 |           0 |       12-8-0 | 60.00% | 2804-2808-90 |  49.96% |     12-8-0 |    60.00% |
| Questing Druid // Seek the Beast                         |     2 |  0.30% |           6 |           0 |       11-9-0 | 55.00% | 2805-2807-90 |  49.98% |     11-9-0 |    55.00% |
| Release the Ants                                         |     2 |  0.30% |           0 |           2 |        7-8-0 | 46.67% | 2809-2808-90 |  50.01% |      7-8-0 |    46.67% |
| Renegade Rallier                                         |     2 |  0.30% |           2 |           0 |        9-9-1 | 50.00% | 2807-2807-89 |  50.00% |      9-9-1 |    50.00% |
| Sand Scout                                               |     2 |  0.30% |           8 |           0 |       15-7-1 | 67.39% | 2801-2809-89 |  49.93% |     15-7-1 |    67.39% |
| Satoru, the Infiltrator                                  |     2 |  0.30% |           2 |           0 |      17-10-1 | 62.50% | 2799-2806-89 |  49.94% |    17-10-1 |    62.50% |
| Scattered Groves                                         |     2 |  0.30% |           2 |           0 |        5-8-0 | 38.46% | 2811-2808-90 |  50.03% |      5-8-0 |    38.46% |
| Scion of Draco                                           |     2 |  0.30% |           8 |           0 |       5-10-1 | 34.38% | 2811-2806-89 |  50.04% |     5-10-1 |    34.38% |
| Scythecat Cub                                            |     2 |  0.30% |           8 |           0 |       19-7-1 | 72.22% | 2797-2809-89 |  49.89% |     19-7-1 |    72.22% |
| Sheltered by Ghosts                                      |     2 |  0.30% |           6 |           0 |       10-9-0 | 52.63% | 2806-2807-90 |  49.99% |     10-9-0 |    52.63% |
| Silent Gravestone                                        |     2 |  0.30% |           0 |           2 |       7-10-1 | 41.67% | 2809-2806-89 |  50.03% |     7-10-1 |    41.67% |
| Silvergill Adept                                         |     2 |  0.30% |           6 |           0 |        3-8-0 | 27.27% | 2813-2808-90 |  50.04% |      3-8-0 |    27.27% |
| Six                                                      |     2 |  0.30% |           2 |           0 |        5-7-0 | 41.67% | 2811-2809-90 |  50.02% |      5-7-0 |    41.67% |
| Snow-Covered Mountain                                    |     2 |  0.30% |           2 |           0 |        4-8-0 | 33.33% | 2812-2808-90 |  50.04% |      4-8-0 |    33.33% |
| Sphere of Resistance                                     |     2 |  0.30% |           8 |           0 |        5-6-0 | 45.45% | 2811-2810-90 |  50.01% |      5-6-0 |    45.45% |
| Spider-Woman, Stunning Savior                            |     2 |  0.30% |           3 |           2 |       5-11-2 | 33.33% | 2811-2805-88 |  50.05% |     5-11-2 |    33.33% |
| Staff of the Storyteller                                 |     2 |  0.30% |           4 |           0 |        3-9-0 | 25.00% | 2813-2807-90 |  50.05% |      3-9-0 |    25.00% |
| Starfield Shepherd                                       |     2 |  0.30% |           8 |           0 |        7-8-1 | 46.88% | 2809-2808-89 |  50.01% |      7-8-1 |    46.88% |
| Stinkweed Imp                                            |     2 |  0.30% |           8 |           0 |      17-10-1 | 62.50% | 2799-2806-89 |  49.94% |    17-10-1 |    62.50% |
| Sulfuric Vortex                                          |     2 |  0.30% |           1 |           1 |       6-11-1 | 36.11% | 2810-2805-89 |  50.04% |     6-11-1 |    36.11% |
| Summon: Bahamut                                          |     2 |  0.30% |           1 |           2 |        7-8-0 | 46.67% | 2809-2808-90 |  50.01% |      7-8-0 |    46.67% |
| Takenuma, Abandoned Mire                                 |     2 |  0.30% |           2 |           0 |        6-9-0 | 40.00% | 2810-2807-90 |  50.03% |      6-9-0 |    40.00% |
| The Filigree Sylex                                       |     2 |  0.30% |           0 |           3 |        5-6-2 | 46.15% | 2811-2810-88 |  50.01% |      5-6-2 |    46.15% |
| Thraben Charm                                            |     2 |  0.30% |           1 |           1 |        9-9-0 | 50.00% | 2807-2807-90 |  50.00% |      9-9-0 |    50.00% |
| Tinder Wall                                              |     2 |  0.30% |           8 |           0 |       6-10-0 | 37.50% | 2810-2806-90 |  50.04% |     6-10-0 |    37.50% |
| Trickbind                                                |     2 |  0.30% |           0 |           2 |        9-7-0 | 56.25% | 2807-2809-90 |  49.98% |      9-7-0 |    56.25% |
| Turntimber Symbiosis // Turntimber, Serpentine Wood      |     2 |  0.30% |           3 |           0 |       6-10-0 | 37.50% | 2810-2806-90 |  50.04% |     6-10-0 |    37.50% |
| Vault of Whispers                                        |     2 |  0.30% |           8 |           0 |        5-9-0 | 35.71% | 2811-2807-90 |  50.04% |      5-9-0 |    35.71% |
| Whipflare                                                |     2 |  0.30% |           0 |           4 |        7-8-0 | 46.67% | 2809-2808-90 |  50.01% |      7-8-0 |    46.67% |
| Will of the Jeskai                                       |     2 |  0.30% |           0 |           2 |       17-8-0 | 68.00% | 2799-2808-90 |  49.92% |     17-8-0 |    68.00% |
| Xantid Swarm                                             |     2 |  0.30% |           0 |           5 |        2-8-0 | 20.00% | 2814-2808-90 |  50.05% |      2-8-0 |    20.00% |
| Aang's Iceberg                                           |     1 |  0.15% |           2 |           0 |        3-4-0 | 42.86% | 2813-2812-90 |  50.01% |      3-4-0 |    42.86% |
| Abyssal Harvester                                        |     1 |  0.15% |           0 |           2 |        2-3-0 | 40.00% | 2814-2813-90 |  50.01% |      2-3-0 |    40.00% |
