Card Statistics over 944 Decks (2025 North America Legacy Championship (2025-10-12))
+--------------------------------------------------------------+-------+--------+---------------+--------+-------------+-------------+------------+-----------+--------------+--------------+------------------+-----------------+
|                             Card                             | # of  |  % of  |  Record With  | Win %  | # of Copies | # of Copies |   Record   | Win % vs. |  Record vs.  |  Win % vs.   | Record vs. Nadu, | Win % vs. Nadu, |
|                                                              | Decks | Decks  |               |  With  |   (Main)    |   (Side)    | vs. Entomb |  Entomb   | Mystic Forge | Mystic Forge |  Winged Wisdom   |  Winged Wisdom  |
+--------------------------------------------------------------+-------+--------+---------------+--------+-------------+-------------+------------+-----------+--------------+--------------+------------------+-----------------+
| Broadside Bombardiers                                        |    55 |  5.88% |     210-228-7 | 47.98% |         215 |           0 |    33-39-0 |    45.83% |      15-23-1 |       39.74% |          34-26-2 |          56.45% |
| Price of Progress                                            |    54 |  5.77% |    203-222-16 | 47.85% |          28 |          68 |    29-43-2 |    40.54% |      17-17-0 |       50.00% |          23-31-4 |          43.10% |
| Spell Pierce                                                 |    53 |  5.66% |    209-221-15 | 48.65% |          74 |           4 |    35-52-2 |    40.45% |      24-22-0 |       52.17% |          23-26-2 |          47.06% |
| Blue Elemental Blast                                         |    52 |  5.56% |    201-206-13 | 49.40% |           0 |          66 |    36-42-3 |    46.30% |      18-20-0 |       47.37% |          22-29-2 |          43.40% |
| Candelabra of Tawnos                                         |    51 |  5.45% |     263-206-5 | 56.01% |          51 |           0 |    43-45-2 |    48.89% |      26-26-0 |       50.00% |          31-23-0 |          57.41% |
| Crop Rotation                                                |    51 |  5.45% |     202-231-9 | 46.72% |         183 |           9 |    33-35-2 |    48.57% |      13-34-0 |       27.66% |          19-30-1 |          39.00% |
| Mishra's Research Desk                                       |    50 |  5.34% |     257-199-5 | 56.29% |          50 |           0 |    51-42-2 |    54.74% |      21-24-0 |       46.67% |          29-20-0 |          59.18% |
| Clarion Conqueror                                            |    49 |  5.24% |    221-206-15 | 51.70% |          13 |         104 |    38-43-1 |    46.95% |      21-24-0 |       46.67% |          36-28-2 |          56.06% |
| Cabal Therapy                                                |    49 |  5.24% |     209-212-2 | 49.65% |         100 |           9 |    29-39-1 |    42.75% |      19-26-0 |       42.22% |          28-25-1 |          52.78% |
| Cori-Steel Cutter                                            |    49 |  5.24% |    204-201-19 | 50.35% |         176 |           0 |    34-33-1 |    50.74% |      21-12-0 |       63.64% |          24-28-5 |          46.49% |
| Life from the Loam                                           |    49 |  5.24% |     203-227-6 | 47.25% |         162 |           1 |    38-34-3 |    52.67% |      21-30-0 |       41.18% |          24-26-1 |          48.04% |
