Card Statistics over 944 Decks (2025 North America Legacy Championship (2025-10-12))
+--------------------------------------------------------------+-------+--------+---------------+--------+-------------+-------------+------------+-----------+--------------+--------------+------------------+-----------------+
|                             Card                             | # of  |  % of  |  Record With  | Win %  | # of Copies | # of Copies |   Record   | Win % vs. |  Record vs.  |  Win % vs.   | Record vs. Nadu, | Win % vs. Nadu, |
|                                                              | Decks | Decks  |               |  With  |   (Main)    |   (Side)    | vs. Entomb |  Entomb   | Mystic Forge | Mystic Forge |  Winged Wisdom   |  Winged Wisdom  |
+--------------------------------------------------------------+-------+--------+---------------+--------+-------------+-------------+------------+-----------+--------------+--------------+------------------+-----------------+
| Meddling Mage                                                |     3 |  0.32% |        8-12-1 | 40.48% |           0 |           6 |      1-4-0 |    20.00% |        0-0-0 |          --- |            3-2-0 |          60.00% |
| Tear Asunder                                                 |     3 |  0.32% |        8-12-1 | 40.48% |           0 |           4 |      3-0-0 |   100.00% |        1-0-0 |      100.00% |            1-1-1 |          50.00% |
| Release the Ants                                             |     3 |  0.32% |        8-12-0 | 40.00% |           0 |           3 |      2-3-0 |    40.00% |        1-2-0 |       33.33% |            0-2-0 |           0.00% |
| Pyroclasm                                                    |     3 |  0.32% |        8-11-1 | 42.50% |           0 |           3 |      1-1-0 |    50.00% |        1-0-0 |      100.00% |            1-3-0 |          25.00% |
| Rundvelt Hordemaster                                         |     3 |  0.32% |        8-11-0 | 42.11% |           5 |           0 |      1-3-0 |    25.00% |        0-1-0 |        0.00% |            1-1-0 |          50.00% |
| Pashalik Mons                                                |     3 |  0.32% |        8-11-0 | 42.11% |           3 |           0 |      1-3-0 |    25.00% |        0-1-0 |        0.00% |            1-1-0 |          50.00% |
| Spell Snare                                                  |     3 |  0.32% |        7-15-1 | 32.61% |           2 |           2 |      1-4-0 |    20.00% |        1-1-0 |       50.00% |            0-2-0 |           0.00% |
| Thorn of Amethyst                                            |     3 |  0.32% |        7-12-0 | 36.84% |           4 |           3 |      3-2-0 |    60.00% |        0-1-0 |        0.00% |            1-2-0 |          33.33% |
| Emperor of Bones                                             |     3 |  0.32% |        6-13-0 | 31.58% |           3 |           1 |      1-2-0 |    33.33% |        0-1-0 |        0.00% |            0-3-0 |           0.00% |
| Commandeer                                                   |     3 |  0.32% |        6-13-0 | 31.58% |           2 |           2 |      1-1-0 |    50.00% |        0-3-0 |        0.00% |            1-2-0 |          33.33% |
| Staff of the Storyteller                                     |     3 |  0.32% |        6-12-0 | 33.33% |           9 |           0 |      2-1-0 |    66.67% |        0-1-0 |        0.00% |            0-1-0 |           0.00% |
| Stalactite Stalker                                           |     3 |  0.32% |        6-10-0 | 37.50% |          11 |           0 |      2-2-0 |    50.00% |        0-0-0 |          --- |            0-3-0 |           0.00% |
| Go for the Throat                                            |     3 |  0.32% |        5-14-0 | 26.32% |           0 |           4 |      1-2-0 |    33.33% |        1-0-0 |      100.00% |            0-2-0 |           0.00% |
| Loran of the Third Path                                      |     3 |  0.32% |        4-11-0 | 26.67% |           2 |           2 |      1-0-0 |   100.00% |        1-0-0 |      100.00% |            0-1-0 |           0.00% |
| Council's Judgment                                           |     3 |  0.32% |        4-10-3 | 32.35% |           2 |           1 |      0-1-0 |     0.00% |        0-0-0 |          --- |            0-3-0 |           0.00% |
| Chainsaw                                                     |     3 |  0.32% |       21-15-0 | 58.33% |           0 |           3 |      2-4-0 |    33.33% |        1-2-0 |       33.33% |            4-4-0 |          50.00% |
| Ratchet Bomb                                                 |     3 |  0.32% |        2-11-0 | 15.38% |           0 |           4 |      2-2-0 |    50.00% |        0-0-0 |          --- |            0-2-0 |           0.00% |
| Cyclonic Rift                                                |     3 |  0.32% |       19-13-0 | 59.38% |           4 |           0 |      4-3-0 |    57.14% |        0-3-0 |        0.00% |            7-0-0 |         100.00% |
| Spire of Industry                                            |     3 |  0.32% |       18-14-0 | 56.25% |           3 |           0 |      2-3-0 |    40.00% |        3-1-0 |       75.00% |            3-0-0 |         100.00% |
| Pentad Prism                                                 |     3 |  0.32% |       18-12-1 | 59.68% |           4 |           0 |      0-3-1 |    12.50% |        4-0-0 |      100.00% |            1-2-0 |          33.33% |
| Patchwork Automaton                                          |     3 |  0.32% |       16-14-1 | 53.23% |          12 |           0 |      6-4-0 |    60.00% |        1-1-0 |       50.00% |            4-0-0 |         100.00% |
| Progenitus                                                   |     3 |  0.32% |       15-16-0 | 48.39% |           4 |           2 |      1-3-0 |    25.00% |        3-2-0 |       60.00% |            3-4-0 |          42.86% |
| Flagstones of Trokair                                        |     3 |  0.32% |       15-13-1 | 53.45% |           6 |           0 |      1-3-0 |    25.00% |        0-2-0 |        0.00% |            2-3-0 |          40.00% |
| Get Lost                                                     |     3 |  0.32% |       15-12-1 | 55.36% |           1 |           3 |      1-4-0 |    20.00% |        1-1-0 |       50.00% |            1-2-0 |          33.33% |
| Nature's Claim                                               |     3 |  0.32% |       14-16-0 | 46.67% |           0 |          10 |      5-4-0 |    55.56% |        1-3-0 |       25.00% |            3-1-0 |          75.00% |
| Dance of the Dead                                            |     3 |  0.32% |       14-15-0 | 48.28% |           8 |           0 |      4-1-0 |    80.00% |        1-1-0 |       50.00% |            1-2-0 |          33.33% |
| Worldgorger Dragon                                           |     3 |  0.32% |       14-15-0 | 48.28% |           6 |           0 |      4-1-0 |    80.00% |        1-1-0 |       50.00% |            1-2-0 |          33.33% |
| Cryptic Coat                                                 |     3 |  0.32% |       14-12-0 | 53.85% |           3 |           0 |      1-3-0 |    25.00% |        0-2-0 |        0.00% |            1-3-0 |          25.00% |
| Questing Druid // Seek the Beast                             |     3 |  0.32% |       14-11-1 | 55.77% |           8 |           0 |      2-1-0 |    66.67% |        1-0-0 |      100.00% |            3-2-0 |          60.00% |
| Subtlety                                                     |     3 |  0.32% |        13-9-2 | 58.33% |           0 |           4 |      1-2-0 |    33.33% |        1-1-0 |       50.00% |            2-2-0 |          50.00% |
| Cabal Pit                                                    |     3 |  0.32% |       12-19-1 | 39.06% |           3 |           0 |      4-2-0 |    66.67% |        0-2-0 |        0.00% |            1-0-1 |          75.00% |
| Snow-Covered Wastes                                          |     3 |  0.32% |       12-14-1 | 46.30% |           4 |           0 |      1-1-0 |    50.00% |        0-2-0 |        0.00% |            0-2-0 |           0.00% |
| Past in Flames                                               |     3 |  0.32% |       12-14-0 | 46.15% |           2 |           2 |      2-3-0 |    40.00% |        1-2-0 |       33.33% |            1-1-0 |          50.00% |
| Gemstone Caverns                                             |     3 |  0.32% |       11-16-0 | 40.74% |           2 |           1 |      1-3-0 |    25.00% |        0-1-0 |        0.00% |            1-3-0 |          25.00% |
| Giver of Runes                                               |     3 |  0.32% |       11-13-0 | 45.83% |           5 |           0 |      1-4-0 |    20.00% |        0-1-0 |        0.00% |            2-1-0 |          66.67% |
| Searing Blaze                                                |     3 |  0.32% |       11-12-0 | 47.83% |           0 |           6 |      3-2-0 |    60.00% |        1-1-0 |       50.00% |            1-3-0 |          25.00% |
| Predict                                                      |     3 |  0.32% |       10-13-2 | 44.00% |           7 |           0 |      2-3-1 |    41.67% |        3-1-0 |       75.00% |            0-1-0 |           0.00% |
| Riftstone Portal                                             |     3 |  0.32% |       10-13-1 | 43.75% |           3 |           0 |      2-5-0 |    28.57% |        0-1-0 |        0.00% |            1-0-0 |         100.00% |
| Shifting Woodland                                            |     3 |  0.32% |       10-13-0 | 43.48% |           3 |           0 |      2-2-0 |    50.00% |        0-1-0 |        0.00% |            0-5-0 |           0.00% |
| Battle Cry Goblin                                            |     3 |  0.32% |       10-12-0 | 45.45% |           6 |           0 |      3-0-0 |   100.00% |        0-1-0 |        0.00% |            1-3-0 |          25.00% |
| Misdirection                                                 |     3 |  0.32% |       10-12-0 | 45.45% |           1 |           2 |      0-1-0 |     0.00% |        1-0-0 |      100.00% |            3-2-0 |          60.00% |
| True-Name Nemesis                                            |     3 |  0.32% |        1-11-0 |  8.33% |           4 |           3 |      1-2-0 |    33.33% |        0-2-0 |        0.00% |            0-2-0 |           0.00% |
| Searing Blood                                                |     2 |  0.21% |         9-9-0 | 50.00% |           0 |           4 |      0-1-0 |     0.00% |        0-0-0 |          --- |            1-2-0 |          33.33% |
| Elemental Eruption                                           |     2 |  0.21% |         9-7-1 | 55.88% |           1 |           2 |      0-1-0 |     0.00% |        1-0-0 |      100.00% |            2-0-0 |         100.00% |
| Anticausal Vestige                                           |     2 |  0.21% |        9-12-1 | 43.18% |           3 |           0 |      0-0-0 |       --- |        1-2-0 |       33.33% |            0-1-0 |           0.00% |
| Goblin Rabblemaster                                          |     2 |  0.21% |        9-10-0 | 47.37% |           4 |           2 |      2-1-0 |    66.67% |        0-0-0 |          --- |            1-2-0 |          33.33% |
| Reclamation Sage                                             |     2 |  0.21% |         8-9-0 | 47.06% |           1 |           1 |      2-0-0 |   100.00% |        0-2-0 |        0.00% |            0-3-0 |           0.00% |
| Silence                                                      |     2 |  0.21% |         8-8-1 | 50.00% |           5 |           0 |      0-3-0 |     0.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| All Is Dust                                                  |     2 |  0.21% |        8-11-0 | 42.11% |           0 |           3 |      3-1-0 |    75.00% |        1-0-0 |      100.00% |            0-4-0 |           0.00% |
| Enlightened Tutor                                            |     2 |  0.21% |        8-10-0 | 44.44% |           6 |           0 |      1-2-0 |    33.33% |        0-2-0 |        0.00% |            0-2-0 |           0.00% |
| Leyline of Anticipation                                      |     2 |  0.21% |        8-10-0 | 44.44% |           4 |           4 |      0-3-0 |     0.00% |        2-1-0 |       66.67% |            0-2-0 |           0.00% |
| Pendelhaven                                                  |     2 |  0.21% |         7-9-0 | 43.75% |           2 |           0 |      0-1-0 |     0.00% |        2-1-0 |       66.67% |            1-1-0 |          50.00% |
| Hide on the Ceiling                                          |     2 |  0.21% |         7-9-0 | 43.75% |           0 |           2 |      0-3-0 |     0.00% |        1-2-0 |       33.33% |            0-1-0 |           0.00% |
| Howlsquad Heavy                                              |     2 |  0.21% |         7-8-0 | 46.67% |           4 |           0 |      1-0-0 |   100.00% |        0-1-0 |        0.00% |            1-1-0 |          50.00% |
| Ethersworn Canonist                                          |     2 |  0.21% |         7-8-0 | 46.67% |           0 |           2 |      3-3-0 |    50.00% |        0-1-0 |        0.00% |            0-0-0 |             --- |
| Genemorph Imago                                              |     2 |  0.21% |         7-7-0 | 50.00% |           3 |           0 |      1-2-0 |    33.33% |        0-2-0 |        0.00% |            0-2-0 |           0.00% |
| Marang River Regent // Coil and Catch // Marang River Regent |     2 |  0.21% |         7-6-2 | 53.33% |           6 |           0 |      3-2-0 |    60.00% |        0-0-1 |       50.00% |            1-0-0 |         100.00% |
| Cut Propulsion                                               |     2 |  0.21% |         7-6-0 | 53.85% |           0 |           8 |      3-0-0 |   100.00% |        0-1-0 |        0.00% |            0-1-0 |           0.00% |
| City of Brass                                                |     2 |  0.21% |        7-10-0 | 41.18% |           4 |           0 |      0-2-0 |     0.00% |        0-1-0 |        0.00% |            0-3-0 |           0.00% |
| Suppression Field                                            |     2 |  0.21% |        7-10-0 | 41.18% |           2 |           3 |      0-0-0 |       --- |        0-2-0 |        0.00% |            0-2-0 |           0.00% |
| Yawgmoth, Thran Physician                                    |     2 |  0.21% |         6-9-0 | 40.00% |           8 |           0 |      1-2-0 |    33.33% |        0-1-0 |        0.00% |            0-3-0 |           0.00% |
| Young Wolf                                                   |     2 |  0.21% |         6-9-0 | 40.00% |           8 |           0 |      1-2-0 |    33.33% |        0-1-0 |        0.00% |            0-3-0 |           0.00% |
| Spymaster's Vault                                            |     2 |  0.21% |         6-9-0 | 40.00% |           2 |           0 |      1-2-0 |    33.33% |        0-1-0 |        0.00% |            0-3-0 |           0.00% |
| Rain of Filth                                                |     2 |  0.21% |         6-9-0 | 40.00% |           2 |           0 |      1-1-0 |    50.00% |        0-2-0 |        0.00% |            1-1-0 |          50.00% |
| Scavenging Ooze                                              |     2 |  0.21% |         6-9-0 | 40.00% |           0 |           2 |      1-2-0 |    33.33% |        0-1-0 |        0.00% |            0-3-0 |           0.00% |
| Primeval Titan                                               |     2 |  0.21% |         6-8-2 | 43.75% |           6 |           0 |      2-1-0 |    66.67% |        0-1-0 |        0.00% |            0-2-0 |           0.00% |
| Undermountain Adventurer                                     |     2 |  0.21% |         6-8-0 | 42.86% |           8 |           0 |      0-3-0 |     0.00% |        2-0-0 |      100.00% |            1-0-0 |         100.00% |
| Food Chain                                                   |     2 |  0.21% |         6-8-0 | 42.86% |           8 |           0 |      1-1-0 |    50.00% |        1-0-0 |      100.00% |            0-4-0 |           0.00% |
| Shattering Spree                                             |     2 |  0.21% |         6-6-1 | 50.00% |           0 |           2 |      0-1-0 |     0.00% |        1-0-0 |      100.00% |            1-1-0 |          50.00% |
| Carnage Interpreter                                          |     2 |  0.21% |         6-5-0 | 54.55% |           7 |           0 |      2-0-0 |   100.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Force of Despair                                             |     2 |  0.21% |         5-8-1 | 39.29% |           0 |           3 |      1-0-0 |   100.00% |        0-1-0 |        0.00% |            1-0-1 |          75.00% |
| Harbinger of the Tides                                       |     2 |  0.21% |         5-8-1 | 39.29% |           0 |           2 |      1-1-0 |    50.00% |        1-1-0 |       50.00% |            0-1-0 |           0.00% |
| Unclaimed Territory                                          |     2 |  0.21% |         5-8-0 | 38.46% |           6 |           0 |      1-2-0 |    33.33% |        0-1-0 |        0.00% |            1-0-0 |         100.00% |
| Field of the Dead                                            |     2 |  0.21% |         5-8-0 | 38.46% |           4 |           0 |      0-1-0 |     0.00% |        0-1-0 |        0.00% |            0-0-0 |             --- |
| Shoot the Sheriff                                            |     2 |  0.21% |         5-8-0 | 38.46% |           0 |           2 |      2-1-0 |    66.67% |        2-0-0 |      100.00% |            0-2-0 |           0.00% |
| Deep Analysis                                                |     2 |  0.21% |         5-7-0 | 41.67% |           2 |           1 |      0-0-0 |       --- |        0-0-0 |          --- |            3-0-0 |         100.00% |
| Grapeshot                                                    |     2 |  0.21% |         5-6-1 | 45.83% |           0 |           2 |      0-0-0 |       --- |        1-0-0 |      100.00% |            1-1-0 |          50.00% |
| Goryo's Vengeance                                            |     2 |  0.21% |         5-6-0 | 45.45% |           6 |           0 |      0-2-0 |     0.00% |        0-0-0 |          --- |            3-0-0 |         100.00% |
| Hallowed Fountain                                            |     2 |  0.21% |        5-10-0 | 33.33% |           3 |           0 |      0-2-0 |     0.00% |        0-2-0 |        0.00% |            0-0-0 |             --- |
| Memory Guardian                                              |     2 |  0.21% |         4-9-0 | 30.77% |           6 |           0 |      1-2-0 |    33.33% |        1-0-0 |      100.00% |            0-0-0 |             --- |
| Urza's Power Plant                                           |     2 |  0.21% |         4-9-0 | 30.77% |           6 |           0 |      1-1-0 |    50.00% |        0-0-0 |          --- |            0-0-0 |             --- |
| Urza's Mine                                                  |     2 |  0.21% |         4-9-0 | 30.77% |           6 |           0 |      1-1-0 |    50.00% |        0-0-0 |          --- |            0-0-0 |             --- |
| Ugin, the Spirit Dragon                                      |     2 |  0.21% |         4-9-0 | 30.77% |           3 |           0 |      1-1-0 |    50.00% |        0-0-0 |          --- |            0-0-0 |             --- |
| Sorcerous Spyglass                                           |     2 |  0.21% |         4-9-0 | 30.77% |           2 |           3 |      1-4-0 |    20.00% |        0-1-0 |        0.00% |            1-1-0 |          50.00% |
| Forsaken Monument                                            |     2 |  0.21% |         4-8-0 | 33.33% |           2 |           0 |      1-2-0 |    33.33% |        0-1-0 |        0.00% |            0-0-0 |             --- |
| Sunbaked Canyon                                              |     2 |  0.21% |         4-8-0 | 33.33% |           2 |           0 |      0-0-0 |       --- |        0-2-0 |        0.00% |            0-1-0 |           0.00% |
| Kiki-Jiki, Mirror Breaker                                    |     2 |  0.21% |         4-8-0 | 33.33% |           2 |           0 |      0-1-0 |     0.00% |        2-1-0 |       66.67% |            1-4-0 |          20.00% |
| Become Immense                                               |     2 |  0.21% |         4-8-0 | 33.33% |           2 |           0 |      0-1-0 |     0.00% |        2-1-0 |       66.67% |            0-1-0 |           0.00% |
| Borne Upon a Wind                                            |     2 |  0.21% |         4-7-0 | 36.36% |           1 |           4 |      0-1-0 |     0.00% |        1-2-0 |       33.33% |            0-1-0 |           0.00% |
| Trickbind                                                    |     2 |  0.21% |         4-7-0 | 36.36% |           0 |           2 |      2-1-0 |    66.67% |        1-1-0 |       50.00% |            0-2-0 |           0.00% |
| Impulse                                                      |     2 |  0.21% |         4-5-0 | 44.44% |           3 |           0 |      1-1-0 |    50.00% |        0-0-0 |          --- |            1-0-0 |         100.00% |
| Exhume                                                       |     2 |  0.21% |        4-11-0 | 26.67% |           6 |           0 |      0-2-0 |     0.00% |        0-1-0 |        0.00% |            0-1-0 |           0.00% |
| Necromancy                                                   |     2 |  0.21% |        4-10-0 | 28.57% |           3 |           0 |      0-1-0 |     0.00% |        0-0-0 |          --- |            0-2-0 |           0.00% |
| Formless Genesis                                             |     2 |  0.21% |         3-9-1 | 26.92% |           2 |           0 |      1-1-0 |    50.00% |        0-0-0 |          --- |            1-1-1 |          50.00% |
| Ruination                                                    |     2 |  0.21% |         3-9-0 | 25.00% |           0 |           2 |      1-0-0 |   100.00% |        0-0-0 |          --- |            0-3-0 |           0.00% |
| Unexpectedly Absent                                          |     2 |  0.21% |         3-8-2 | 30.77% |           2 |           0 |      1-1-0 |    50.00% |        0-0-0 |          --- |            0-2-0 |           0.00% |
| Lodestone Golem                                              |     2 |  0.21% |         3-8-0 | 27.27% |           8 |           0 |      3-1-0 |    75.00% |        0-0-0 |          --- |            0-2-0 |           0.00% |
| Vampire Hexmage                                              |     2 |  0.21% |         3-8-0 | 27.27% |           7 |           0 |      0-2-0 |     0.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Palantír of Orthanc                                          |     2 |  0.21% |         3-8-0 | 27.27% |           2 |           0 |      2-2-0 |    50.00% |        0-1-0 |        0.00% |            0-0-0 |             --- |
| Gempalm Incinerator                                          |     2 |  0.21% |         3-7-0 | 30.00% |           2 |           0 |      0-3-0 |     0.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Standstill                                                   |     2 |  0.21% |        3-10-1 | 25.00% |           5 |           0 |      1-2-0 |    33.33% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Jegantha, the Wellspring                                     |     2 |  0.21% |        3-10-0 | 23.08% |           2 |           0 |      0-1-0 |     0.00% |        0-1-0 |        0.00% |            0-1-0 |           0.00% |
| Energy Flux                                                  |     2 |  0.21% |         2-9-1 | 20.83% |           0 |           5 |      1-2-0 |    33.33% |        0-0-0 |          --- |            0-2-0 |           0.00% |
| Collective Brutality                                         |     2 |  0.21% |         2-9-0 | 18.18% |           2 |           4 |      0-3-0 |     0.00% |        0-1-0 |        0.00% |            0-1-0 |           0.00% |
| Borborygmos Enraged                                          |     2 |  0.21% |         2-9-0 | 18.18% |           2 |           0 |      0-3-0 |     0.00% |        0-1-0 |        0.00% |            0-1-0 |           0.00% |
| Dovin's Veto                                                 |     2 |  0.21% |         2-5-2 | 33.33% |           2 |           2 |      0-1-0 |     0.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Sudden Edict                                                 |     2 |  0.21% |        2-11-0 | 15.38% |           3 |           1 |      0-2-0 |     0.00% |        0-2-0 |        0.00% |            0-0-0 |             --- |
| Grove of the Burnwillows                                     |     2 |  0.21% |       19-11-0 | 63.33% |           6 |           0 |      4-5-0 |    44.44% |        3-0-0 |      100.00% |            1-1-0 |          50.00% |
| Punishing Fire                                               |     2 |  0.21% |       19-11-0 | 63.33% |           2 |           3 |      4-5-0 |    44.44% |        3-0-0 |      100.00% |            1-1-0 |          50.00% |
| Retrofitter Foundry                                          |     2 |  0.21% |       18-10-2 | 63.33% |           4 |           1 |      6-3-0 |    66.67% |        1-1-0 |       50.00% |            3-0-1 |          87.50% |
| Dack Fayden                                                  |     2 |  0.21% |        14-9-0 | 60.87% |           1 |           1 |      4-2-0 |    66.67% |        3-0-0 |      100.00% |            1-2-0 |          33.33% |
| Vision Charm                                                 |     2 |  0.21% |        13-8-0 | 61.90% |           0 |           2 |      0-2-0 |     0.00% |        2-0-0 |      100.00% |            1-3-0 |          25.00% |
| Sail into the West                                           |     2 |  0.21% |       13-11-0 | 54.17% |           2 |           0 |      0-2-0 |     0.00% |        3-1-0 |       75.00% |            1-2-0 |          33.33% |
| Hope of Ghirapur                                             |     2 |  0.21% |       13-11-0 | 54.17% |           2 |           0 |      4-3-0 |    57.14% |        2-1-0 |       66.67% |            3-0-0 |         100.00% |
| Shelldock Isle                                               |     2 |  0.21% |       13-10-0 | 56.52% |           0 |           2 |      1-3-0 |    25.00% |        1-2-0 |       33.33% |            1-2-0 |          33.33% |
| Talisman of Impulse                                          |     2 |  0.21% |        12-9-0 | 57.14% |           3 |           0 |      5-3-0 |    62.50% |        0-1-0 |        0.00% |            3-0-0 |         100.00% |
| Ornithopter                                                  |     2 |  0.21% |        11-9-0 | 55.00% |           8 |           0 |      4-3-0 |    57.14% |        1-1-0 |       50.00% |            3-1-0 |          75.00% |
| The Wandering Emperor                                        |     2 |  0.21% |        11-8-1 | 57.50% |           0 |           2 |      2-3-0 |    40.00% |        3-0-0 |      100.00% |            1-1-0 |          50.00% |
| Shenanigans                                                  |     2 |  0.21% |       11-11-0 | 50.00% |           0 |           2 |      1-2-0 |    33.33% |        2-0-0 |      100.00% |            3-2-0 |          60.00% |
| Living Conundrum                                             |     2 |  0.21% |       11-11-0 | 50.00% |           0 |           2 |      2-3-0 |    40.00% |        3-0-0 |      100.00% |            3-0-0 |         100.00% |
| Drown in the Loch                                            |     2 |  0.21% |        10-9-0 | 52.63% |           3 |           0 |      1-3-0 |    25.00% |        0-3-0 |        0.00% |            1-0-0 |         100.00% |
| Crystal Vein                                                 |     2 |  0.21% |        10-8-0 | 55.56% |           6 |           0 |      2-2-0 |    50.00% |        1-2-0 |       33.33% |            1-2-0 |          33.33% |
| Goblin Cratermaker                                           |     2 |  0.21% |        10-8-0 | 55.56% |           1 |           1 |      2-2-0 |    50.00% |        0-2-0 |        0.00% |            1-0-0 |         100.00% |
| Springleaf Drum                                              |     2 |  0.21% |         1-7-0 | 12.50% |           2 |           0 |      1-1-0 |    50.00% |        0-0-0 |          --- |            0-2-0 |           0.00% |
| Bloodchief's Thirst                                          |     2 |  0.21% |         0-8-1 |  5.56% |           1 |           2 |      0-2-0 |     0.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Elite Spellbinder                                            |     1 |  0.11% |         9-6-0 | 60.00% |           4 |           0 |      1-0-0 |   100.00% |        2-3-0 |       40.00% |            2-1-0 |          66.67% |
| Cybermat                                                     |     1 |  0.11% |         9-6-0 | 60.00% |           4 |           0 |      4-2-0 |    66.67% |        1-1-0 |       50.00% |            3-0-0 |         100.00% |
| Shrapnel Blast                                               |     1 |  0.11% |         9-6-0 | 60.00% |           4 |           0 |      4-2-0 |    66.67% |        1-1-0 |       50.00% |            3-0-0 |         100.00% |
| Anointed Peacekeeper                                         |     1 |  0.11% |         9-6-0 | 60.00% |           4 |           0 |      1-0-0 |   100.00% |        2-3-0 |       40.00% |            2-1-0 |          66.67% |
| Galvanic Blast                                               |     1 |  0.11% |         9-6-0 | 60.00% |           4 |           0 |      4-2-0 |    66.67% |        1-1-0 |       50.00% |            3-0-0 |         100.00% |
| Furnace Hellkite                                             |     1 |  0.11% |         9-6-0 | 60.00% |           1 |           0 |      4-2-0 |    66.67% |        1-1-0 |       50.00% |            3-0-0 |         100.00% |
| Fire Magic                                                   |     1 |  0.11% |         9-6-0 | 60.00% |           0 |           2 |      2-1-0 |    66.67% |        0-2-0 |        0.00% |            1-0-0 |         100.00% |
| Ketria Triome                                                |     1 |  0.11% |         9-5-1 | 63.33% |           2 |           0 |      1-1-1 |    50.00% |        1-2-0 |       33.33% |            1-0-0 |         100.00% |
| Scroll of Fate                                               |     1 |  0.11% |         8-5-0 | 61.54% |           0 |           1 |      1-1-0 |    50.00% |        0-2-0 |        0.00% |            3-1-0 |          75.00% |
| Verdant Catacomb                                             |     1 |  0.11% |         7-6-0 | 53.85% |           2 |           0 |      1-2-0 |    33.33% |        0-1-0 |        0.00% |            1-1-0 |          50.00% |
| Dusk Rose Reliquary                                          |     1 |  0.11% |         7-6-0 | 53.85% |           1 |           0 |      2-1-0 |    66.67% |        0-2-0 |        0.00% |            2-0-0 |         100.00% |
| Baleful Mastery                                              |     1 |  0.11% |         6-8-0 | 42.86% |           0 |           3 |      1-1-0 |    50.00% |        0-1-0 |        0.00% |            0-0-0 |             --- |
| Darkblast                                                    |     1 |  0.11% |         6-8-0 | 42.86% |           0 |           1 |      1-1-0 |    50.00% |        0-1-0 |        0.00% |            0-0-0 |             --- |
| Pest Control                                                 |     1 |  0.11% |         6-6-1 | 50.00% |           0 |           2 |      2-1-0 |    66.67% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Aeve, Progenitor Ooze                                        |     1 |  0.11% |         6-5-0 | 54.55% |           0 |           1 |      1-2-0 |    33.33% |        1-0-0 |      100.00% |            0-0-0 |             --- |
| Brainsurge                                                   |     1 |  0.11% |         6-4-0 | 60.00% |           1 |           0 |      2-1-0 |    66.67% |        0-0-0 |          --- |            1-2-0 |          33.33% |
| Heritage Reclamation                                         |     1 |  0.11% |         6-4-0 | 60.00% |           0 |           2 |      2-1-0 |    66.67% |        1-1-0 |       50.00% |            1-0-0 |         100.00% |
| Stingerback Terror                                           |     1 |  0.11% |         6-3-0 | 66.67% |           4 |           0 |      2-0-0 |   100.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Imperial Recruiter                                           |     1 |  0.11% |         5-4-0 | 55.56% |           2 |           0 |      1-2-0 |    33.33% |        0-1-0 |        0.00% |            0-0-0 |             --- |
| Impulsive Pilferer                                           |     1 |  0.11% |         5-4-0 | 55.56% |           1 |           0 |      1-0-0 |   100.00% |        0-1-0 |        0.00% |            1-0-0 |         100.00% |
| Sanctum Prelate                                              |     1 |  0.11% |         5-4-0 | 55.56% |           1 |           0 |      1-2-0 |    33.33% |        0-0-0 |          --- |            0-0-0 |             --- |
| Questing Beast                                               |     1 |  0.11% |         5-4-0 | 55.56% |           1 |           0 |      1-2-0 |    33.33% |        0-0-0 |          --- |            0-0-0 |             --- |
| Step Through                                                 |     1 |  0.11% |         5-4-0 | 55.56% |           1 |           0 |      1-1-0 |    50.00% |        0-1-0 |        0.00% |            1-0-0 |         100.00% |
| Grand Abolisher                                              |     1 |  0.11% |         5-4-0 | 55.56% |           1 |           0 |      1-2-0 |    33.33% |        0-0-0 |          --- |            0-0-0 |             --- |
| Portent of Calamity                                          |     1 |  0.11% |         5-4-0 | 55.56% |           1 |           0 |      1-1-0 |    50.00% |        0-0-0 |          --- |            0-0-0 |             --- |
| Trailblazer's Torch                                          |     1 |  0.11% |         5-4-0 | 55.56% |           1 |           0 |      1-2-0 |    33.33% |        0-0-0 |          --- |            0-0-0 |             --- |
| Ulamog, the Ceaseless Hunger // Ulamog, the Ceaseless Hunger |     1 |  0.11% |         5-4-0 | 55.56% |           1 |           0 |      0-1-0 |     0.00% |        1-1-0 |       50.00% |            2-1-0 |          66.67% |
| Gut Shot                                                     |     1 |  0.11% |         5-4-0 | 55.56% |           0 |           2 |      0-1-0 |     0.00% |        0-1-0 |        0.00% |            0-0-0 |             --- |
| Amphibian Downpour                                           |     1 |  0.11% |         5-4-0 | 55.56% |           0 |           2 |      1-1-0 |    50.00% |        0-0-0 |          --- |            0-2-0 |           0.00% |
| Aven Interrupter                                             |     1 |  0.11% |         5-4-0 | 55.56% |           0 |           2 |      1-2-0 |    33.33% |        0-0-0 |          --- |            0-0-0 |             --- |
