Card Statistics over 944 Decks (2025 North America Legacy Championship (2025-10-12))
+--------------------------------------------------------------+-------+--------+-------------+-------------+-------------+--------+-------------+---------+------------+-----------+------------+-----------+--------------+--------------+------------------+-----------------+------------+------------+---------------+---------------+------------+------------+-------------+-------------+
|                             Card                             | # of  |  % of  | # of Copies | # of Copies | Record With | Win %  |   Record    |  Win %  | Record vs. | Win % vs. |   Record   | Win % vs. |  Record vs.  |  Win % vs.   | Record vs. Nadu, | Win % vs. Nadu, | # of Decks | % of Decks |  # of Copies  |  # of Copies  |    # of    |    % of    | # of Copies | # of Copies |
|                                                              | Decks | Decks  |   (Main)    |   (Side)    |             |  With  |   Without   | Without |  Without   |  Without  | vs. Entomb |  Entomb   | Mystic Forge | Mystic Forge |  Winged Wisdom   |  Winged Wisdom  |   (T217)   |   (T217)   | (Main) (T217) | (Side) (T217) | Decks (T8) | Decks (T8) | (Main) (T8) | (Side) (T8) |
+--------------------------------------------------------------+-------+--------+-------------+-------------+-------------+--------+-------------+---------+------------+-----------+------------+-----------+--------------+--------------+------------------+-----------------+------------+------------+---------------+---------------+------------+------------+-------------+-------------+
| Archon of Cruelty                                            |   152 | 16.24% |         164 |           1 |   703-631-0 | 52.70% | 3248-3320-0 |  49.45% |  589-517-0 |    53.25% |  118-114-0 |    50.86% |      72-72-0 |       50.00% |          84-99-0 |          45.90% |         45 |     21.03% |            50 |             0 |          3 |     37.50% |           4 |           0 |
| Animate Dead                                                 |   151 | 16.13% |         231 |           1 |   695-630-0 | 52.45% | 3256-3321-0 |  49.51% |  585-520-0 |    52.94% |  119-110-0 |    51.97% |      71-72-0 |       49.65% |          81-96-0 |          45.76% |         44 |     20.56% |            69 |             0 |          3 |     37.50% |           4 |           0 |
| Bitter Triumph                                               |   148 | 15.81% |          38 |         177 |   656-628-0 | 51.09% | 3295-3323-0 |  49.79% |  556-528-0 |    51.29% |  101-113-0 |    47.20% |      65-67-0 |       49.24% |         79-105-0 |          42.93% |         44 |     20.56% |            10 |            55 |          1 |     12.50% |           0 |           1 |
| Windswept Heath                                              |   145 | 15.49% |         322 |           0 |   680-611-0 | 52.67% | 3271-3340-0 |  49.48% |  593-524-0 |    53.09% |  132-123-0 |    51.76% |      49-66-0 |       42.61% |          69-74-0 |          48.25% |         41 |     19.16% |            95 |             0 |          1 |     12.50% |           1 |           0 |
| Mox Opal                                                     |   142 | 15.17% |         258 |           0 |   600-587-0 | 50.55% | 3351-3364-0 |  49.90% |  511-498-0 |    50.64% |   99-135-0 |    42.31% |      58-59-0 |       49.57% |          62-75-0 |          45.26% |         29 |     13.55% |            43 |             0 |          3 |     37.50% |           3 |           0 |
| Mountain                                                     |   140 | 14.96% |         532 |           0 |   566-595-0 | 48.75% | 3385-3356-0 |  50.22% |  479-508-0 |    48.53% |   87-101-0 |    46.28% |      52-68-0 |       43.33% |          75-87-0 |          46.30% |         31 |     14.49% |           100 |             0 |          0 |        --- |           0 |           0 |
| Karn, the Great Creator                                      |   140 | 14.96% |         505 |          11 |   631-579-0 | 52.15% | 3320-3372-0 |  49.61% |  548-496-0 |    52.49% |  109-131-0 |    45.42% |      55-57-0 |       49.11% |          74-63-0 |          54.01% |         34 |     15.89% |           124 |             5 |          3 |     37.50% |          12 |           0 |
| Tormod's Crypt                                               |   139 | 14.85% |          45 |         138 |   640-572-0 | 52.81% | 3311-3379-0 |  49.49% |  559-491-0 |    53.24% |  110-129-0 |    46.03% |      56-56-0 |       50.00% |          79-67-0 |          54.11% |         34 |     15.89% |             9 |            33 |          3 |     37.50% |           1 |           3 |
| Nihil Spellbomb                                              |   138 | 14.74% |         214 |          48 |   470-559-0 | 45.68% | 3481-3392-0 |  50.65% |  403-492-0 |    45.03% |    62-90-0 |    40.79% |      45-57-0 |       44.12% |          52-81-0 |          39.10% |         23 |     10.75% |            36 |            10 |          1 |     12.50% |           1 |           0 |
| Boseiju, Who Endures                                         |   138 | 14.74% |         161 |          75 |   573-599-0 | 48.89% | 3378-3352-0 |  50.19% |  475-501-0 |    48.67% |   94-114-0 |    45.19% |      57-68-0 |       45.60% |          54-79-0 |          40.60% |         31 |     14.49% |            40 |            11 |          1 |     12.50% |           2 |           0 |
| Ensnaring Bridge                                             |   138 | 14.74% |          47 |         130 |   628-566-0 | 52.60% | 3323-3385-0 |  49.54% |  540-478-0 |    53.05% |  109-121-0 |    47.39% |      55-63-0 |       46.61% |          73-66-0 |          52.52% |         34 |     15.89% |            15 |            31 |          3 |     37.50% |           0 |           3 |
| Forest                                                       |   137 | 14.64% |         178 |           0 |   601-595-0 | 50.25% | 3350-3356-0 |  49.96% |  503-497-0 |    50.30% |  112-102-0 |    52.34% |      51-74-0 |       40.80% |          59-80-0 |          42.45% |         33 |     15.42% |            43 |             0 |          1 |     12.50% |           1 |           0 |
| Kozilek's Command                                            |   136 | 14.53% |         539 |           2 |   628-567-0 | 52.55% | 3323-3384-0 |  49.55% |  545-484-0 |    52.96% |  109-119-0 |    47.81% |      55-60-0 |       47.83% |          79-62-0 |          56.03% |         34 |     15.89% |           136 |             0 |          3 |     37.50% |          12 |           0 |
| Hedge Maze                                                   |   135 | 14.42% |         136 |           0 |   615-568-0 | 51.99% | 3336-3383-0 |  49.65% |  530-483-0 |    52.32% |  121-112-0 |    51.93% |      47-61-0 |       43.52% |          67-75-0 |          47.18% |         35 |     16.36% |            36 |             0 |          1 |     12.50% |           1 |           0 |
| Force of Vigor                                               |   133 | 14.21% |           0 |         312 |   605-582-0 | 50.97% | 3346-3369-0 |  49.83% |  515-492-0 |    51.14% |  118-102-0 |    53.64% |      51-70-0 |       42.15% |          59-81-0 |          42.14% |         35 |     16.36% |             0 |            82 |          1 |     12.50% |           0 |           2 |
| Savannah                                                     |   132 | 14.10% |         149 |           0 |   639-565-0 | 53.07% | 3312-3386-0 |  49.45% |  549-475-0 |    53.61% |  126-116-0 |    52.07% |      48-58-0 |       45.28% |          72-72-0 |          50.00% |         40 |     18.69% |            48 |             0 |          1 |     12.50% |           1 |           0 |
| Mycosynth Lattice                                            |   132 | 14.10% |           0 |         132 |   608-548-0 | 52.60% | 3343-3403-0 |  49.56% |  537-477-0 |    52.96% |  105-122-0 |    46.26% |      51-55-0 |       48.11% |          73-61-0 |          54.48% |         33 |     15.42% |             0 |            33 |          3 |     37.50% |           0 |           3 |
| City of Traitors                                             |   129 | 13.78% |         350 |           0 |   548-568-0 | 49.10% | 3403-3383-0 |  50.15% |  477-497-0 |    48.97% |    87-99-0 |    46.77% |      56-61-0 |       47.86% |          83-75-0 |          52.53% |         32 |     14.95% |            86 |             0 |          0 |        --- |           0 |           0 |
| Leyline of the Void                                          |   124 | 13.25% |          32 |         439 |   485-522-0 | 48.16% | 3466-3429-0 |  50.27% |  429-466-0 |    47.93% |    82-94-0 |    46.59% |      48-56-0 |       46.15% |          63-72-0 |          46.67% |         22 |     10.28% |             0 |            85 |          3 |     37.50% |           0 |          12 |
| Volcanic Island                                              |   123 | 13.14% |         323 |           0 |   485-508-0 | 48.84% | 3466-3443-0 |  50.17% |  412-435-0 |    48.64% |    67-94-0 |    41.61% |      50-40-0 |       55.56% |          52-69-0 |          42.98% |         24 |     11.21% |            60 |             0 |          0 |        --- |           0 |           0 |
| Cavern of Souls                                              |   120 | 12.82% |         231 |          61 |   541-526-0 | 50.70% | 3410-3425-0 |  49.89% |  457-442-0 |    50.83% |    95-97-0 |    49.48% |      46-52-0 |       46.94% |          63-79-0 |          44.37% |         32 |     14.95% |            65 |            17 |          2 |     25.00% |           1 |           2 |
| Glaring Fleshraker                                           |   116 | 12.39% |         461 |           0 |   528-490-0 | 51.87% | 3423-3461-0 |  49.72% |  461-423-0 |    52.15% |    93-96-0 |    49.21% |      50-53-0 |       48.54% |          61-56-0 |          52.14% |         30 |     14.02% |           120 |             0 |          3 |     37.50% |          12 |           0 |
| Endurance                                                    |   113 | 12.07% |         124 |         122 |   521-484-0 | 51.84% | 3430-3467-0 |  49.73% |  459-422-0 |    52.10% |    99-85-0 |    53.80% |      44-56-0 |       44.00% |          49-67-0 |          42.24% |         31 |     14.49% |            42 |            27 |          0 |        --- |           0 |           0 |
| Dauthi Voidwalker                                            |   113 | 12.07% |          58 |         241 |   475-466-0 | 50.48% | 3476-3485-0 |  49.94% |  420-411-0 |    50.54% |    86-76-0 |    53.09% |      46-53-0 |       46.46% |          52-73-0 |          41.60% |         26 |     12.15% |             5 |            68 |          2 |     25.00% |           0 |           7 |
| Planar Nexus                                                 |   110 | 11.75% |         440 |           0 |   521-445-0 | 53.93% | 3430-3506-0 |  49.45% |  468-392-0 |    54.42% |   91-101-0 |    47.40% |      46-48-0 |       48.94% |          63-45-0 |          58.33% |         27 |     12.62% |           108 |             0 |          3 |     37.50% |          12 |           0 |
| Urza's Tower                                                 |   110 | 11.75% |         440 |           0 |   521-445-0 | 53.93% | 3430-3506-0 |  49.45% |  468-392-0 |    54.42% |   91-101-0 |    47.40% |      46-48-0 |       48.94% |          63-45-0 |          58.33% |         27 |     12.62% |           108 |             0 |          3 |     37.50% |          12 |           0 |
| Nadu, Winged Wisdom                                          |   108 | 11.54% |         431 |           0 |   541-458-0 | 54.15% | 3410-3493-0 |  49.40% |  484-401-0 |    54.69% |   103-93-0 |    52.55% |      39-44-0 |       46.99% |          57-57-0 |          50.00% |         35 |     16.36% |           140 |             0 |          1 |     12.50% |           4 |           0 |
| Nomads en-Kor                                                |   108 | 11.54% |         427 |           0 |   541-458-0 | 54.15% | 3410-3493-0 |  49.40% |  484-401-0 |    54.69% |   103-93-0 |    52.55% |      39-44-0 |       46.99% |          57-57-0 |          50.00% |         35 |     16.36% |           139 |             0 |          1 |     12.50% |           4 |           0 |
| Meticulous Archive                                           |   108 | 11.54% |         110 |           0 |   467-452-0 | 50.82% | 3484-3499-0 |  49.89% |  413-398-0 |    50.92% |    87-88-0 |    49.71% |      35-42-0 |       45.45% |          55-59-0 |          48.25% |         28 |     13.08% |            28 |             0 |          1 |     12.50% |           1 |           0 |
| Sheoldred's Edict                                            |   107 | 11.43% |          43 |         109 |   370-440-0 | 45.68% | 3581-3511-0 |  50.49% |  323-393-0 |    45.11% |    45-64-0 |    41.28% |      33-40-0 |       45.21% |          47-66-0 |          41.59% |         19 |      8.88% |             7 |            15 |          0 |        --- |           0 |           0 |
| Grim Monolith                                                |   105 | 11.22% |         386 |           2 |   483-438-0 | 52.44% | 3468-3513-0 |  49.68% |  428-383-0 |    52.77% |    87-91-0 |    48.88% |      46-48-0 |       48.94% |          57-51-0 |          52.78% |         27 |     12.62% |            99 |             1 |          3 |     37.50% |          12 |           0 |
