Card Statistics over 944 Decks (2025 North America Legacy Championship (2025-10-12))
+--------------------------------------------------------------+-------+--------+-------------+-------------+-------------+--------+-------------+---------+------------+-----------+------------+-----------+--------------+--------------+------------------+-----------------+------------+------------+---------------+---------------+------------+------------+-------------+-------------+
|                             Card                             | # of  |  % of  | # of Copies | # of Copies | Record With | Win %  |   Record    |  Win %  | Record vs. | Win % vs. |   Record   | Win % vs. |  Record vs.  |  Win % vs.   | Record vs. Nadu, | Win % vs. Nadu, | # of Decks | % of Decks |  # of Copies  |  # of Copies  |    # of    |    % of    | # of Copies | # of Copies |
|                                                              | Decks | Decks  |   (Main)    |   (Side)    |             |  With  |   Without   | Without |  Without   |  Without  | vs. Entomb |  Entomb   | Mystic Forge | Mystic Forge |  Winged Wisdom   |  Winged Wisdom  |   (T217)   |   (T217)   | (Main) (T217) | (Side) (T217) | Decks (T8) | Decks (T8) | (Main) (T8) | (Side) (T8) |
+--------------------------------------------------------------+-------+--------+-------------+-------------+-------------+--------+-------------+---------+------------+-----------+------------+-----------+--------------+--------------+------------------+-----------------+------------+------------+---------------+---------------+------------+------------+-------------+-------------+
| Muxus, Goblin Grandee                                        |     5 |  0.53% |           9 |           0 |     13-19-0 | 40.62% | 3938-3932-0 |  50.04% |    13-19-0 |    40.62% |      3-4-0 |    42.86% |        1-1-0 |       50.00% |            1-5-0 |          16.67% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Sling-Gang Lieutenant                                        |     5 |  0.53% |           9 |           0 |     13-19-0 | 40.62% | 3938-3932-0 |  50.04% |    13-19-0 |    40.62% |      3-4-0 |    42.86% |        1-1-0 |       50.00% |            1-5-0 |          16.67% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Chancellor of the Annex                                      |     5 |  0.53% |           8 |           9 |     15-21-0 | 41.67% | 3936-3930-0 |  50.04% |    15-21-0 |    41.67% |      2-4-0 |    33.33% |        1-2-0 |       33.33% |            1-3-0 |          25.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Watery Grave                                                 |     5 |  0.53% |           8 |           0 |      6-24-0 | 20.00% | 3945-3927-0 |  50.11% |     5-23-0 |    17.86% |      1-8-0 |    11.11% |        1-0-0 |      100.00% |            1-2-0 |          33.33% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Ulamog, the Ceaseless Hunger                                 |     5 |  0.53% |           6 |           0 |     17-20-0 | 45.95% | 3934-3931-0 |  50.02% |    17-20-0 |    45.95% |      3-6-0 |    33.33% |        0-2-0 |        0.00% |            1-2-0 |          33.33% |          1 |      0.47% |             1 |             0 |          0 |        --- |           0 |           0 |
| Silent Clearing                                              |     5 |  0.53% |           6 |           0 |     13-22-0 | 37.14% | 3938-3929-0 |  50.06% |    13-22-0 |    37.14% |      2-6-0 |    25.00% |        1-1-0 |       50.00% |            1-1-0 |          50.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Spoils of the Vault                                          |     5 |  0.53% |           5 |           7 |     21-21-0 | 50.00% | 3930-3930-0 |  50.00% |    21-21-0 |    50.00% |      4-6-0 |    40.00% |        1-1-0 |       50.00% |            1-1-0 |          50.00% |          1 |      0.47% |             0 |             3 |          0 |        --- |           0 |           0 |
| Ground Seal                                                  |     5 |  0.53% |           5 |           2 |     18-21-0 | 46.15% | 3933-3930-0 |  50.02% |    18-21-0 |    46.15% |      1-5-0 |    16.67% |        2-0-0 |      100.00% |            2-1-0 |          66.67% |          1 |      0.47% |             1 |             0 |          0 |        --- |           0 |           0 |
| Nurturing Peatland                                           |     5 |  0.53% |           5 |           0 |     19-25-0 | 43.18% | 3932-3926-0 |  50.04% |    19-25-0 |    43.18% |      5-3-0 |    62.50% |        0-2-0 |        0.00% |            0-3-0 |           0.00% |          1 |      0.47% |             1 |             0 |          0 |        --- |           0 |           0 |
| Stingscourger                                                |     5 |  0.53% |           5 |           0 |     12-19-0 | 38.71% | 3939-3932-0 |  50.04% |    12-19-0 |    38.71% |      1-4-0 |    20.00% |        2-2-0 |       50.00% |            2-5-0 |          28.57% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Sokenzan, Crucible of Defiance                               |     5 |  0.53% |           5 |           0 |     11-21-0 | 34.38% | 3940-3930-0 |  50.06% |    11-21-0 |    34.38% |      1-7-0 |    12.50% |        2-2-0 |       50.00% |            4-2-0 |          66.67% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Gilded Drake                                                 |     5 |  0.53% |           2 |           3 |     28-27-0 | 50.91% | 3923-3924-0 |  49.99% |    28-27-0 |    50.91% |      3-5-0 |    37.50% |        2-1-0 |       66.67% |            4-5-0 |          44.44% |          2 |      0.93% |             1 |             1 |          0 |        --- |           0 |           0 |
| Wear Down                                                    |     5 |  0.53% |           0 |          16 |     17-23-0 | 42.50% | 3934-3928-0 |  50.04% |    17-23-0 |    42.50% |      2-4-0 |    33.33% |        3-1-0 |       75.00% |            4-4-0 |          50.00% |          1 |      0.47% |             0 |             4 |          0 |        --- |           0 |           0 |
| Wear // Tear                                                 |     5 |  0.53% |           0 |           9 |     19-26-0 | 42.22% | 3932-3925-0 |  50.04% |    19-26-0 |    42.22% |      7-7-0 |    50.00% |        0-1-0 |        0.00% |            3-2-0 |          60.00% |          1 |      0.47% |             0 |             2 |          0 |        --- |           0 |           0 |
| Exorcise                                                     |     5 |  0.53% |           0 |           8 |      7-18-0 | 28.00% | 3944-3933-0 |  50.07% |     7-18-0 |    28.00% |      1-2-0 |    33.33% |        0-0-0 |          --- |            0-1-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Yggdrasil, Rebirth Engine                                    |     5 |  0.53% |           0 |           7 |     18-27-0 | 40.00% | 3933-3924-0 |  50.06% |    18-27-0 |    40.00% |      3-3-0 |    50.00% |        0-5-0 |        0.00% |            2-1-0 |          66.67% |          1 |      0.47% |             0 |             2 |          0 |        --- |           0 |           0 |
| Pernicious Deed                                              |     5 |  0.53% |           0 |           7 |     13-19-0 | 40.62% | 3938-3932-0 |  50.04% |    13-19-0 |    40.62% |      3-2-0 |    60.00% |        0-1-0 |        0.00% |            4-0-0 |         100.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Feed the Swarm                                               |     5 |  0.53% |           0 |           6 |     23-21-0 | 52.27% | 3928-3930-0 |  49.99% |    23-21-0 |    52.27% |      4-5-0 |    44.44% |        4-1-0 |       80.00% |            2-2-0 |          50.00% |          1 |      0.47% |             0 |             1 |          0 |        --- |           0 |           0 |
| The Stone Brain                                              |     5 |  0.53% |           0 |           5 |     14-22-0 | 38.89% | 3937-3929-0 |  50.05% |    14-22-0 |    38.89% |      5-5-0 |    50.00% |        1-1-0 |       50.00% |            1-3-0 |          25.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Firemind's Foresight                                         |     5 |  0.53% |           0 |           5 |     12-19-0 | 38.71% | 3939-3932-0 |  50.04% |    12-19-0 |    38.71% |      3-4-0 |    42.86% |        1-3-0 |       25.00% |            1-3-0 |          25.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Summoner's Pact                                              |     4 |  0.43% |          16 |           0 |     24-20-0 | 54.55% | 3927-3931-0 |  49.97% |    24-20-0 |    54.55% |      1-3-0 |    25.00% |        2-6-0 |       25.00% |            1-3-0 |          25.00% |          2 |      0.93% |             8 |             0 |          0 |        --- |           0 |           0 |
| Glimpse of Nature                                            |     4 |  0.43% |          16 |           0 |     13-15-0 | 46.43% | 3938-3936-0 |  50.01% |    13-15-0 |    46.43% |      0-1-0 |     0.00% |        0-2-0 |        0.00% |            0-5-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Nettle Sentinel                                              |     4 |  0.43% |          16 |           0 |     13-15-0 | 46.43% | 3938-3936-0 |  50.01% |    13-15-0 |    46.43% |      0-1-0 |     0.00% |        0-2-0 |        0.00% |            0-5-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Wirewood Symbiote                                            |     4 |  0.43% |          16 |           0 |     13-15-0 | 46.43% | 3938-3936-0 |  50.01% |    13-15-0 |    46.43% |      0-1-0 |     0.00% |        0-2-0 |        0.00% |            0-5-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Inkmoth Nexus                                                |     4 |  0.43% |          16 |           0 |     11-17-0 | 39.29% | 3940-3934-0 |  50.04% |    11-17-0 |    39.29% |      1-3-0 |    25.00% |        3-3-0 |       50.00% |            2-2-0 |          50.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Glistener Elf                                                |     4 |  0.43% |          16 |           0 |     11-17-0 | 39.29% | 3940-3934-0 |  50.04% |    11-17-0 |    39.29% |      1-3-0 |    25.00% |        3-3-0 |       50.00% |            2-2-0 |          50.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Blighted Agent                                               |     4 |  0.43% |          16 |           0 |     11-17-0 | 39.29% | 3940-3934-0 |  50.04% |    11-17-0 |    39.29% |      1-3-0 |    25.00% |        3-3-0 |       50.00% |            2-2-0 |          50.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Invigorate                                                   |     4 |  0.43% |          16 |           0 |     11-17-0 | 39.29% | 3940-3934-0 |  50.04% |    11-17-0 |    39.29% |      1-3-0 |    25.00% |        3-3-0 |       50.00% |            2-2-0 |          50.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Heritage Druid                                               |     4 |  0.43% |          15 |           0 |     13-15-0 | 46.43% | 3938-3936-0 |  50.01% |    13-15-0 |    46.43% |      0-1-0 |     0.00% |        0-2-0 |        0.00% |            0-5-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Sphere of Resistance                                         |     4 |  0.43% |          11 |           3 |     11-17-0 | 39.29% | 3940-3934-0 |  50.04% |    11-17-0 |    39.29% |      3-5-0 |    37.50% |        0-1-0 |        0.00% |            1-1-0 |          50.00% |          1 |      0.47% |             3 |             0 |          0 |        --- |           0 |           0 |
| Hymn to Tourach                                              |     4 |  0.43% |          11 |           0 |      6-16-0 | 27.27% | 3945-3935-0 |  50.06% |     6-16-0 |    27.27% |      0-1-0 |     0.00% |        0-2-0 |        0.00% |            0-3-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Munitions Expert                                             |     4 |  0.43% |          11 |           0 |     11-15-0 | 42.31% | 3940-3936-0 |  50.03% |    11-15-0 |    42.31% |      3-3-0 |    50.00% |        0-1-0 |        0.00% |            1-3-0 |          25.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Haliya, Guided by Light                                      |     4 |  0.43% |          10 |           0 |     19-18-0 | 51.35% | 3932-3933-0 |  49.99% |    19-18-0 |    51.35% |      0-3-0 |     0.00% |        1-2-0 |       33.33% |            1-3-0 |          25.00% |          1 |      0.47% |             3 |             0 |          0 |        --- |           0 |           0 |
| Elvish Visionary                                             |     4 |  0.43% |          10 |           0 |     13-15-0 | 46.43% | 3938-3936-0 |  50.01% |    13-15-0 |    46.43% |      0-1-0 |     0.00% |        0-2-0 |        0.00% |            0-5-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Mother of Runes                                              |     4 |  0.43% |           9 |           0 |     22-17-0 | 56.41% | 3929-3934-0 |  49.97% |    22-17-0 |    56.41% |      6-4-0 |    60.00% |        1-0-0 |      100.00% |            1-2-0 |          33.33% |          1 |      0.47% |             4 |             0 |          0 |        --- |           0 |           0 |
| Thought Monitor                                              |     4 |  0.43% |           9 |           0 |     14-15-0 | 48.28% | 3937-3936-0 |  50.01% |    14-15-0 |    48.28% |      2-3-0 |    40.00% |        0-2-0 |        0.00% |            1-3-0 |          25.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Birchlore Rangers                                            |     4 |  0.43% |           9 |           0 |     13-15-0 | 46.43% | 3938-3936-0 |  50.01% |    13-15-0 |    46.43% |      0-1-0 |     0.00% |        0-2-0 |        0.00% |            0-5-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Minsc & Boo, Timeless Heroes                                 |     4 |  0.43% |           8 |           1 |     13-16-0 | 44.83% | 3938-3935-0 |  50.02% |    13-16-0 |    44.83% |      2-4-0 |    33.33% |        2-1-0 |       66.67% |            1-2-0 |          33.33% |          1 |      0.47% |             4 |             0 |          0 |        --- |           0 |           0 |
| Laelia, the Blade Reforged                                   |     4 |  0.43% |           8 |           0 |      3-11-0 | 21.43% | 3948-3940-0 |  50.05% |     3-11-0 |    21.43% |      1-1-0 |    50.00% |        0-1-0 |        0.00% |            0-1-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Ephemerate                                                   |     4 |  0.43% |           8 |           0 |     20-17-0 | 54.05% | 3931-3934-0 |  49.98% |    20-17-0 |    54.05% |      0-2-0 |     0.00% |        1-2-0 |       33.33% |            0-3-0 |           0.00% |          1 |      0.47% |             1 |             0 |          0 |        --- |           0 |           0 |
| Berserk                                                      |     4 |  0.43% |           8 |           0 |     11-17-0 | 39.29% | 3940-3934-0 |  50.04% |    11-17-0 |    39.29% |      1-3-0 |    25.00% |        3-3-0 |       50.00% |            2-2-0 |          50.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Thalia, Guardian of Thraben                                  |     4 |  0.43% |           7 |           3 |     21-17-0 | 55.26% | 3930-3934-0 |  49.97% |    21-17-0 |    55.26% |      7-4-0 |    63.64% |        0-1-0 |        0.00% |            1-1-0 |          50.00% |          1 |      0.47% |             0 |             3 |          0 |        --- |           0 |           0 |
| Counterspell                                                 |     4 |  0.43% |           7 |           0 |      8-14-0 | 36.36% | 3943-3937-0 |  50.04% |     8-14-0 |    36.36% |      0-2-0 |     0.00% |        0-1-0 |        0.00% |            1-3-0 |          25.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Skirk Prospector                                             |     4 |  0.43% |           7 |           0 |     11-15-0 | 42.31% | 3940-3936-0 |  50.03% |    11-15-0 |    42.31% |      3-3-0 |    50.00% |        0-1-0 |        0.00% |            1-3-0 |          25.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Assassin's Trophy                                            |     4 |  0.43% |           4 |           4 |     11-19-0 | 36.67% | 3940-3932-0 |  50.05% |    11-19-0 |    36.67% |      2-2-0 |    50.00% |        0-1-0 |        0.00% |            1-3-0 |          25.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Lively Dirge                                                 |     4 |  0.43% |           4 |           0 |     24-20-0 | 54.55% | 3927-3931-0 |  49.97% |    24-20-0 |    54.55% |      2-2-0 |    50.00% |        2-7-0 |       22.22% |            1-1-0 |          50.00% |          2 |      0.93% |             2 |             0 |          0 |        --- |           0 |           0 |
| Wild Cantor                                                  |     4 |  0.43% |           4 |           0 |     24-20-0 | 54.55% | 3927-3931-0 |  49.97% |    24-20-0 |    54.55% |      1-3-0 |    25.00% |        2-6-0 |       25.00% |            1-3-0 |          25.00% |          2 |      0.93% |             2 |             0 |          0 |        --- |           0 |           0 |
| Ramunap Excavator                                            |     4 |  0.43% |           4 |           0 |     23-21-0 | 52.27% | 3928-3930-0 |  49.99% |    22-20-0 |    52.38% |      6-4-0 |    60.00% |        0-1-0 |        0.00% |            2-4-0 |          33.33% |          2 |      0.93% |             2 |             0 |          0 |        --- |           0 |           0 |
| Horizon Canopy                                               |     4 |  0.43% |           4 |           0 |     22-20-0 | 52.38% | 3929-3931-0 |  49.99% |    22-20-0 |    52.38% |     10-5-0 |    66.67% |        0-1-0 |        0.00% |            1-2-0 |          33.33% |          2 |      0.93% |             2 |             0 |          0 |        --- |           0 |           0 |
| Eiganjo, Seat of the Empire                                  |     4 |  0.43% |           4 |           0 |     21-18-0 | 53.85% | 3930-3933-0 |  49.98% |    21-18-0 |    53.85% |      2-2-0 |    50.00% |        2-4-0 |       33.33% |            2-2-0 |          50.00% |          1 |      0.47% |             1 |             0 |          0 |        --- |           0 |           0 |
| Walk-In Closet // Forgotten Cellar                           |     4 |  0.43% |           4 |           0 |     14-21-0 | 40.00% | 3937-3930-0 |  50.04% |    14-21-0 |    40.00% |      3-2-0 |    60.00% |        0-1-0 |        0.00% |            2-0-0 |         100.00% |          1 |      0.47% |             1 |             0 |          0 |        --- |           0 |           0 |
| Eureka                                                       |     4 |  0.43% |           4 |           0 |     13-15-0 | 46.43% | 3938-3936-0 |  50.01% |    13-15-0 |    46.43% |      0-1-0 |     0.00% |        1-1-0 |       50.00% |            2-2-0 |          50.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Icetill Explorer                                             |     4 |  0.43% |           3 |           2 |     13-17-0 | 43.33% | 3938-3934-0 |  50.03% |    13-17-0 |    43.33% |      2-3-0 |    40.00% |        0-2-0 |        0.00% |            1-3-0 |          25.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Relic of Progenitus                                          |     4 |  0.43% |           3 |           2 |     12-17-0 | 41.38% | 3939-3934-0 |  50.03% |    12-17-0 |    41.38% |      3-3-0 |    50.00% |        0-0-0 |          --- |            2-5-0 |          28.57% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Noxious Revival                                              |     4 |  0.43% |           3 |           1 |     25-19-0 | 56.82% | 3926-3932-0 |  49.96% |    25-19-0 |    56.82% |      3-5-0 |    37.50% |        2-0-0 |      100.00% |            7-3-0 |          70.00% |          2 |      0.93% |             2 |             0 |          0 |        --- |           0 |           0 |
| Leovold, Emissary of Trest                                   |     4 |  0.43% |           3 |           1 |     13-15-0 | 46.43% | 3938-3936-0 |  50.01% |    13-15-0 |    46.43% |      3-1-0 |    75.00% |        1-1-0 |       50.00% |            5-3-0 |          62.50% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Witherbloom Apprentice                                       |     4 |  0.43% |           2 |          12 |     14-19-0 | 42.42% | 3937-3932-0 |  50.03% |    14-19-0 |    42.42% |      5-3-0 |    62.50% |        1-2-0 |       33.33% |            1-0-0 |         100.00% |          1 |      0.47% |             0 |             4 |          0 |        --- |           0 |           0 |
| Chain of Smog                                                |     4 |  0.43% |           2 |          12 |     14-19-0 | 42.42% | 3937-3932-0 |  50.03% |    14-19-0 |    42.42% |      5-3-0 |    62.50% |        1-2-0 |       33.33% |            1-0-0 |         100.00% |          1 |      0.47% |             0 |             4 |          0 |        --- |           0 |           0 |
| Orim's Chant                                                 |     4 |  0.43% |           2 |           4 |      9-16-0 | 36.00% | 3942-3935-0 |  50.04% |     9-16-0 |    36.00% |      0-4-0 |     0.00% |        2-2-0 |       50.00% |            1-1-0 |          50.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Goblin Trashmaster                                           |     4 |  0.43% |           2 |           2 |     11-15-0 | 42.31% | 3940-3936-0 |  50.03% |    11-15-0 |    42.31% |      3-3-0 |    50.00% |        0-1-0 |        0.00% |            1-3-0 |          25.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Pyrokinesis                                                  |     4 |  0.43% |           1 |          10 |     14-16-0 | 46.67% | 3937-3935-0 |  50.01% |    14-16-0 |    46.67% |      3-1-0 |    75.00% |        1-3-0 |       25.00% |            1-3-0 |          25.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Cast into the Fire                                           |     4 |  0.43% |           0 |           5 |     16-17-0 | 48.48% | 3935-3934-0 |  50.01% |    16-17-0 |    48.48% |      0-3-0 |     0.00% |        3-3-0 |       50.00% |            4-4-0 |          50.00% |          1 |      0.47% |             0 |             1 |          0 |        --- |           0 |           0 |
| Argentum Masticore                                           |     4 |  0.43% |           0 |           5 |     13-15-0 | 46.43% | 3938-3936-0 |  50.01% |    13-15-0 |    46.43% |      5-2-0 |    71.43% |        1-1-0 |       50.00% |            2-0-0 |         100.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Foundation Breaker                                           |     4 |  0.43% |           0 |           4 |     24-20-0 | 54.55% | 3927-3931-0 |  49.97% |    24-20-0 |    54.55% |      1-3-0 |    25.00% |        2-6-0 |       25.00% |            1-3-0 |          25.00% |          2 |      0.93% |             0 |             2 |          0 |        --- |           0 |           0 |
| Unearth                                                      |     4 |  0.43% |           0 |           4 |     21-15-0 | 58.33% | 3930-3936-0 |  49.96% |    21-15-0 |    58.33% |      1-3-0 |    25.00% |        3-1-0 |       75.00% |            2-3-0 |          40.00% |          1 |      0.47% |             0 |             1 |          0 |        --- |           0 |           0 |
| Reverent Silence                                             |     4 |  0.43% |           0 |           4 |     17-19-0 | 47.22% | 3934-3932-0 |  50.01% |    17-19-0 |    47.22% |      0-5-0 |     0.00% |        3-1-0 |       75.00% |            1-3-0 |          25.00% |          1 |      0.47% |             0 |             1 |          0 |        --- |           0 |           0 |
| Patchwork Automaton                                          |     3 |  0.32% |          12 |           0 |     16-14-0 | 53.33% | 3935-3937-0 |  49.99% |    16-14-0 |    53.33% |      6-4-0 |    60.00% |        1-1-0 |       50.00% |            4-0-0 |         100.00% |          1 |      0.47% |             4 |             0 |          0 |        --- |           0 |           0 |
| Stalactite Stalker                                           |     3 |  0.32% |          11 |           0 |      6-10-0 | 37.50% | 3945-3941-0 |  50.03% |     6-10-0 |    37.50% |      2-2-0 |    50.00% |        0-0-0 |          --- |            0-3-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Oliphaunt                                                    |     3 |  0.32% |          10 |           0 |      9-11-0 | 45.00% | 3942-3940-0 |  50.01% |     9-11-0 |    45.00% |      2-1-0 |    66.67% |        1-1-0 |       50.00% |            1-1-0 |          50.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Embiggen                                                     |     3 |  0.32% |          10 |           0 |      8-13-0 | 38.10% | 3943-3938-0 |  50.03% |     8-13-0 |    38.10% |      1-3-0 |    25.00% |        1-3-0 |       25.00% |            2-2-0 |          50.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Staff of the Storyteller                                     |     3 |  0.32% |           9 |           0 |      6-12-0 | 33.33% | 3945-3939-0 |  50.04% |     6-12-0 |    33.33% |      2-1-0 |    66.67% |        0-1-0 |        0.00% |            0-1-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Mockingbird                                                  |     3 |  0.32% |           8 |           0 |      9-11-0 | 45.00% | 3942-3940-0 |  50.01% |     9-11-0 |    45.00% |      0-3-0 |     0.00% |        0-1-0 |        0.00% |            0-0-0 |             --- |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Dance of the Dead                                            |     3 |  0.32% |           8 |           0 |     14-15-0 | 48.28% | 3937-3936-0 |  50.01% |    14-15-0 |    48.28% |      4-1-0 |    80.00% |        1-1-0 |       50.00% |            1-2-0 |          33.33% |          1 |      0.47% |             4 |             0 |          0 |        --- |           0 |           0 |
| Questing Druid // Seek the Beast                             |     3 |  0.32% |           8 |           0 |     14-11-0 | 56.00% | 3937-3940-0 |  49.98% |    14-11-0 |    56.00% |      2-1-0 |    66.67% |        1-0-0 |      100.00% |            3-2-0 |          60.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Predict                                                      |     3 |  0.32% |           7 |           0 |     10-13-0 | 43.48% | 3941-3938-0 |  50.02% |    10-13-0 |    43.48% |      2-3-0 |    40.00% |        3-1-0 |       75.00% |            0-1-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Mistcaller                                                   |     3 |  0.32% |           6 |           0 |      9-12-0 | 42.86% | 3942-3939-0 |  50.02% |     9-12-0 |    42.86% |      1-4-0 |    20.00% |        0-2-0 |        0.00% |            0-0-0 |             --- |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Flagstones of Trokair                                        |     3 |  0.32% |           6 |           0 |     15-13-0 | 53.57% | 3936-3938-0 |  49.99% |    15-13-0 |    53.57% |      1-3-0 |    25.00% |        0-2-0 |        0.00% |            2-3-0 |          40.00% |          1 |      0.47% |             2 |             0 |          0 |        --- |           0 |           0 |
| Worldgorger Dragon                                           |     3 |  0.32% |           6 |           0 |     14-15-0 | 48.28% | 3937-3936-0 |  50.01% |    14-15-0 |    48.28% |      4-1-0 |    80.00% |        1-1-0 |       50.00% |            1-2-0 |          33.33% |          1 |      0.47% |             1 |             0 |          0 |        --- |           0 |           0 |
| Battle Cry Goblin                                            |     3 |  0.32% |           6 |           0 |     10-12-0 | 45.45% | 3941-3939-0 |  50.01% |    10-12-0 |    45.45% |      3-0-0 |   100.00% |        0-1-0 |        0.00% |            1-3-0 |          25.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Roiling Vortex                                               |     3 |  0.32% |           5 |           4 |      8-15-0 | 34.78% | 3943-3936-0 |  50.04% |     8-15-0 |    34.78% |      0-2-0 |     0.00% |        1-0-0 |      100.00% |            1-4-0 |          20.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Rundvelt Hordemaster                                         |     3 |  0.32% |           5 |           0 |      8-11-0 | 42.11% | 3943-3940-0 |  50.02% |     8-11-0 |    42.11% |      1-3-0 |    25.00% |        0-1-0 |        0.00% |            1-1-0 |          50.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Giver of Runes                                               |     3 |  0.32% |           5 |           0 |     11-13-0 | 45.83% | 3940-3938-0 |  50.01% |    11-13-0 |    45.83% |      1-4-0 |    20.00% |        0-1-0 |        0.00% |            2-1-0 |          66.67% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Thorn of Amethyst                                            |     3 |  0.32% |           4 |           3 |      7-12-0 | 36.84% | 3944-3939-0 |  50.03% |     7-12-0 |    36.84% |      3-2-0 |    60.00% |        0-1-0 |        0.00% |            1-2-0 |          33.33% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| True-Name Nemesis                                            |     3 |  0.32% |           4 |           3 |      1-11-0 |  8.33% | 3950-3940-0 |  50.06% |     1-11-0 |     8.33% |      1-2-0 |    33.33% |        0-2-0 |        0.00% |            0-2-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Progenitus                                                   |     3 |  0.32% |           4 |           2 |     15-16-0 | 48.39% | 3936-3935-0 |  50.01% |    15-16-0 |    48.39% |      1-3-0 |    25.00% |        3-2-0 |       60.00% |            3-4-0 |          42.86% |          1 |      0.47% |             0 |             1 |          0 |        --- |           0 |           0 |
| Day's Undoing                                                |     3 |  0.32% |           4 |           0 |      8-13-0 | 38.10% | 3943-3938-0 |  50.03% |     8-13-0 |    38.10% |      1-0-0 |   100.00% |        0-0-0 |          --- |            1-4-0 |          20.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Cyclonic Rift                                                |     3 |  0.32% |           4 |           0 |     19-13-0 | 59.38% | 3932-3938-0 |  49.96% |    19-13-0 |    59.38% |      4-3-0 |    57.14% |        0-3-0 |        0.00% |            7-0-0 |         100.00% |          1 |      0.47% |             1 |             0 |          0 |        --- |           0 |           0 |
| Pentad Prism                                                 |     3 |  0.32% |           4 |           0 |     18-12-0 | 60.00% | 3933-3939-0 |  49.96% |    18-12-0 |    60.00% |      0-3-0 |     0.00% |        4-0-0 |      100.00% |            1-2-0 |          33.33% |          1 |      0.47% |             1 |             0 |          0 |        --- |           0 |           0 |
