Card Statistics over 1308 Decks (Legacy Challenge 2025-12-03 (2025-12-03), Legacy Last Chance 2025-12-01 (2025-12-01), 2025 EU Legacy Championship (2025-11-29), Legacy Last Chance 2025-12-01 (2025-12-01), Legacy Challenge 32 2025-11-30 - 1 (2025-11-30), Legacy Last Chance 2025-12-02 (2025-12-02), Legacy Last Chance 2025-12-03 (2025-12-03), Legacy Challenge 32 2025-11-30 - 2 (2025-11-30))
+------------------------------------------------------------+-------+--------+------------+------------+-------------+--------+-------------+---------+------------+-----------+------------+------------+---------------+---------------+
|                            Card                            | # of  |  % of  | # of Decks | # of Decks | Record With | Win %  |   Record    |  Win %  | Record vs. | Win % vs. | # of Decks | % of Decks |  # of Decks   |  # of Decks   |
|                                                            | Decks | Decks  |   (Main)   |   (Side)   |             |  With  |   Without   | Without |  Without   |  Without  |   (T130)   |   (T130)   | (Main) (T130) | (Side) (T130) |
+------------------------------------------------------------+-------+--------+------------+------------+-------------+--------+-------------+---------+------------+-----------+------------+------------+---------------+---------------+
| Hide on the Ceiling                                        |     5 |  0.59% |          0 |          5 |     28-17-0 | 62.22% | 4169-4180-0 |  49.93% |    28-17-0 |    62.22% |          2 |      1.80% |             0 |             2 |
| Inkmoth Nexus                                              |     5 |  0.59% |          5 |          0 |      8-19-0 | 29.63% | 4189-4178-0 |  50.07% |     8-19-0 |    29.63% |          0 |        --- |             0 |             0 |
| Invigorate                                                 |     5 |  0.59% |          5 |          0 |      8-19-0 | 29.63% | 4189-4178-0 |  50.07% |     8-19-0 |    29.63% |          0 |        --- |             0 |             0 |
| Knight of the Reliquary                                    |     5 |  0.59% |          5 |          0 |     22-17-0 | 56.41% | 4175-4180-0 |  49.97% |    22-17-0 |    56.41% |          0 |        --- |             0 |             0 |
| Lively Dirge                                               |     5 |  0.59% |          5 |          0 |     26-16-0 | 61.90% | 4171-4181-0 |  49.94% |    26-16-0 |    61.90% |          2 |      1.80% |             2 |             0 |
| Minsc & Boo, Timeless Heroes                               |     5 |  0.59% |          5 |          0 |     15-20-0 | 42.86% | 4182-4177-0 |  50.03% |    15-20-0 |    42.86% |          0 |        --- |             0 |             0 |
| Murderous Cut                                              |     5 |  0.59% |          5 |          0 |     19-18-0 | 51.35% | 4178-4179-0 |  49.99% |    19-18-0 |    51.35% |          1 |      0.90% |             1 |             0 |
| Phlage, Titan of Fire's Fury                               |     5 |  0.59% |          5 |          0 |     29-19-0 | 60.42% | 4168-4178-0 |  49.94% |    29-19-0 |    60.42% |          2 |      1.80% |             2 |             0 |
| Phyrexian Metamorph                                        |     5 |  0.59% |          3 |          2 |     20-18-0 | 52.63% | 4177-4179-0 |  49.99% |    20-18-0 |    52.63% |          1 |      0.90% |             1 |             0 |
| Pyrokinesis                                                |     5 |  0.59% |          0 |          5 |     17-16-0 | 51.52% | 4180-4181-0 |  49.99% |    17-16-0 |    51.52% |          0 |        --- |             0 |             0 |
| Roiling Dragonstorm                                        |     5 |  0.59% |          5 |          0 |     27-23-0 | 54.00% | 4170-4174-0 |  49.98% |    25-21-0 |    54.35% |          2 |      1.80% |             2 |             0 |
| Satoru, the Infiltrator                                    |     5 |  0.59% |          5 |          0 |     19-20-0 | 48.72% | 4178-4177-0 |  50.01% |    19-20-0 |    48.72% |          0 |        --- |             0 |             0 |
| Seasoned Dungeoneer                                        |     5 |  0.59% |          5 |          0 |     19-18-0 | 51.35% | 4178-4179-0 |  49.99% |    19-18-0 |    51.35% |          0 |        --- |             0 |             0 |
| Silent Gravestone                                          |     5 |  0.59% |          0 |          5 |     18-17-0 | 51.43% | 4179-4180-0 |  49.99% |    18-17-0 |    51.43% |          1 |      0.90% |             0 |             1 |
| Smash to Smithereens                                       |     5 |  0.59% |          0 |          5 |     13-21-0 | 38.24% | 4184-4176-0 |  50.05% |    13-21-0 |    38.24% |          0 |        --- |             0 |             0 |
| Snow-Covered Wastes                                        |     5 |  0.59% |          5 |          0 |     19-16-0 | 54.29% | 4178-4181-0 |  49.98% |    19-16-0 |    54.29% |          0 |        --- |             0 |             0 |
| Staff of the Storyteller                                   |     5 |  0.59% |          5 |          0 |     18-15-0 | 54.55% | 4179-4182-0 |  49.98% |    18-15-0 |    54.55% |          1 |      0.90% |             1 |             0 |
| Surge Node                                                 |     5 |  0.59% |          0 |          5 |     18-18-0 | 50.00% | 4179-4179-0 |  50.00% |    18-18-0 |    50.00% |          0 |        --- |             0 |             0 |
| Thorn of Amethyst                                          |     5 |  0.59% |          0 |          5 |     20-22-0 | 47.62% | 4177-4175-0 |  50.01% |    20-22-0 |    47.62% |          2 |      1.80% |             0 |             2 |
| Wear Down                                                  |     5 |  0.59% |          0 |          5 |     16-17-0 | 48.48% | 4181-4180-0 |  50.01% |    16-17-0 |    48.48% |          0 |        --- |             0 |             0 |
| Xantid Swarm                                               |     5 |  0.59% |          0 |          5 |     29-15-0 | 65.91% | 4168-4182-0 |  49.92% |    29-15-0 |    65.91% |          2 |      1.80% |             0 |             2 |
| Alpha Deathclaw                                            |     4 |  0.47% |          3 |          1 |      1-14-0 |  6.67% | 4196-4183-0 |  50.08% |     1-14-0 |     6.67% |          0 |        --- |             0 |             0 |
| Battle Cry Goblin                                          |     4 |  0.47% |          4 |          0 |     12-13-0 | 48.00% | 4185-4184-0 |  50.01% |    12-13-0 |    48.00% |          0 |        --- |             0 |             0 |
| Chains of Mephistopheles                                   |     4 |  0.47% |          1 |          3 |     13-12-0 | 52.00% | 4184-4185-0 |  49.99% |    13-12-0 |    52.00% |          0 |        --- |             0 |             0 |
| Chancellor of the Annex                                    |     4 |  0.47% |          3 |          1 |     10-14-0 | 41.67% | 4187-4183-0 |  50.02% |    10-14-0 |    41.67% |          0 |        --- |             0 |             0 |
| Currency Converter                                         |     4 |  0.47% |          4 |          0 |      8-11-0 | 42.11% | 4189-4186-0 |  50.02% |     8-11-0 |    42.11% |          0 |        --- |             0 |             0 |
| Dread of Night                                             |     4 |  0.47% |          0 |          4 |      9-14-0 | 39.13% | 4188-4183-0 |  50.03% |     9-14-0 |    39.13% |          0 |        --- |             0 |             0 |
| Faithless Looting                                          |     4 |  0.47% |          4 |          0 |     16-14-0 | 53.33% | 4181-4183-0 |  49.99% |    16-14-0 |    53.33% |          0 |        --- |             0 |             0 |
| Fireblast                                                  |     4 |  0.47% |          4 |          0 |     11-16-0 | 40.74% | 4186-4181-0 |  50.03% |    11-16-0 |    40.74% |          0 |        --- |             0 |             0 |
| Fyndhorn Elves                                             |     4 |  0.47% |          4 |          0 |     20-14-0 | 58.82% | 4177-4183-0 |  49.96% |    20-14-0 |    58.82% |          1 |      0.90% |             1 |             0 |
| Gilded Drake                                               |     4 |  0.47% |          3 |          1 |     22-17-0 | 56.41% | 4175-4180-0 |  49.97% |    22-17-0 |    56.41% |          2 |      1.80% |             2 |             0 |
| Goblin Charbelcher                                         |     4 |  0.47% |          1 |          4 |     11-14-0 | 44.00% | 4186-4183-0 |  50.02% |    11-14-0 |    44.00% |          0 |        --- |             0 |             0 |
| Goblin Matron                                              |     4 |  0.47% |          4 |          0 |     12-13-0 | 48.00% | 4185-4184-0 |  50.01% |    12-13-0 |    48.00% |          0 |        --- |             0 |             0 |
| Goblin Ringleader                                          |     4 |  0.47% |          4 |          0 |     12-13-0 | 48.00% | 4185-4184-0 |  50.01% |    12-13-0 |    48.00% |          0 |        --- |             0 |             0 |
| Goblin Trashmaster                                         |     4 |  0.47% |          1 |          3 |     12-13-0 | 48.00% | 4185-4184-0 |  50.01% |    12-13-0 |    48.00% |          0 |        --- |             0 |             0 |
| Heritage Reclamation                                       |     4 |  0.47% |          0 |          4 |     17-16-0 | 51.52% | 4180-4181-0 |  49.99% |    17-16-0 |    51.52% |          1 |      0.90% |             0 |             1 |
| Impulse                                                    |     4 |  0.47% |          4 |          0 |     15-16-0 | 48.39% | 4182-4181-0 |  50.01% |    15-16-0 |    48.39% |          0 |        --- |             0 |             0 |
| Katara, Waterbending Master                                |     4 |  0.47% |          4 |          0 |     25-15-0 | 62.50% | 4172-4182-0 |  49.94% |    25-15-0 |    62.50% |          2 |      1.80% |             2 |             0 |
| Krosan Grip                                                |     4 |  0.47% |          0 |          4 |     18-13-0 | 58.06% | 4179-4184-0 |  49.97% |    18-13-0 |    58.06% |          1 |      0.90% |             0 |             1 |
| Lava Spike                                                 |     4 |  0.47% |          4 |          0 |     11-16-0 | 40.74% | 4186-4181-0 |  50.03% |    11-16-0 |    40.74% |          0 |        --- |             0 |             0 |
| Leyline of Sanctity                                        |     4 |  0.47% |          0 |          4 |     28-14-0 | 66.67% | 4169-4183-0 |  49.92% |    28-14-0 |    66.67% |          2 |      1.80% |             0 |             2 |
| Llanowar Elves                                             |     4 |  0.47% |          4 |          0 |     20-14-0 | 58.82% | 4177-4183-0 |  49.96% |    20-14-0 |    58.82% |          1 |      0.90% |             1 |             0 |
| Mai, Scornful Striker                                      |     4 |  0.47% |          2 |          2 |     13-15-0 | 46.43% | 4184-4182-0 |  50.01% |    13-15-0 |    46.43% |          0 |        --- |             0 |             0 |
| Metallic Rebuke                                            |     4 |  0.47% |          3 |          1 |     10-15-0 | 40.00% | 4187-4182-0 |  50.03% |    10-15-0 |    40.00% |          0 |        --- |             0 |             0 |
| Mother of Runes                                            |     4 |  0.47% |          4 |          0 |     13-14-0 | 48.15% | 4184-4183-0 |  50.01% |    13-14-0 |    48.15% |          0 |        --- |             0 |             0 |
| Muxus, Goblin Grandee                                      |     4 |  0.47% |          4 |          0 |     12-13-0 | 48.00% | 4185-4184-0 |  50.01% |    12-13-0 |    48.00% |          0 |        --- |             0 |             0 |
| Release the Ants                                           |     4 |  0.47% |          0 |          4 |     22-14-0 | 61.11% | 4175-4183-0 |  49.95% |    22-14-0 |    61.11% |          2 |      1.80% |             0 |             2 |
| Rishadan Port                                              |     4 |  0.47% |          4 |          0 |     13-12-0 | 52.00% | 4184-4185-0 |  49.99% |    13-12-0 |    52.00% |          0 |        --- |             0 |             0 |
| Shifting Woodland                                          |     4 |  0.47% |          4 |          0 |     19-14-0 | 57.58% | 4178-4183-0 |  49.97% |    19-14-0 |    57.58% |          1 |      0.90% |             1 |             0 |
| Snow-Covered Mountain                                      |     4 |  0.47% |          4 |          0 |     10-12-0 | 45.45% | 4187-4185-0 |  50.01% |    10-12-0 |    45.45% |          0 |        --- |             0 |             0 |
| Spider-Woman, Stunning Savior                              |     4 |  0.47% |          3 |          1 |     12-16-0 | 42.86% | 4185-4181-0 |  50.02% |    12-16-0 |    42.86% |          0 |        --- |             0 |             0 |
| Static Prison                                              |     4 |  0.47% |          3 |          1 |     27-13-0 | 67.50% | 4170-4184-0 |  49.92% |    27-13-0 |    67.50% |          2 |      1.80% |             1 |             1 |
| Summoner's Pact                                            |     4 |  0.47% |          4 |          0 |     16-13-0 | 55.17% | 4181-4184-0 |  49.98% |    16-13-0 |    55.17% |          1 |      0.90% |             1 |             0 |
| Thought Monitor                                            |     4 |  0.47% |          4 |          0 |     22-16-0 | 57.89% | 4175-4181-0 |  49.96% |    21-15-0 |    58.33% |          2 |      1.80% |             2 |             0 |
| True-Name Nemesis                                          |     4 |  0.47% |          3 |          2 |     11-16-0 | 40.74% | 4186-4181-0 |  50.03% |    10-15-0 |    40.00% |          1 |      0.90% |             0 |             1 |
| Vampire Hexmage                                            |     4 |  0.47% |          4 |          1 |     10-17-0 | 37.04% | 4187-4180-0 |  50.04% |    10-17-0 |    37.04% |          0 |        --- |             0 |             0 |
| Veteran Explorer                                           |     4 |  0.47% |          4 |          0 |      5-15-0 | 25.00% | 4192-4182-0 |  50.06% |     5-15-0 |    25.00% |          0 |        --- |             0 |             0 |
| Walk-In Closet // Forgotten Cellar                         |     4 |  0.47% |          4 |          0 |      9-20-0 | 31.03% | 4188-4177-0 |  50.07% |     9-20-0 |    31.03% |          0 |        --- |             0 |             0 |
| Yggdrasil, Rebirth Engine                                  |     4 |  0.47% |          2 |          2 |     18-16-0 | 52.94% | 4179-4181-0 |  49.99% |    18-16-0 |    52.94% |          1 |      0.90% |             1 |             0 |
| Anger                                                      |     3 |  0.35% |          3 |          0 |      13-9-0 | 59.09% | 4184-4188-0 |  49.98% |     13-9-0 |    59.09% |          0 |        --- |             0 |             0 |
| Argentum Masticore                                         |     3 |  0.35% |          0 |          3 |      9-10-0 | 47.37% | 4188-4187-0 |  50.01% |     9-10-0 |    47.37% |          0 |        --- |             0 |             0 |
| Cecil, Dark Knight // Cecil, Redeemed Paladin              |     3 |  0.35% |          0 |          3 |     16-10-0 | 61.54% | 4181-4187-0 |  49.96% |    16-10-0 |    61.54% |          1 |      0.90% |             0 |             1 |
| Chord of Calling                                           |     3 |  0.35% |          3 |          0 |     10-10-0 | 50.00% | 4187-4187-0 |  50.00% |    10-10-0 |    50.00% |          0 |        --- |             0 |             0 |
| Cityscape Leveler                                          |     3 |  0.35% |          0 |          3 |      8-10-0 | 44.44% | 4189-4187-0 |  50.01% |     8-10-0 |    44.44% |          0 |        --- |             0 |             0 |
| Cyclonic Rift                                              |     3 |  0.35% |          2 |          1 |      16-9-0 | 64.00% | 4181-4188-0 |  49.96% |     16-9-0 |    64.00% |          1 |      0.90% |             1 |             0 |
| Dark Confidant                                             |     3 |  0.35% |          3 |          0 |     10-12-0 | 45.45% | 4187-4185-0 |  50.01% |    10-12-0 |    45.45% |          0 |        --- |             0 |             0 |
| Eiganjo, Seat of the Empire                                |     3 |  0.35% |          3 |          0 |      9-10-0 | 47.37% | 4188-4187-0 |  50.01% |     9-10-0 |    47.37% |          0 |        --- |             0 |             0 |
| Elvish Mystic                                              |     3 |  0.35% |          3 |          0 |     19-11-0 | 63.33% | 4178-4186-0 |  49.95% |    19-11-0 |    63.33% |          1 |      0.90% |             1 |             0 |
| Esper Sentinel                                             |     3 |  0.35% |          3 |          0 |      6-11-0 | 35.29% | 4191-4186-0 |  50.03% |     6-11-0 |    35.29% |          0 |        --- |             0 |             0 |
| Field of the Dead                                          |     3 |  0.35% |          2 |          1 |      1-10-0 |  9.09% | 4196-4187-0 |  50.05% |     1-10-0 |     9.09% |          0 |        --- |             0 |             0 |
| Foundation Breaker                                         |     3 |  0.35% |          0 |          3 |     16-10-0 | 61.54% | 4181-4187-0 |  49.96% |    16-10-0 |    61.54% |          1 |      0.90% |             0 |             1 |
| From the Catacombs                                         |     3 |  0.35% |          0 |          3 |     11-10-0 | 52.38% | 4186-4187-0 |  49.99% |    11-10-0 |    52.38% |          0 |        --- |             0 |             0 |
| Goblin Guide                                               |     3 |  0.35% |          3 |          0 |      8-11-0 | 42.11% | 4189-4186-0 |  50.02% |     8-11-0 |    42.11% |          0 |        --- |             0 |             0 |
| Goblin Lackey                                              |     3 |  0.35% |          3 |          0 |       8-9-0 | 47.06% | 4189-4188-0 |  50.01% |      8-9-0 |    47.06% |          0 |        --- |             0 |             0 |
| Goblin Rabblemaster                                        |     3 |  0.35% |          3 |          0 |      9-12-0 | 42.86% | 4188-4185-0 |  50.02% |     9-12-0 |    42.86% |          0 |        --- |             0 |             0 |
| Ice-Fang Coatl                                             |     3 |  0.35% |          3 |          0 |      9-10-0 | 47.37% | 4188-4187-0 |  50.01% |     9-10-0 |    47.37% |          0 |        --- |             0 |             0 |
| Kataki, War's Wage                                         |     3 |  0.35% |          0 |          3 |      10-9-0 | 52.63% | 4187-4188-0 |  49.99% |     10-9-0 |    52.63% |          0 |        --- |             0 |             0 |
| Lazotep Quarry                                             |     3 |  0.35% |          3 |          0 |      1-11-0 |  8.33% | 4196-4186-0 |  50.06% |     1-11-0 |     8.33% |          0 |        --- |             0 |             0 |
| Leovold, Emissary of Trest                                 |     3 |  0.35% |          2 |          1 |     12-14-0 | 46.15% | 4185-4183-0 |  50.01% |    12-14-0 |    46.15% |          1 |      0.90% |             0 |             1 |
| Lim-Dûl's Vault                                            |     3 |  0.35% |          3 |          0 |      6-11-0 | 35.29% | 4191-4186-0 |  50.03% |     6-11-0 |    35.29% |          0 |        --- |             0 |             0 |
| Lotleth Giant                                              |     3 |  0.35% |          0 |          3 |     11-10-0 | 52.38% | 4186-4187-0 |  49.99% |    11-10-0 |    52.38% |          0 |        --- |             0 |             0 |
| Masked Vandal                                              |     3 |  0.35% |          3 |          0 |       8-9-0 | 47.06% | 4189-4188-0 |  50.01% |      8-9-0 |    47.06% |          0 |        --- |             0 |             0 |
| Massacre                                                   |     3 |  0.35% |          0 |          3 |       6-9-0 | 40.00% | 4191-4188-0 |  50.02% |      6-9-0 |    40.00% |          0 |        --- |             0 |             0 |
| Misdirection                                               |     3 |  0.35% |          2 |          1 |      15-9-0 | 62.50% | 4182-4188-0 |  49.96% |     15-9-0 |    62.50% |          1 |      0.90% |             0 |             1 |
| Monastery Swiftspear                                       |     3 |  0.35% |          3 |          0 |      7-12-0 | 36.84% | 4190-4185-0 |  50.03% |     7-12-0 |    36.84% |          0 |        --- |             0 |             0 |
| Munitions Expert                                           |     3 |  0.35% |          3 |          0 |       8-9-0 | 47.06% | 4189-4188-0 |  50.01% |      8-9-0 |    47.06% |          0 |        --- |             0 |             0 |
| Ox of Agonas                                               |     3 |  0.35% |          3 |          0 |      13-9-0 | 59.09% | 4184-4188-0 |  49.98% |     13-9-0 |    59.09% |          0 |        --- |             0 |             0 |
| Palace Jailer                                              |     3 |  0.35% |          3 |          0 |      6-10-0 | 37.50% | 4191-4187-0 |  50.02% |     6-10-0 |    37.50% |          0 |        --- |             0 |             0 |
| Passageway Seer                                            |     3 |  0.35% |          0 |          3 |     16-10-0 | 61.54% | 4181-4187-0 |  49.96% |    16-10-0 |    61.54% |          1 |      0.90% |             0 |             1 |
| Pick Your Poison                                           |     3 |  0.35% |          0 |          3 |      9-10-0 | 47.37% | 4188-4187-0 |  50.01% |     9-10-0 |    47.37% |          0 |        --- |             0 |             0 |
| Powder Keg                                                 |     3 |  0.35% |          0 |          3 |      7-14-0 | 33.33% | 4190-4183-0 |  50.04% |     7-14-0 |    33.33% |          0 |        --- |             0 |             0 |
| Pyroclasm                                                  |     3 |  0.35% |          0 |          3 |      5-12-0 | 29.41% | 4192-4185-0 |  50.04% |     5-12-0 |    29.41% |          0 |        --- |             0 |             0 |
| Ravenous Trap                                              |     3 |  0.35% |          0 |          3 |      9-11-0 | 45.00% | 4188-4186-0 |  50.01% |     9-11-0 |    45.00% |          0 |        --- |             0 |             0 |
| Redirect Lightning                                         |     3 |  0.35% |          3 |          1 |      9-15-0 | 37.50% | 4188-4182-0 |  50.04% |     9-15-0 |    37.50% |          0 |        --- |             0 |             0 |
| Rift Bolt                                                  |     3 |  0.35% |          3 |          0 |      7-12-0 | 36.84% | 4190-4185-0 |  50.03% |     7-12-0 |    36.84% |          0 |        --- |             0 |             0 |
| Sacred Foundry                                             |     3 |  0.35% |          3 |          0 |       5-7-0 | 41.67% | 4192-4190-0 |  50.01% |      5-7-0 |    41.67% |          0 |        --- |             0 |             0 |
| Sheltered by Ghosts                                        |     3 |  0.35% |          2 |          1 |     18-12-0 | 60.00% | 4179-4185-0 |  49.96% |    18-12-0 |    60.00% |          1 |      0.90% |             0 |             1 |
| Silent Clearing                                            |     3 |  0.35% |          3 |          0 |      9-11-0 | 45.00% | 4188-4186-0 |  50.01% |     9-11-0 |    45.00% |          0 |        --- |             0 |             0 |
| Sinkhole                                                   |     3 |  0.35% |          3 |          0 |      7-14-0 | 33.33% | 4190-4183-0 |  50.04% |     7-14-0 |    33.33% |          0 |        --- |             0 |             0 |
| Skewer the Critics                                         |     3 |  0.35% |          3 |          0 |      7-12-0 | 36.84% | 4190-4185-0 |  50.03% |     7-12-0 |    36.84% |          0 |        --- |             0 |             0 |
| Skirk Prospector                                           |     3 |  0.35% |          3 |          0 |       8-9-0 | 47.06% | 4189-4188-0 |  50.01% |      8-9-0 |    47.06% |          0 |        --- |             0 |             0 |
| Sling-Gang Lieutenant                                      |     3 |  0.35% |          3 |          0 |       8-9-0 | 47.06% | 4189-4188-0 |  50.01% |      8-9-0 |    47.06% |          0 |        --- |             0 |             0 |
| Sokenzan, Crucible of Defiance                             |     3 |  0.35% |          3 |          0 |      8-10-0 | 44.44% | 4189-4187-0 |  50.01% |     8-10-0 |    44.44% |          0 |        --- |             0 |             0 |
| Spire of Industry                                          |     3 |  0.35% |          3 |          0 |     10-10-0 | 50.00% | 4187-4187-0 |  50.00% |    10-10-0 |    50.00% |          0 |        --- |             0 |             0 |
| Stingscourger                                              |     3 |  0.35% |          3 |          0 |     12-10-0 | 54.55% | 4185-4187-0 |  49.99% |    12-10-0 |    54.55% |          0 |        --- |             0 |             0 |
| Terastodon                                                 |     3 |  0.35% |          2 |          1 |     19-11-0 | 63.33% | 4178-4186-0 |  49.95% |    19-11-0 |    63.33% |          1 |      0.90% |             0 |             1 |
| Touch the Spirit Realm                                     |     3 |  0.35% |          2 |          1 |      9-11-0 | 45.00% | 4188-4186-0 |  50.01% |     9-11-0 |    45.00% |          0 |        --- |             0 |             0 |
| Valgavoth, Terror Eater                                    |     3 |  0.35% |          3 |          0 |      8-14-0 | 36.36% | 4189-4183-0 |  50.04% |     8-14-0 |    36.36% |          0 |        --- |             0 |             0 |
| Watery Grave                                               |     3 |  0.35% |          3 |          0 |      6-16-0 | 27.27% | 4191-4181-0 |  50.06% |     6-16-0 |    27.27% |          0 |        --- |             0 |             0 |
| Witherbloom Apprentice                                     |     3 |  0.35% |          1 |          2 |      7-10-0 | 41.18% | 4190-4187-0 |  50.02% |     7-10-0 |    41.18% |          0 |        --- |             0 |             0 |
| Wurmcoil Engine                                            |     3 |  0.35% |          2 |          2 |      5-10-0 | 33.33% | 4192-4187-0 |  50.03% |     5-10-0 |    33.33% |          0 |        --- |             0 |             0 |
| Zuran Orb                                                  |     3 |  0.35% |          3 |          0 |      9-11-0 | 45.00% | 4188-4186-0 |  50.01% |     9-11-0 |    45.00% |          0 |        --- |             0 |             0 |
| Aang, Swift Savior // Aang and La, Ocean's Fury            |     2 |  0.24% |          2 |          0 |       4-8-0 | 33.33% | 4193-4189-0 |  50.02% |      4-8-0 |    33.33% |          0 |        --- |             0 |             0 |
| Aluren                                                     |     2 |  0.24% |          2 |          0 |       3-6-0 | 33.33% | 4194-4191-0 |  50.02% |      3-6-0 |    33.33% |          0 |        --- |             0 |             0 |
| Ancient Stirrings                                          |     2 |  0.24% |          2 |          0 |       8-6-0 | 57.14% | 4189-4191-0 |  49.99% |      8-6-0 |    57.14% |          0 |        --- |             0 |             0 |
| Anointed Peacekeeper                                       |     2 |  0.24% |          2 |          0 |       5-7-0 | 41.67% | 4192-4190-0 |  50.01% |      5-7-0 |    41.67% |          0 |        --- |             0 |             0 |
| Ashen Rider                                                |     2 |  0.24% |          0 |          2 |       2-5-0 | 28.57% | 4195-4192-0 |  50.02% |      2-5-0 |    28.57% |          0 |        --- |             0 |             0 |
| Auroral Procession                                         |     2 |  0.24% |          2 |          0 |       7-9-0 | 43.75% | 4190-4188-0 |  50.01% |      7-9-0 |    43.75% |          0 |        --- |             0 |             0 |
| Birchlore Rangers                                          |     2 |  0.24% |          2 |          0 |       7-7-0 | 50.00% | 4190-4190-0 |  50.00% |      7-7-0 |    50.00% |          0 |        --- |             0 |             0 |
| Boltwave                                                   |     2 |  0.24% |          2 |          0 |       4-9-0 | 30.77% | 4193-4188-0 |  50.03% |      4-9-0 |    30.77% |          0 |        --- |             0 |             0 |
| Bonecrusher Giant // Stomp                                 |     2 |  0.24% |          0 |          2 |       4-8-0 | 33.33% | 4193-4189-0 |  50.02% |      4-8-0 |    33.33% |          0 |        --- |             0 |             0 |
| Borne Upon a Wind                                          |     2 |  0.24% |          2 |          0 |      21-6-0 | 77.78% | 4176-4191-0 |  49.91% |     21-6-0 |    77.78% |          2 |      1.80% |             2 |             0 |
| Boseiju, Who Shelters All                                  |     2 |  0.24% |          0 |          2 |      15-7-0 | 68.18% | 4182-4190-0 |  49.95% |     15-7-0 |    68.18% |          1 |      0.90% |             0 |             1 |
| Cataclysm                                                  |     2 |  0.24% |          0 |          2 |       5-6-0 | 45.45% | 4192-4191-0 |  50.01% |      5-6-0 |    45.45% |          0 |        --- |             0 |             0 |
| Cavern Harpy                                               |     2 |  0.24% |          2 |          0 |       3-6-0 | 33.33% | 4194-4191-0 |  50.02% |      3-6-0 |    33.33% |          0 |        --- |             0 |             0 |
| Chain of Smog                                              |     2 |  0.24% |          1 |          1 |       6-7-0 | 46.15% | 4191-4190-0 |  50.01% |      6-7-0 |    46.15% |          0 |        --- |             0 |             0 |
| Chainsaw                                                   |     2 |  0.24% |          1 |          1 |       6-5-0 | 54.55% | 4191-4192-0 |  49.99% |      6-5-0 |    54.55% |          0 |        --- |             0 |             0 |
| Collective Brutality                                       |     2 |  0.24% |          2 |          0 |      15-7-0 | 68.18% | 4182-4190-0 |  49.95% |     15-7-0 |    68.18% |          1 |      0.90% |             1 |             0 |
| Commandeer                                                 |     2 |  0.24% |          0 |          2 |       4-8-0 | 33.33% | 4193-4189-0 |  50.02% |      4-8-0 |    33.33% |          0 |        --- |             0 |             0 |
| Cut Propulsion                                             |     2 |  0.24% |          0 |          2 |     11-10-0 | 52.38% | 4186-4187-0 |  49.99% |    11-10-0 |    52.38% |          1 |      0.90% |             0 |             1 |
| Disruptive Stormbrood // Petty Revenge                     |     2 |  0.24% |          0 |          2 |      15-6-0 | 71.43% | 4182-4191-0 |  49.95% |     15-6-0 |    71.43% |          1 |      0.90% |             0 |             1 |
| Dream Halls                                                |     2 |  0.24% |          1 |          1 |      6-10-0 | 37.50% | 4191-4187-0 |  50.02% |     6-10-0 |    37.50% |          0 |        --- |             0 |             0 |
| Eidolon of the Great Revel                                 |     2 |  0.24% |          2 |          0 |       5-8-0 | 38.46% | 4192-4189-0 |  50.02% |      5-8-0 |    38.46% |          0 |        --- |             0 |             0 |
| Eladamri, Korvecdal                                        |     2 |  0.24% |          2 |          0 |       7-7-0 | 50.00% | 4190-4190-0 |  50.00% |      7-7-0 |    50.00% |          0 |        --- |             0 |             0 |
| Eldrazi Repurposer                                         |     2 |  0.24% |          2 |          0 |       9-6-0 | 60.00% | 4188-4191-0 |  49.98% |      9-6-0 |    60.00% |          0 |        --- |             0 |             0 |
| Elvish Visionary                                           |     2 |  0.24% |          2 |          0 |       7-7-0 | 50.00% | 4190-4190-0 |  50.00% |      7-7-0 |    50.00% |          0 |        --- |             0 |             0 |
| Extirpate                                                  |     2 |  0.24% |          0 |          2 |       3-8-0 | 27.27% | 4194-4189-0 |  50.03% |      3-8-0 |    27.27% |          0 |        --- |             0 |             0 |
| Flare of Denial                                            |     2 |  0.24% |          2 |          0 |       2-7-0 | 22.22% | 4195-4190-0 |  50.03% |      2-7-0 |    22.22% |          0 |        --- |             0 |             0 |
| Forsaken Monument                                          |     2 |  0.24% |          2 |          1 |       1-7-0 | 12.50% | 4196-4190-0 |  50.04% |      1-7-0 |    12.50% |          0 |        --- |             0 |             0 |
| Gempalm Incinerator                                        |     2 |  0.24% |          2 |          0 |       5-6-0 | 45.45% | 4192-4191-0 |  50.01% |      5-6-0 |    45.45% |          0 |        --- |             0 |             0 |
| Generous Ent                                               |     2 |  0.24% |          2 |          0 |       1-4-0 | 20.00% | 4196-4193-0 |  50.02% |      1-4-0 |    20.00% |          0 |        --- |             0 |             0 |
| Get Lost                                                   |     2 |  0.24% |          0 |          2 |       6-7-0 | 46.15% | 4191-4190-0 |  50.01% |      5-6-0 |    45.45% |          0 |        --- |             0 |             0 |
| Gilded Goose                                               |     2 |  0.24% |          2 |          0 |       8-7-0 | 53.33% | 4189-4190-0 |  49.99% |      8-7-0 |    53.33% |          0 |        --- |             0 |             0 |
| Glimpse of Nature                                          |     2 |  0.24% |          2 |          0 |       7-7-0 | 50.00% | 4190-4190-0 |  50.00% |      7-7-0 |    50.00% |          0 |        --- |             0 |             0 |
