Card	# of Decks	% of Decks	Record With	Win % With	# of Copies (Main)	# of Copies (Side)
Malevolent Rumble	4	0.055556	11-9-1	0.547619	16	0
Ocelot Pride	4	0.055556	7-10-0	0.411765	16	0
Painter's Servant	4	0.055556	13-10-0	0.565217	15	1
Paradox Engine	4	0.055556	13-10-0	0.565217	0	4
Path to Exile	4	0.055556	16-8-2	0.653846	0	6
Quantum Riddler	4	0.055556	11-13-0	0.458333	11	0
Shadowy Backstreet	4	0.055556	9-9-2	0.500000	5	0
Shuko	4	0.055556	9-10-1	0.475000	8	0
Stock Up	4	0.055556	11-10-2	0.521739	14	0
Trinisphere	4	0.055556	8-10-0	0.444444	8	3
Unlicensed Hearse	4	0.055556	14-10-1	0.580000	3	4
Veil of Summer	4	0.055556	11-11-0	0.500000	0	6
Wrath of the Skies	4	0.055556	12-11-2	0.520000	0	6
Abrupt Decay	3	0.041667	10-7-0	0.588235	4	1
Ajani, Nacatl Pariah // Ajani, Nacatl Avenger	3	0.041667	3-8-0	0.272727	12	0
Amped Raptor	3	0.041667	3-8-0	0.272727	12	0
Arena of Glory	3	0.041667	8-8-0	0.500000	3	0
Boggart Trawler // Boggart Bog	3	0.041667	9-8-0	0.529412	9	0
Candelabra of Tawnos	3	0.041667	11-6-0	0.647059	3	0
Curie, Emergent Intelligence	3	0.041667	10-7-0	0.588235	7	0
Dead // Gone	3	0.041667	5-9-0	0.357143	0	7
Delver of Secrets // Insectile Aberration	3	0.041667	10-9-1	0.525000	9	0
Duress	3	0.041667	6-10-0	0.375000	0	8
Elegant Parlor	3	0.041667	3-8-0	0.272727	3	0
Emrakul, the Aeons Torn	3	0.041667	1-10-0	0.090909	5	0
Flusterstorm	3	0.041667	3-10-0	0.230769	4	1
Gaea's Cradle	3	0.041667	11-7-0	0.611111	10	0
Goblin Engineer	3	0.041667	8-8-0	0.500000	12	0
Goblin Welder	3	0.041667	8-8-0	0.500000	12	0
Great Furnace	3	0.041667	8-8-0	0.500000	6	0
Griselbrand	3	0.041667	5-11-0	0.312500	6	0
Kaito, Bane of Nightmares	3	0.041667	7-7-1	0.500000	4	1
Lórien Revealed	3	0.041667	8-8-1	0.500000	9	0
Mystic Sanctuary	3	0.041667	10-9-0	0.526316	3	0
Pact of Negation	3	0.041667	8-9-0	0.470588	8	1
Phelia, Exuberant Shepherd	3	0.041667	12-8-2	0.590909	11	0
Phyrexian Devourer	3	0.041667	8-8-0	0.500000	3	0
Phyrexian Dragon Engine	3	0.041667	8-8-0	0.500000	3	0
Phyrexian Dreadnought	3	0.041667	10-7-0	0.588235	9	0
Plague Engineer	3	0.041667	10-9-0	0.526316	0	4
Plateau	3	0.041667	3-8-0	0.272727	6	0
Pyrogoyf	3	0.041667	7-8-0	0.466667	10	0
Serenity	3	0.041667	8-8-1	0.500000	0	3
Shatterskull Smashing // Shatterskull, the Hammer Pass	3	0.041667	8-9-1	0.472222	7	0
Sheoldred's Edict	3	0.041667	4-7-1	0.375000	1	2
Sink into Stupor // Soporific Springs	3	0.041667	8-7-2	0.529412	12	0
Unholy Heat	3	0.041667	10-9-1	0.525000	4	2
Walking Ballista	3	0.041667	5-8-0	0.384615	2	2
Witch Enchanter // Witch-Blessed Meadow	3	0.041667	15-5-2	0.727273	7	0
Allosaurus Shepherd	2	0.027778	6-5-0	0.545455	6	0
Baleful Strix	2	0.027778	2-5-1	0.312500	6	0
Balustrade Spy	2	0.027778	4-6-0	0.400000	8	0
Basalt Monolith	2	0.027778	7-6-0	0.538462	2	0
Bonecrusher Giant // Stomp	2	0.027778	11-4-1	0.718750	0	2
Bridge from Below	2	0.027778	4-6-0	0.400000	2	0
Cabal Ritual	2	0.027778	5-6-0	0.454545	4	0
Cache Grab	2	0.027778	5-4-0	0.555556	4	0
Caves of Chaos Adventurer	2	0.027778	3-5-0	0.375000	6	0
Consider	2	0.027778	3-7-0	0.300000	2	0
Craterhoof Behemoth	2	0.027778	6-5-0	0.545455	2	0
Cursed Totem	2	0.027778	6-5-0	0.545455	0	2
Doomsday	2	0.027778	3-7-0	0.300000	4	4
Echoing Deeps	2	0.027778	3-7-0	0.300000	2	0
Echoing Truth	2	0.027778	1-6-0	0.142857	0	6
Edge of Autumn	2	0.027778	3-7-0	0.300000	2	1
Fire Magic	2	0.027778	10-4-1	0.700000	0	2
Goblin Bombardment	2	0.027778	0-4-0	0.000000	5	0
Grist, the Hunger Tide	2	0.027778	7-4-0	0.636364	2	0
Jace, Wielder of Mysteries	2	0.027778	5-6-0	0.454545	0	2
Knight of the Reliquary	2	0.027778	6-7-0	0.461538	8	0
Lion's Eye Diamond	2	0.027778	3-7-0	0.300000	1	1
March of Otherworldly Light	2	0.027778	0-4-0	0.000000	1	2
Minsc & Boo, Timeless Heroes	2	0.027778	6-7-0	0.461538	1	1
Molten Collapse	2	0.027778	0-4-1	0.100000	1	1
Natural Order	2	0.027778	7-4-0	0.636364	3	3
Nihil Spellbomb	2	0.027778	1-5-0	0.166667	1	1
Nulldrifter	2	0.027778	5-5-0	0.500000	8	0
Overlord of the Balemurk	2	0.027778	11-3-2	0.750000	8	0
Poxwalkers	2	0.027778	4-6-0	0.400000	3	0
Price of Progress	2	0.027778	3-5-1	0.388889	0	2
Prismatic Vista	2	0.027778	7-6-2	0.533333	7	0
Quirion Ranger	2	0.027778	6-5-0	0.545455	5	0
Relic of Progenitus	2	0.027778	6-4-0	0.600000	1	1
Retrofitter Foundry	2	0.027778	7-5-0	0.583333	3	0
Samwise the Stouthearted	2	0.027778	0-4-0	0.000000	2	0
Scythecat Cub	2	0.027778	10-4-0	0.714286	5	0
Shadowspear	2	0.027778	8-5-0	0.615385	0	2
Show and Tell	2	0.027778	2-7-0	0.222222	4	4
Static Prison	2	0.027778	3-6-0	0.333333	3	1
