Card Statistics over 82 Decks (DMV Legacy League Classic (2025-11-08))
+---------------------------------------------------------+-------+--------+------------+--------+-------------+-------------+
|                          Card                           | # of  |  % of  |   Record   | Win %  | # of Copies | # of Copies |
|                                                         | Decks | Decks  |    With    |  With  |   (Main)    |   (Side)    |
+---------------------------------------------------------+-------+--------+------------+--------+-------------+-------------+
| Life from the Loam                                      |     4 |  4.88% |    13-11-2 | 53.85% |          14 |           0 |
| Magus of the Moon                                       |     4 |  4.88% |     7-13-0 | 35.00% |          10 |           2 |
| Malevolent Rumble                                       |     4 |  4.88% |    13-11-2 | 53.85% |          15 |           0 |
| Nihil Spellbomb                                         |     4 |  4.88% |    14-11-1 | 55.77% |           7 |           1 |
| Ocelot Pride                                            |     4 |  4.88% |    12-14-1 | 46.30% |          16 |           0 |
| Pact of Negation                                        |     4 |  4.88% |    15-13-0 | 53.57% |          12 |           1 |
| Phelia, Exuberant Shepherd                              |     4 |  4.88% |     8-12-2 | 40.91% |          14 |           0 |
| Phyrexian Dragon Engine                                 |     4 |  4.88% |     4-12-0 | 25.00% |           4 |           0 |
| Pinnacle Emissary                                       |     4 |  4.88% |    13-11-1 | 54.00% |          15 |           0 |
| Plateau                                                 |     4 |  4.88% |    12-14-1 | 46.30% |           8 |           0 |
| Poxwalkers                                              |     4 |  4.88% |    14-13-0 | 51.85% |           7 |           0 |
| Rest in Peace                                           |     4 |  4.88% |     9-12-3 | 43.75% |           0 |           7 |
| Sejiri Steppe                                           |     4 |  4.88% |    12-12-1 | 50.00% |           4 |           0 |
| Spell Pierce                                            |     4 |  4.88% |     7-12-2 | 38.10% |           7 |           0 |
| Thespian's Stage                                        |     4 |  4.88% |    12-12-1 | 50.00% |          14 |           0 |
| Thoughtcast                                             |     4 |  4.88% |    15-11-1 | 57.41% |          16 |           0 |
| Urza's Bauble                                           |     4 |  4.88% |    13-11-1 | 54.00% |          12 |           0 |
| Veil of Summer                                          |     4 |  4.88% |    13-11-0 | 54.17% |           0 |           5 |
| Allosaurus Shepherd                                     |     3 |  3.66% |      9-8-0 | 52.94% |           6 |           0 |
| Arena of Glory                                          |     3 |  3.66% |      0-9-0 |  0.00% |           3 |           0 |
| Back to Basics                                          |     3 |  3.66% |      3-9-2 | 28.57% |           5 |           0 |
| Balustrade Spy                                          |     3 |  3.66% |     12-9-0 | 57.14% |          12 |           0 |
| Bayou                                                   |     3 |  3.66% |      9-7-2 | 55.56% |           4 |           0 |
| Cabal Ritual                                            |     3 |  3.66% |    10-10-0 | 50.00% |           7 |           0 |
| Chord of Calling                                        |     3 |  3.66% |      9-8-0 | 52.94% |          12 |           0 |
| Curie, Emergent Intelligence                            |     3 |  3.66% |      9-9-2 | 50.00% |           8 |           0 |
| Echoing Truth                                           |     3 |  3.66% |      7-9-0 | 43.75% |           2 |           5 |
| Elegant Parlor                                          |     3 |  3.66% |     8-11-1 | 42.50% |           3 |           0 |
| Exploration                                             |     3 |  3.66% |      9-9-1 | 50.00% |          12 |           0 |
