Card Statistics over 73 Decks (DMV Legacy League Invitational (2025-11-09))
+---------------------------------------------------------+-------+--------+----------+--------+-------------+-------------+
|                          Card                           | # of  |  % of  |  Record  | Win %  | # of Copies | # of Copies |
|                                                         | Decks | Decks  |   With   |  With  |   (Main)    |   (Side)    |
+---------------------------------------------------------+-------+--------+----------+--------+-------------+-------------+
| Leyline of the Void                                     |     8 | 11.11% |  15-21-0 | 41.67% |           0 |          31 |
| Lightning Bolt                                          |     8 | 11.11% |  18-22-2 | 45.24% |          23 |           0 |
| Magus of the Moon                                       |     8 | 11.11% |  20-23-1 | 46.59% |          21 |           4 |
| Otawara, Soaring City                                   |     8 | 11.11% |  24-18-3 | 56.67% |           8 |           0 |
| Scrubland                                               |     8 | 11.11% |  26-19-2 | 57.45% |          13 |           0 |
| Sylvan Safekeeper                                       |     8 | 11.11% |  25-23-0 | 52.08% |           9 |           0 |
| Teferi, Time Raveler                                    |     8 | 11.11% |  20-23-0 | 46.51% |           9 |           1 |
| Tezzeret, Cruel Captain                                 |     8 | 11.11% |  19-19-0 | 50.00% |          26 |           0 |
| Urza's Workshop                                         |     8 | 11.11% |  19-19-0 | 50.00% |          32 |           0 |
| Volcanic Island                                         |     8 | 11.11% |  21-22-2 | 48.89% |          21 |           0 |
| Voltaic Key                                             |     8 | 11.11% |  19-18-2 | 51.28% |           8 |           0 |
| Bitter Triumph                                          |     7 |  9.72% |  16-14-3 | 53.03% |           1 |           9 |
| Broadside Bombardiers                                   |     7 |  9.72% |  19-20-1 | 48.75% |          27 |           0 |
| Deafening Silence                                       |     7 |  9.72% |  20-18-2 | 52.50% |           0 |          13 |
| Elvish Reclaimer                                        |     7 |  9.72% |  22-18-1 | 54.88% |           8 |          11 |
| Gaddock Teeg                                            |     7 |  9.72% |  23-21-0 | 52.27% |           1 |           7 |
| Ghost Vacuum                                            |     7 |  9.72% |  15-17-1 | 46.97% |           2 |           5 |
| Meltdown                                                |     7 |  9.72% |  19-19-2 | 50.00% |           0 |          10 |
