Card	# of Decks	% of Decks	Record With	Win % With	# of Copies (Main)	# of Copies (Side)
Amped Raptor	4	0.048780	12-14-1	0.462963	16	0
Basalt Monolith	4	0.048780	8-12-0	0.400000	4	0
Birds of Paradise	4	0.048780	13-11-0	0.541667	13	0
Boggart Trawler // Boggart Bog	4	0.048780	13-12-0	0.520000	13	0
Bridge from Below	4	0.048780	14-13-0	0.518519	6	0
Chrome Mox	4	0.048780	10-14-0	0.416667	13	0
Damping Sphere	4	0.048780	5-12-0	0.294118	0	7
Dark Depths	4	0.048780	12-12-1	0.500000	14	0
Duress	4	0.048780	16-10-1	0.611111	0	10
Elvish Reclaimer	4	0.048780	12-12-1	0.500000	4	7
Elvish Spirit Guide	4	0.048780	16-12-0	0.571429	16	0
Gaea's Cradle	4	0.048780	9-12-0	0.428571	13	0
Ghost Quarter	4	0.048780	13-11-2	0.538462	4	0
Ghost Vacuum	4	0.048780	10-11-2	0.478261	2	2
Goblin Engineer	4	0.048780	4-12-0	0.250000	16	0
Goblin Welder	4	0.048780	4-12-0	0.250000	16	0
Great Furnace	4	0.048780	4-12-0	0.250000	9	0
Guide of Souls	4	0.048780	12-14-1	0.462963	16	0
Haywire Mite	4	0.048780	10-11-1	0.477273	0	4
Kappa Cannoneer	4	0.048780	13-11-1	0.540000	13	0
Life from the Loam	4	0.048780	13-11-2	0.538462	14	0
Magus of the Moon	4	0.048780	7-13-0	0.350000	10	2
Malevolent Rumble	4	0.048780	13-11-2	0.538462	15	0
Nihil Spellbomb	4	0.048780	14-11-1	0.557692	7	1
Ocelot Pride	4	0.048780	12-14-1	0.462963	16	0
Pact of Negation	4	0.048780	15-13-0	0.535714	12	1
Phelia, Exuberant Shepherd	4	0.048780	8-12-2	0.409091	14	0
Phyrexian Dragon Engine	4	0.048780	4-12-0	0.250000	4	0
Pinnacle Emissary	4	0.048780	13-11-1	0.540000	15	0
Plateau	4	0.048780	12-14-1	0.462963	8	0
Poxwalkers	4	0.048780	14-13-0	0.518519	7	0
Rest in Peace	4	0.048780	9-12-3	0.437500	0	7
Sejiri Steppe	4	0.048780	12-12-1	0.500000	4	0
Spell Pierce	4	0.048780	7-12-2	0.380952	7	0
Thespian's Stage	4	0.048780	12-12-1	0.500000	14	0
Thoughtcast	4	0.048780	15-11-1	0.574074	16	0
Urza's Bauble	4	0.048780	13-11-1	0.540000	12	0
Veil of Summer	4	0.048780	13-11-0	0.541667	0	5
Allosaurus Shepherd	3	0.036585	9-8-0	0.529412	6	0
Arena of Glory	3	0.036585	0-9-0	0.000000	3	0
Back to Basics	3	0.036585	3-9-2	0.285714	5	0
Balustrade Spy	3	0.036585	12-9-0	0.571429	12	0
Bayou	3	0.036585	9-7-2	0.555556	4	0
Cabal Ritual	3	0.036585	10-10-0	0.500000	7	0
Chord of Calling	3	0.036585	9-8-0	0.529412	12	0
Curie, Emergent Intelligence	3	0.036585	9-9-2	0.500000	8	0
Echoing Truth	3	0.036585	7-9-0	0.437500	2	5
Elegant Parlor	3	0.036585	8-11-1	0.425000	3	0
Exploration	3	0.036585	9-9-1	0.500000	12	0
Fiery Confluence	3	0.036585	7-10-0	0.411765	0	5
Fire Magic	3	0.036585	10-6-2	0.611111	0	3
Forth Eorlingas!	3	0.036585	8-11-1	0.425000	1	3
Frenzied Baloth	3	0.036585	4-10-0	0.285714	6	0
Genemorph Imago	3	0.036585	10-7-0	0.588235	3	0
Gilded Drake	3	0.036585	4-9-2	0.333333	3	0
Goblin Bombardment	3	0.036585	8-11-1	0.425000	7	0
Lavinia, Azorius Renegade	3	0.036585	8-8-1	0.500000	0	3
Leyline of Sanctity	3	0.036585	9-11-0	0.450000	0	11
Lion's Eye Diamond	3	0.036585	8-11-0	0.421053	5	1
Lórien Revealed	3	0.036585	10-9-2	0.523810	9	0
March of Otherworldly Light	3	0.036585	8-11-1	0.425000	1	5
Maze of Ith	3	0.036585	9-9-1	0.500000	3	0
Mystic Sanctuary	3	0.036585	8-8-1	0.500000	3	0
Narset, Parter of Veils	3	0.036585	5-10-3	0.361111	4	0
Path to Exile	3	0.036585	12-8-2	0.590909	0	5
Phyrexian Devourer	3	0.036585	4-8-0	0.333333	3	0
Phyrexian Dreadnought	3	0.036585	9-9-2	0.500000	10	0
Prismatic Vista	3	0.036585	7-9-2	0.444444	11	0
Pyrogoyf	3	0.036585	7-10-0	0.411765	10	0
Quirion Ranger	3	0.036585	9-8-0	0.529412	6	0
Scythecat Cub	3	0.036585	10-10-0	0.500000	3	0
Sheoldred's Edict	3	0.036585	9-10-1	0.475000	1	2
Snuff Out	3	0.036585	5-10-0	0.333333	0	4
Solitude	3	0.036585	10-7-1	0.583333	10	0
Springheart Nantuko	3	0.036585	9-8-0	0.529412	4	0
Sundering Eruption // Volcanic Fissure	3	0.036585	7-10-0	0.411765	9	0
The Tabernacle at Pendrell Vale	3	0.036585	9-9-1	0.500000	3	0
Toxic Deluge	3	0.036585	9-8-2	0.526316	0	4
Trinisphere	3	0.036585	8-10-0	0.444444	7	1
Undercity Informer	3	0.036585	12-9-0	0.571429	12	0
Voice of Victory	3	0.036585	8-11-1	0.425000	10	0
Walking Ballista	3	0.036585	12-8-1	0.595238	2	2
Wooded Foothills	3	0.036585	9-8-0	0.529412	6	0
Blue Elemental Blast	2	0.024390	5-5-0	0.500000	0	2
Bonecrusher Giant // Stomp	2	0.024390	6-6-0	0.500000	0	3
Cephalid Illusionist	2	0.024390	5-5-1	0.500000	8	0
Chain Lightning	2	0.024390	4-6-1	0.409091	2	0
Cling to Dust	2	0.024390	3-7-2	0.333333	3	0
Consider	2	0.024390	6-7-0	0.461538	2	0
Craterhoof Behemoth	2	0.024390	8-5-0	0.615385	2	0
Dead // Gone	2	0.024390	3-7-0	0.300000	0	4
Disciple of Freyalise // Garden of Freyalise	2	0.024390	7-7-0	0.500000	4	1
Disruptive Stormbrood // Petty Revenge	2	0.024390	7-7-0	0.500000	0	2
Doomsday	2	0.024390	6-7-0	0.461538	4	4
Doorkeeper Thrull	2	0.024390	3-7-1	0.318182	6	0
Echoing Deeps	2	0.024390	7-6-0	0.538462	2	0
Edge of Autumn	2	0.024390	6-7-0	0.461538	2	1
Emrakul, the Aeons Torn	2	0.024390	6-6-0	0.500000	2	0
Fell the Profane // Fell Mire	2	0.024390	9-5-0	0.642857	8	0
Flusterstorm	2	0.024390	7-5-1	0.576923	2	1
Foundation Breaker	2	0.024390	7-7-0	0.500000	0	2
Grist, the Hunger Tide	2	0.024390	4-6-1	0.409091	2	1
Hullbreacher	2	0.024390	7-5-2	0.571429	1	1
Inquisition of Kozilek	2	0.024390	4-5-1	0.450000	0	2
Jace, Wielder of Mysteries	2	0.024390	6-7-0	0.461538	0	2
Knight of the Reliquary	2	0.024390	3-7-0	0.300000	7	0
Lively Dirge	2	0.024390	7-7-0	0.500000	2	0
Massacre	2	0.024390	5-5-1	0.500000	0	2
Metallic Rebuke	2	0.024390	9-5-1	0.633333	5	0
Nethergoyf	2	0.024390	7-6-0	0.538462	8	0
Overlord of the Balemurk	2	0.024390	5-6-0	0.454545	8	0
Samwise the Stouthearted	2	0.024390	4-8-1	0.346154	2	0
Sanctifier en-Vec	2	0.024390	7-6-0	0.538462	0	4
Shaman en-Kor	2	0.024390	6-5-0	0.545455	2	0
Shuko	2	0.024390	5-5-1	0.500000	4	0
Silent Clearing	2	0.024390	6-8-0	0.428571	2	0
Snapcaster Mage	2	0.024390	4-7-1	0.375000	3	0
Static Prison	2	0.024390	6-8-0	0.428571	3	1
Stock Up	2	0.024390	9-5-1	0.633333	6	0
Stony Silence	2	0.024390	6-6-1	0.500000	0	3
Street Wraith	2	0.024390	6-7-0	0.461538	3	2
Summoner's Pact	2	0.024390	7-7-0	0.500000	8	0
Sunbaked Canyon	2	0.024390	6-8-0	0.428571	2	0
Thought Monitor	2	0.024390	6-6-0	0.500000	6	0
Thundertrap Trainer	2	0.024390	3-6-2	0.363636	4	0
Unlicensed Hearse	2	0.024390	5-6-1	0.458333	0	3
Unmask	2	0.024390	6-7-0	0.461538	3	4
Wild Cantor	2	0.024390	7-7-0	0.500000	2	0
Witch Enchanter // Witch-Blessed Meadow	2	0.024390	5-6-0	0.454545	3	0
Yorion, Sky Nomad	2	0.024390	9-4-1	0.678571	0	2
Aether Vial	1	0.012195	4-3-0	0.571429	4	0
Agadeem's Awakening // Agadeem, the Undercrypt	1	0.012195	3-4-0	0.428571	4	0
Anger	1	0.012195	2-4-0	0.333333	1	0
Ashen Rider	1	0.012195	2-4-0	0.333333	0	1
Baleful Strix	1	0.012195	2-4-1	0.357143	2	0
Blue Sun's Zenith	1	0.012195	3-4-0	0.428571	0	1
Breakthrough	1	0.012195	2-4-0	0.333333	2	0
Cache Grab	1	0.012195	6-2-1	0.722222	2	0
Careful Study	1	0.012195	2-4-0	0.333333	1	0
Caves of Chaos Adventurer	1	0.012195	4-3-0	0.571429	2	0
Cephalid Coliseum	1	0.012195	2-4-0	0.333333	4	0
Cityscape Leveler	1	0.012195	2-3-0	0.400000	1	1
Cloudpost	1	0.012195	4-3-0	0.571429	4	0
Commercial District	1	0.012195	3-3-0	0.500000	1	0
Counterbalance	1	0.012195	1-4-0	0.200000	0	1
Cunning Wish	1	0.012195	3-4-0	0.428571	1	1
Dread of Night	1	0.012195	3-3-0	0.500000	0	1
Eldrazi Confluence	1	0.012195	0-2-0	0.000000	0	1
Eumidian Hatchery	1	0.012195	4-2-1	0.642857	4	0
Exorcise	1	0.012195	1-4-0	0.200000	0	1
Extirpate	1	0.012195	0-3-0	0.000000	0	2
Eye of Ugin	1	0.012195	4-3-0	0.571429	1	0
Fae of Wishes // Granted	1	0.012195	3-4-0	0.428571	1	0
Faithless Looting	1	0.012195	2-4-0	0.333333	4	0
Fiend Artisan	1	0.012195	5-2-0	0.714286	1	0
Filter Out	1	0.012195	3-4-0	0.428571	0	1
Flagstones of Trokair	1	0.012195	3-3-0	0.500000	2	0
Flash of Insight	1	0.012195	3-4-0	0.428571	0	1
Flickerwisp	1	0.012195	4-3-0	0.571429	2	0
From the Catacombs	1	0.012195	2-4-1	0.357143	0	1
Get Lost	1	0.012195	0-3-0	0.000000	0	2
Glimmerpost	1	0.012195	4-3-0	0.571429	2	0
Glissa Sunslayer	1	0.012195	0-4-0	0.000000	1	0
Golgari Grave-Troll	1	0.012195	2-4-0	0.333333	4	0
Golgari Thug	1	0.012195	2-4-0	0.333333	3	0
Harbinger of the Seas	1	0.012195	4-3-0	0.571429	0	2
Hide on the Ceiling	1	0.012195	3-4-0	0.428571	0	1
High Tide	1	0.012195	3-4-0	0.428571	4	0
Hogaak, Arisen Necropolis	1	0.012195	4-2-1	0.642857	2	0
Hope of Ghirapur	1	0.012195	1-3-0	0.250000	0	1
Horizon Canopy	1	0.012195	0-4-0	0.000000	1	0
Hurkyl's Recall	1	0.012195	4-3-0	0.571429	0	2
Hydroelectric Specimen // Hydroelectric Laboratory	1	0.012195	5-2-0	0.714286	3	0
Icetill Explorer	1	0.012195	3-3-0	0.500000	1	0
Ignoble Hierarch	1	0.012195	0-4-0	0.000000	2	0
Inkwell Leviathan	1	0.012195	0-3-0	0.000000	1	0
Into the Flood Maw	1	0.012195	2-4-0	0.333333	0	4
Intuition	1	0.012195	3-4-0	0.428571	0	1
Jack-o'-Lantern	1	0.012195	5-2-0	0.714286	2	0
Kaldra Compleat	1	0.012195	4-3-0	0.571429	1	0
Karn's Sylex	1	0.012195	4-3-0	0.571429	3	0
Kolaghan's Command	1	0.012195	2-4-1	0.357143	2	0
Legion Extruder	1	0.012195	0-3-0	0.000000	1	0
Leovold, Emissary of Trest	1	0.012195	5-1-1	0.785714	1	0
Leyline Binding	1	0.012195	5-1-1	0.785714	4	0
Lion Sash	1	0.012195	4-3-0	0.571429	1	0
Long Goodbye	1	0.012195	0-3-0	0.000000	0	3
Mawloc	1	0.012195	3-3-0	0.500000	1	0
Melded Moxite	1	0.012195	0-3-0	0.000000	2	0
Memory Guardian	1	0.012195	2-3-0	0.400000	4	0
Merchant Scroll	1	0.012195	3-4-0	0.428571	4	0
Mind's Desire	1	0.012195	3-4-0	0.428571	4	0
Mindbreak Trap	1	0.012195	4-3-0	0.571429	0	2
Minor Misstep	1	0.012195	0-3-0	0.000000	2	0
Mystical Dispute	1	0.012195	1-4-0	0.200000	0	2
Nimble Obstructionist	1	0.012195	2-4-1	0.357143	1	0
Noxious Revival	1	0.012195	2-3-1	0.416667	1	0
Nulldrifter	1	0.012195	5-2-1	0.687500	4	0
Nurturing Peatland	1	0.012195	0-4-0	0.000000	1	0
Opposition Agent	1	0.012195	2-4-1	0.357143	0	1
Otherworldly Gaze	1	0.012195	2-4-0	0.333333	4	0
Ox of Agonas	1	0.012195	2-4-0	0.333333	1	0
Patchwork Automaton	1	0.012195	2-3-0	0.400000	4	0
Pernicious Deed	1	0.012195	5-1-1	0.785714	0	3
Personal Tutor	1	0.012195	3-3-0	0.500000	3	0
Peter Parker's Camera	1	0.012195	0-3-0	0.000000	1	0
Phantom Blade	1	0.012195	4-3-0	0.571429	1	0
Plague Engineer	1	0.012195	1-3-0	0.250000	0	1
Pre-War Formalwear	1	0.012195	4-3-0	0.571429	1	0
Preordain	1	0.012195	2-3-0	0.400000	1	0
Pyroclasm	1	0.012195	1-2-0	0.333333	0	1
Questing Druid // Seek the Beast	1	0.012195	2-3-0	0.400000	2	0
Ramunap Excavator	1	0.012195	0-4-0	0.000000	1	0
Raucous Theater	1	0.012195	0-3-0	0.000000	1	0
Recruiter of the Guard	1	0.012195	4-3-0	0.571429	4	0
Relic of Progenitus	1	0.012195	4-3-0	0.571429	0	1
Retrofitter Foundry	1	0.012195	3-3-1	0.500000	1	0
Rough // Tumble	1	0.012195	2-3-0	0.400000	0	1
Serenity	1	0.012195	4-2-1	0.642857	0	1
Shatterskull Smashing // Shatterskull, the Hammer Pass	1	0.012195	1-3-0	0.250000	3	0
Shenanigans	1	0.012195	2-4-0	0.333333	0	2
Shifting Woodland	1	0.012195	3-3-0	0.500000	1	0
Silent Gravestone	1	0.012195	2-4-0	0.333333	0	3
Skyclave Apparition	1	0.012195	4-3-0	0.571429	3	0
Smallpox	1	0.012195	4-2-1	0.642857	4	0
Snap	1	0.012195	3-4-0	0.428571	2	1
